ModelID,OncotreeLineage,OncotreeSubtype,ModelSubtypeFeatures
ACH-000001,Ovary/Fallopian Tube,High-Grade Serous Ovarian Cancer,
ACH-000002,Myeloid,AML with Myelodysplasia-Related Changes,"NRAS, BCOR and CDKN2A"
ACH-000003,Bowel,Colon Adenocarcinoma,
ACH-000004,Myeloid,"AML, NOS",JAK2 and TP53
ACH-000005,Myeloid,Acute Myeloid Leukemia,
ACH-000006,Myeloid,Acute Myeloid Leukemia,"KMT2A::MLLT3, TP53, ASXL1 and U2AF1"
ACH-000007,Bowel,Colon Adenocarcinoma,
ACH-000008,Skin,Melanoma,
ACH-000009,Bowel,Colon Adenocarcinoma,
ACH-000011,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,
ACH-000012,Lung,Lung Adenocarcinoma,
ACH-000013,Ovary/Fallopian Tube,High-Grade Serous Ovarian Cancer,
ACH-000014,Skin,Melanoma,
ACH-000015,Lung,Large Cell Lung Carcinoma,
ACH-000016,Kidney,Renal Clear Cell Carcinoma,
ACH-000017,Breast,Invasive Breast Carcinoma,HER2+
ACH-000018,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,
ACH-000019,Breast,Invasive Breast Carcinoma,ER+
ACH-000020,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,Near haploid
ACH-000021,Lung,Lung Adenocarcinoma,
ACH-000022,Pancreas,Pancreatic Adenocarcinoma,
ACH-000023,Pancreas,Pancreatic Adenocarcinoma,
ACH-000024,Lymphoid,Plasma Cell Myeloma,
ACH-000025,CNS/Brain,Meningioma,
ACH-000026,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,
ACH-000027,CNS/Brain,Glioblastoma,
ACH-000028,Breast,Invasive Breast Carcinoma,ER+
ACH-000029,Lung,Lung Adenocarcinoma,
ACH-000030,Lung,Lung Adenocarcinoma,
ACH-000031,Pancreas,Pancreatic Adenocarcinoma,
ACH-000032,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,TCF3::PBX1
ACH-000033,Lung,Lung Adenocarcinoma,
ACH-000034,Myeloid,Acute Myeloid Leukemia,
ACH-000035,Lung,Non-Small Cell Lung Cancer,
ACH-000036,CNS/Brain,Glioblastoma,
ACH-000037,Soft Tissue,"Sarcoma, NOS",
ACH-000038,Lymphoid,"Transformed cell line, B lymphoblast",
ACH-000039,Bone,Ewing Sarcoma,EWS::FLI
ACH-000040,CNS/Brain,Astrocytoma,
ACH-000041,Bone,Ewing Sarcoma,EWS::FLI
ACH-000042,Pancreas,Pancreatic Adenocarcinoma,
ACH-000043,Fibroblast,"Fibroblast, Skin",
ACH-000044,Breast,Breast Invasive Lobular Carcinoma,luminal ER+
ACH-000045,Myeloid,Acute Myeloid Leukemia,"KMT2A::AFF1, FLT3-ITD, TP53, STAG2 and MGA"
ACH-000046,Kidney,Papillary Renal Cell Carcinoma,
ACH-000047,Esophagus/Stomach,Stomach Adenocarcinoma,
ACH-000048,Ovary/Fallopian Tube,Endometrioid Ovarian Cancer,
ACH-000049,Kidney,Immortalized Embyonic Kidney Cells,
ACH-000050,Lymphoid,Plasma Cell Myeloma,
ACH-000051,Soft Tissue,Rhabdomyosarcoma,
ACH-000052,Bone,Ewing Sarcoma,EWS::FLI
ACH-000053,Lymphoid,Anaplastic Large-Cell Lymphoma ALK Positive,
ACH-000054,Soft Tissue,Fibrosarcoma,
ACH-000055,CNS/Brain,Medulloblastoma,MYC_Exp
ACH-000056,Lymphoid,"Diffuse Large B-Cell Lymphoma, NOS",
ACH-000057,Lymphoid,Plasma Cell Myeloma,
ACH-000058,Thyroid,Follicular Thyroid Cancer,
ACH-000059,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,BCR::ABL1
ACH-000060,Pancreas,Pancreatic Adenocarcinoma,
ACH-000061,Lymphoid,Mature T and NK Neoplasms,
ACH-000062,Lung,Lung Adenocarcinoma,
ACH-000063,Fibroblast,"Fibroblast, Lymphoid",
ACH-000064,Lung,Immortalized Lung Cells,
ACH-000065,Myeloid,Acute Myeloid Leukemia,
ACH-000066,Lung,Lung Adenocarcinoma,
ACH-000067,CNS/Brain,Oligodendroglioma,
ACH-000068,Lymphoid,Mantle Cell Lymphoma,
ACH-000069,Lymphoid,Hodgkin Lymphoma,
ACH-000070,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,TCF3::PBX1
ACH-000071,Fibroblast,"Fibroblast, Bone",
ACH-000072,Myeloid,"Chronic Myeloid Leukemia, BCR-ABL1+",
ACH-000073,Lymphoid,Mantle Cell Lymphoma,
ACH-000074,Myeloid,"Chronic Myeloid Leukemia, BCR-ABL1+",BCR::ABL1
ACH-000075,CNS/Brain,Glioblastoma,
ACH-000076,Myeloid,"Chronic Myeloid Leukemia, BCR-ABL1+",BCR::ABL1
ACH-000077,Lymphoid,Mature T and NK Neoplasms,
ACH-000078,Peripheral Nervous System,Neuroblastoma,MYC_Amplified
ACH-000079,Fibroblast,"Fibroblast, Soft Tissue",
ACH-000080,Myeloid,Acute Monoblastic/Monocytic Leukemia,
ACH-000081,Myeloid,Acute Myeloid Leukemia,MNX1 SV and PTPN11
ACH-000082,Bone,Osteosarcoma,
ACH-000083,Fibroblast,"Fibroblast, Breast",
ACH-000084,Myeloid,AML with Myelodysplasia-Related Changes,"ETV6::AL133456.1 (ETV6::MN1), SF3B1, KRAS and GATA2"
ACH-000085,Pancreas,Pancreatic Adenocarcinoma,
ACH-000086,Pleura,"Pleural Mesothelioma, Epithelioid Type",
ACH-000087,Bone,Ewing Sarcoma,EWS::FLI
ACH-000088,Fibroblast,"Fibroblast, Urinary Tract",
ACH-000089,Bowel,Colon Adenocarcinoma,
ACH-000090,Prostate,Prostate Adenocarcinoma,
ACH-000091,Ovary/Fallopian Tube,Serous Ovarian Cancer,
ACH-000092,Pleura,"Pleural Mesothelioma, Biphasic Type",
ACH-000093,Pancreas,Pancreatic Adenocarcinoma,
ACH-000094,Pancreas,Pancreatic Adenocarcinoma,
ACH-000095,CNS/Brain,Medulloblastoma,MYC_Amplified
ACH-000096,Kidney,Rhabdoid Cancer,
ACH-000097,Breast,Breast Invasive Ductal Carcinoma,"luminal ER, PR+"
ACH-000098,CNS/Brain,Glioblastoma,
ACH-000099,Peripheral Nervous System,Neuroblastoma,
ACH-000100,Soft Tissue,Alveolar Rhabdomyosarcoma,
ACH-000101,Lymphoid,T-Cell Acute Lymphoblastic Leukemia,"TAL1, TRA/D::MYC"
ACH-000102,CNS/Brain,Glioblastoma,
ACH-000103,Ovary/Fallopian Tube,High-Grade Serous Ovarian Cancer,
ACH-000104,Lymphoid,T-Cell Acute Lymphoblastic Leukemia,"ETP-like, SET::NUP214"
ACH-000105,Lymphoid,T-Cell Acute Lymphoblastic Leukemia,"TLX1, NUP214::ABL1"
ACH-000106,Lymphoid,Mantle Cell Lymphoma,
ACH-000107,Pancreas,Pancreatic Adenocarcinoma,
ACH-000108,Pancreas,Adenosquamous Carcinoma of the Pancreas,
ACH-000109,Lung,Lung Adenocarcinoma,
ACH-000110,Esophagus/Stomach,Stomach Adenocarcinoma,
ACH-000111,Breast,Breast Invasive Ductal Carcinoma,basal_A TNBC
ACH-000112,Myeloid,Acute Monoblastic/Monocytic Leukemia,
ACH-000113,Myeloid,Acute Myeloid Leukemia,
ACH-000114,Pancreas,Pancreatic Adenocarcinoma,
ACH-000115,Prostate,Prostate Adenocarcinoma,
ACH-000116,Ovary/Fallopian Tube,High-Grade Serous Ovarian Cancer,
ACH-000117,Breast,Invasive Breast Carcinoma,HER2+
ACH-000118,Pancreas,Pancreatic Adenocarcinoma,
ACH-000119,Fibroblast,"Fibroblast, Bone",
ACH-000120,Peripheral Nervous System,Neuroblastoma,MYC_Amplified
ACH-000121,Lung,Lung Adenocarcinoma,
ACH-000122,Lymphoid,T-Cell Acute Lymphoblastic Leukemia,"TAL1, TP53"
ACH-000123,Ovary/Fallopian Tube,Small Cell Carcinoma of the Ovary,
ACH-000124,Lymphoid,"Diffuse Large B-Cell Lymphoma, NOS",
ACH-000125,Fibroblast,"Fibroblast, Lymphoid",
ACH-000126,CNS/Brain,Oligodendroglioma,
ACH-000127,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,
ACH-000128,CNS/Brain,Astrocytoma,
ACH-000129,Cervix,Small Cell Neuroendocrine Carcinoma of the Cervix,
ACH-000130,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,
ACH-000131,Fibroblast,"Fibroblast, Lung",
ACH-000132,Ovary/Fallopian Tube,High-Grade Serous Ovarian Cancer,
ACH-000133,Fibroblast,Fibroblast,
ACH-000134,Fibroblast,"Fibroblast, Breast",
ACH-000135,Fibroblast,"Fibroblast, Skin",
ACH-000136,Peripheral Nervous System,Neuroblastoma,MYC_Amplified
ACH-000137,CNS/Brain,Glioblastoma,
