name,moa,target,disease_area,indication,phase
1-azakenpaullone,glycogen synthase kinase inhibitor,"CCNB1, CDK1, CDK5, GSK3B",,,Preclinical
1-naphthyl-PP1,src inhibitor,SRC,,,Preclinical
1-phenylbiguanide,serotonin receptor agonist,"HTR3A, HTR3B",,,Preclinical
10-deacetylbaccatin,antitumor agent,,,,Preclinical
10-hydroxycamptothecin,topoisomerase inhibitor,TOP1,,,Preclinical
12-O-tetradecanoylphorbol-13-acetate,PKC activator,"KCNT2, TRPV4",,,Phase 2
2'-MeCCPA,adenosine receptor agonist,ADORA1,,,Preclinical
"2,3-DCPE",Bcl-XL downregulator,BCL2L1,,,Preclinical
2-methoxyestradiol,hypoxia inducible factor inhibitor,"COMT, CYP19A1, CYP1A1, CYP1B1, HIF1A, TUBB",,,Phase 2
3'-fluorobenzylspiperone,dopamine receptor ligand,DRD2,,,Preclinical
3-amino-benzamide,PARP inhibitor,PARP1,,,Phase 2
3-deazaneplanocin-A,histone lysine methyltransferase inhibitor,EZH2,,,Preclinical
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,serotonin receptor antagonist,HTR2A,,,Preclinical
4-chlorophenylguanidine,urokinase inhibitor,PLAUR,,,Preclinical
4-hydroxy-phenazone,,,,,Preclinical
4-iodo-6-phenylpyrimidine,macrophage migration inhibiting factor inhibitor,MIF,,,Preclinical
4-methylgenistein,protein tyrosine kinase inhibitor,"CYP19A1, ESRRA, ESRRB, ESRRG, FASN",,,Preclinical
4-methylhistamine,histamine receptor agonist,HRH4,,,Preclinical
4-pyrimidinecarbonitrile,,,,,Preclinical
4E1RCat,protein synthesis inhibitor,"EIF4E, EIF4G1",,,Preclinical
5-fluorouracil,thymidylate synthase inhibitor,"DPYD, TYMS",oncology,"colorectal cancer, breast cancer, pancreatic cancer, gastric adenocarcinoma",Launched
5-hydroxymethyl-tolterodine,acetylcholine receptor antagonist,CHRM3,,,Phase 1
7-aminocephalosporanic-acid,beta lactamase inhibitor,,,,Preclinical
7-hydroxystaurosporine,"CDK inhibitor, CHK inhibitor, PKC inhibitor","CHEK1, MARK3, PDPK1",,,Phase 2
7-nitroindazole,nitric oxide synthase inhibitor,"NOS1, NOS2, NOS3",,,Preclinical
8-bromo-cGMP,PKA activator,PRKG1,,,Preclinical
8-hydroxy-PIPAT,dopamine receptor ligand,"DRD2, DRD3",,,Preclinical
9-aminoacridine,,,,,Preclinical
A-674563,AKT inhibitor,"AKT1, PKIA, PRKACA",,,Preclinical
A-803467,sodium channel blocker,SCN10A,,,Preclinical
A61603,adrenergic receptor agonist,ADRA1A,,,Preclinical
ABT-702,adenosine kinase inhibitor,ADK,,,Preclinical
ABT-737,BCL inhibitor,"BCL2, BCL2L1, BCL2L2",,,Phase 1/Phase 2
ABT-751,tubulin polymerization inhibitor,TUBB,,,Phase 2
AC-264613,PAR agonist,F2RL1,,,Preclinical
ACDPP,glutamate receptor antagonist,GRM5,,,Preclinical
ACY-1215,HDAC inhibitor,"HDAC1, HDAC2, HDAC3, HDAC6, HDAC8",,,Phase 1/Phase 2
ADL5859,opioid receptor agonist,OPRD1,,,Phase 2
AEE788,"EGFR inhibitor, VEGFR inhibitor","EGFR, ERBB2, ERBB4, FGFR2, FGFR3, KDR",,,Phase 1/Phase 2
AEG3482,HSP inducer,,,,Preclinical
AG-14361,PARP inhibitor,PARP1,,,Preclinical
AM-251,cannabinoid receptor antagonist,"CNR1, GPR18, GPR55",,,Preclinical
AM-404,"cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist","CNR1, CNR2, FAAH, TRPV1",,,Preclinical
AM-580,retinoid receptor agonist,RARA,,,Preclinical
AMG-208,tyrosine kinase inhibitor,MET,,,Phase 1
AMG-232,MDM inhibitor,MDM2,,,Phase 1/Phase 2
AMG458,MET inhibitor,MET,,,Preclinical
AMG900,Aurora kinase inhibitor,"AURKA, AURKB, AURKC",,,Phase 1
AP1903,,,,,Phase 1/Phase 2
AP26113,ALK tyrosine kinase receptor inhibitor,"ALK, EGFR",,,Phase 2
AR-12,phosphoinositide dependent kinase inhibitor,PDPK1,,,Phase 1
AR-42,HDAC inhibitor,HDAC1,,,Phase 1
ARRY-334543,EGFR inhibitor,ERBB2,,,Phase 2
AS-1949490,SHIP2 phosphatase inhibitor,INPP5D,,,Preclinical
AS-703026,MEK inhibitor,"MAP2K1, MAP2K2",,,Phase 2
AST-1306,EGFR inhibitor,"EGFR, ERBB2",,,Phase 1
AT-7519,CDK inhibitor,"CDK1, CDK2, CDK4, CDK5, CDK6, CDK9",,,Phase 2
AT-9283,"Aurora kinase inhibitor, JAK inhibitor","AURKA, AURKB, JAK2, JAK3, RPS6KA6, STK17A",,,Phase 2
AT13387,HSP antagonist,HSP90AA1,,,Phase 2
AT7867,AKT inhibitor,"AKT2, GSK3B, PKIA, PRKACA",,,Preclinical
AV-412,protein tyrosine kinase inhibitor,"EGFR, ERBB2",,,Phase 1
AVL-292,Bruton's tyrosine kinase (BTK) inhibitor,"BTK, YES1",,,Phase 2
AVN-944,inosine monophosphate dehydrogenase inhibitor,"IMPDH1, IMPDH2",,,Phase 2
AZ-628,RAF inhibitor,"BRAF, RAF1",,,Preclinical
AZ20,ATR kinase inhibitor,"ATR, MTOR",,,Preclinical
AZ3146,monopolar spindle 1 kinase inhibitor,,,,Preclinical
AZ960,JAK inhibitor,JAK2,,,Preclinical
AZD1480,JAK inhibitor,"JAK1, JAK2, JAK3",,,Phase 1
AZD2014,mTOR inhibitor,MTOR,,,Phase 2
AZD2461,PARP inhibitor,,,,Phase 1
AZD2858,glycogen synthase kinase inhibitor,GSK3B,,,Preclinical
AZD3463,"ALK tyrosine kinase receptor inhibitor, insulin growth factor receptor inhibitor","ALK, IGF1R",,,Preclinical
AZD4547,FGFR inhibitor,"FGFR1, FGFR2, FGFR3, FGFR4, IGF1R, KDR",,,Phase 2/Phase 3
AZD5363,AKT inhibitor,"AKT1, AKT2, AKT3",,,Phase 2
AZD5438,CDK inhibitor,KCNH2,,,Phase 1
AZD6482,PI3K inhibitor,"PIK3CA, PIK3CB, PIK3CD, PIK3CG",,,Phase 1
AZD7762,CHK inhibitor,"CHEK1, CHEK2",,,Phase 1
AZD8055,mTOR inhibitor,MTOR,,,Phase 1
AZD8330,MEK inhibitor,,,,Phase 1
AZD8931,EGFR inhibitor,"EGFR, ERBB2, ERBB3",,,Phase 2
AZD9668,elastase inhibitor,ELANE,,,Phase 2
BAM7,BAX activator,BAX,,,Preclinical
BAN-ORL-24,nociceptin/orphanin FQ receptor antagonist,OPRL1,,,Preclinical
BAY-11-7082,NFkB pathway inhibitor,RELA,,,Preclinical
BAY-11-7085,NFkB pathway inhibitor,NFKBIA,,,Preclinical
BAY-87-2243,hypoxia inducible factor inhibitor,HIF1A,,,Phase 1
BAY-K-8644-(s)-(-),L-type calcium channel activator,CACNA1C,,,Preclinical
BF2.649,histamine receptor antagonist,HRH3,,,Phase 3
BGT226,PI3K inhibitor,"MTOR, PIK3CA, PIK3CB, PIK3CG",,,Phase 1/Phase 2
BI-2536,PLK inhibitor,"BRD4, PLK1, PLK2, PLK3",,,Phase 2
BI-78D3,JNK inhibitor,MAPK8,,,Preclinical
BI-D1870,ribosomal protein inhibitor,"RPS6KA1, RPS6KA2, RPS6KA3, RPS6KA6",,,Preclinical
BIBR-1532,telomerase inhibitor,TERT,,,Preclinical
BIBU-1361,EGFR inhibitor,EGFR,,,Preclinical
BIBX-1382,EGFR inhibitor,"EGFR, ERBB2",,,Phase 1
BIIB021,HSP inhibitor,HSP90AA1,,,Phase 2
BIX-01294,histone lysine methyltransferase inhibitor,"EHMT1, EHMT2",,,Preclinical
BIX-02188,MEK inhibitor,MAP2K5,,,Preclinical
BMS-265246,CDK inhibitor,"CDK1, CDK2",,,Preclinical
BMS-345541,IKK inhibitor,"CHUK, IKBKB",,,Preclinical
BMS-387032,"CDK inhibitor, cell cycle inhibitor, MCL1 inhibitor","CDK2, CDK7, CDK9",,,Phase 1
BMS-599626,"EGFR inhibitor, protein tyrosine kinase inhibitor","EGFR, ERBB2, ERBB4",,,Phase 1
BMS-626529,HIV attachment inhibitor,,,,Phase 3
BMS-690514,"EGFR inhibitor, VEGFR inhibitor","EGFR, ERBB2, FLT3, KDR",,,Phase 2
BMS-707035,HIV integrase inhibitor,,,,Phase 2
BMS-754807,IGF-1 inhibitor,"AKT1, IGF1R",,,Phase 2
BMS-986020,lysophosphatidic acid receptor antagonist,LPAR1,,,Phase 2
BNC105,tubulin polymerization inhibitor,,,,Phase 2
BNTX,opioid receptor antagonist,"OPRD1, OPRK1, OPRM1",,,Preclinical
BTS-54505,dopamine reuptake inhibitor,"SLC6A2, SLC6A3, SLC6A4",,,Withdrawn
BVD-523,MAP kinase inhibitor,,,,Phase 1/Phase 2
BVT-948,tyrosine phosphatase inhibitor,"PTPN1, PTPN11, PTPN2",,,Preclinical
BW-180C,opioid receptor agonist,"OPRD1, OPRM1",,,Phase 2
BX-912,pyruvate dehydrogenase kinase inhibitor,"CDK2, CHEK1, GSK3B, KDR, PDK1, PDPK1",,,Preclinical
CB-10-277,DNA synthesis inhibitor,,,,Phase 1
CCG-50014,G protein signaling inhibitor,"RGS4, RGS8",,,Preclinical
CCMI,acetylcholine receptor allosteric modulator,CHRNA7,,,Preclinical
CCT128930,AKT inhibitor,"PKIA, PRKACA",,,Preclinical
CCT129202,Aurora kinase inhibitor,"AURKA, AURKB, AURKC",,,Preclinical
CCT137690,Aurora kinase inhibitor,"AURKA, AURKB, AURKC",,,Preclinical
CD-437,retinoid receptor agonist,RARG,,,Preclinical
CEP-32496,RAF inhibitor,"BRAF, RAF1",,,Phase 1/Phase 2
CEP-33779,JAK inhibitor,JAK2,,,Preclinical
CEP-37440,ALK tyrosine kinase receptor inhibitor,ALK,,,Phase 1
CGM097,MDM inhibitor,MDM2,,,Phase 1
CGP-37849,glutamate receptor antagonist,"GRIN2A, GRIN2B, GRIN2C, GRIN2D",,,Phase 1
CGP-52411,EGFR inhibitor,EGFR,,,Preclinical
CGP-54626,GABA receptor antagonist,"GABBR1, GABBR2, KCTD12, KCTD16, KCTD8",,,Preclinical
CGS-15943,adenosine receptor antagonist,"ADORA1, ADORA2A, ADORA2B, ADORA3",,,Preclinical
CGS-20625,"benzodiazepine receptor agonist, GABA benzodiazepine site receptor partial agonist","GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6",,,Phase 1
CH5132799,PI3K inhibitor,"MTOR, PIK3CA, PIK3CB, PIK3CD, PIK3CG",,,Phase 1
CHIR-124,CHK inhibitor,CHEK1,,,Preclinical
CHIR-98014,glycogen synthase kinase inhibitor,"GSK3A, GSK3B",,,Preclinical
CHIR-99021,glycogen synthase kinase inhibitor,"CDK1, GSK3A, GSK3B, MAPK1",,,Preclinical
CI-844,,,,,Phase 2
CID-5458317,MAP kinase phosphatase inhibitor,MAPK3,,,Preclinical
CL-218872,benzodiazepine receptor agonist,"GABRA1, GABRA2, GABRA3, GABRA5, GABRB2, GABRG2",,,Phase 1
CMPD-1,p38 MAPK inhibitor,"GNRHR, MAPK14",,,Preclinical
CNX-2006,EGFR inhibitor,EGFR,,,Preclinical
CNX-774,Bruton's tyrosine kinase (BTK) inhibitor,BTK,,,Preclinical
CP-673451,PDGFR tyrosine kinase receptor inhibitor,"KIT, PDGFRA, PDGFRB",,,Preclinical
CP-724714,"EGFR inhibitor, protein tyrosine kinase inhibitor",ERBB2,,,Phase 2
"CP-945,598",cannabinoid receptor antagonist,CNR1,,,Phase 3
CPI-1189,tumor necrosis factor release inhibitor,TNF,,,Phase 2
CPP,glutamate receptor antagonist,"GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D",,,Phase 2
CR8-(R),CDK inhibitor,CCNA2,,,Preclinical
CS-110266,dopamine receptor agonist,SLC6A3,,,Preclinical
CUDC-101,EGFR inhibitor,"EGFR, ERBB2",,,Phase 1
CUDC-907,PI3K inhibitor,"HDAC2, PIK3R1",,,Phase 2
CX-4945,casein kinase inhibitor,"CSNK2A1, CSNK2A2, DAPK3, HIPK3",,,Phase 1/Phase 2
CX-5461,RNA polymerase inhibitor,,,,Phase 1
CYC116,Aurora kinase inhibitor,"AURKA, AURKB, KDR",,,Phase 1
CYT-997,tubulin polymerization inhibitor,TUBB,,,Phase 2
D-4476,TGF beta receptor inhibitor,"CSNK1A1, CSNK1D, TGFB1",,,Preclinical
D-64131,microtubule inhibitor,TUBB,,,Preclinical
D-7193,,,,,Phase 2
D-Serine,glutamate receptor agonist,"GLRA1, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, SERPINB3",,,Launched
