drug,primary_mean_auc,metastasis_mean_auc,delta_auc,pvalue
plinabulin,0.8097677563021819,0.7571003268318245,-0.05266742947035741,1.6352625333288126e-11
bibx-1382,1.8682066756333418,1.7535002461449376,-0.11470642948840415,2.433548775584439e-11
eltrombopag,0.8425494459653566,0.7182890704317231,-0.12426037553363356,5.727430937804016e-11
meloxicam,0.1332151335353483,-0.05204210761775092,-0.18525724115309922,6.595532313110692e-11
fg-4592,0.5936312918428647,0.4685300434454283,-0.12510124839743636,3.351367510524279e-10
kifunensine,-0.4063593027415335,-0.5771183136820885,-0.17075901094055507,3.4670398828804197e-10
tepoxalin,1.0570110698664927,0.9748554694060722,-0.08215560046042059,5.376024806550249e-10
gsk-j4,0.6987965959994411,0.6308559495028586,-0.06794064649658249,8.026698981748316e-10
orotic-acid,1.2668612583673122,1.137680103053864,-0.12918115531344831,8.297867439302179e-10
fph1-(brd-6125),0.930540509218795,0.8376851832425711,-0.09285532597622392,9.166091088088901e-10
gsk1070916,0.20518269894523627,0.1239657464602375,-0.08121695248499877,1.2748979731339974e-09
epothilone-a,0.5127102690576488,0.45810609706891237,-0.05460417198873646,1.2748979731339974e-09
gzd824,0.15628515724568942,0.04015876690814159,-0.11612639033754783,1.5519703905012285e-09
bvd-523,0.5257816378505127,0.4208839983453885,-0.10489763950512421,1.7684224001254338e-09
rimexolone,0.9783478724441884,0.7988098039879565,-0.17953806845623188,2.609521076110881e-09
azd1480,0.8704610211042861,0.7908675569570881,-0.07959346414719803,2.783287663698077e-09
primaquine,0.9058753587539147,0.7725992869500887,-0.13327607180382595,3.5981181902961153e-09
uridine,0.7657398610527472,0.6502332050742946,-0.11550665597845255,4.088378101148736e-09
ym-201636,1.2895530309780563,1.1324555569534638,-0.1570974740245925,4.220758293923648e-09
uk-383367,1.3277734032267714,1.2292263852881313,-0.09854701793864007,4.35730661505253e-09
pha-848125,0.6471773502693189,0.5936061559165794,-0.05357119435273949,6.1736801755618655e-09
rg2833,1.8917527984616636,1.7415402242962101,-0.15021257416545342,7.225322802162017e-09
trifluridine,0.42972313394021633,0.36746776098814704,-0.06225537295206929,7.693076074751942e-09
trametinib,0.782260429201163,0.6786492530058065,-0.10361117619535654,1.2272103008073123e-08
desoxycortone,2.5705716323341465,2.3910865091835714,-0.1794851231505752,1.346371283269667e-08
imiquimod,0.8714016574471644,0.8923160010821659,0.020914343635001553,1.4767423784546624e-08
raf265,1.1428149848126068,1.048479824984214,-0.0943351598283928,1.522864146857827e-08
sb-242235,0.4982297426738096,0.3853593810854196,-0.11287036158838998,1.6697821535527337e-08
sulfabenzamide,1.095653031656002,1.0036023073161768,-0.0920507243398252,1.830427577585838e-08
ivermectin,0.7782998365452581,0.7018746803753638,-0.07642515616989431,1.8872376580888498e-08
salinomycin,0.9604475648346052,0.8688085462059045,-0.09163901862870072,2.0060390457847276e-08
salvinorin-a,1.7464770699252214,1.620443389070078,-0.12603368085514344,2.0681313949576813e-08
