drug,pvalue,padj
vindesine,1.7342557765166776e-08,2.5094681086196326e-05
vinblastine,2.0111692259136195e-07,0.00011740604305147683
terconazole,2.4341266700375296e-07,0.00011740604305147683
cpp,5.081456101360231e-07,0.00018382167446670636
riluzole,1.1268443728211038e-06,0.000280097312583783
sid-7969543,1.1614263134089137e-06,0.000280097312583783
afatinib,1.4970381462482015e-06,0.0003094591710887354
phenelzine,1.960502808087815e-06,0.00035460594541288353
tame,3.212692519296863e-06,0.00051652956393584
digoxin,4.218926455179098e-06,0.0006104786580644154
podophyllotoxin,5.0307330279200044e-06,0.0006617700628545678
gw-842166,5.515524320667262e-06,0.0006650803076671273
m-344,6.658764408275322e-06,0.0007411716999057224
indibulin,1.0707888409757201e-05,0.0010706309461150753
iproniazid,1.1098454866431326e-05,0.0010706309461150753
sulfabenzamide,1.3858907367610144e-05,0.00121854466500263
riociguat,1.4316005048406849e-05,0.00121854466500263
temazepam,1.751191053646581e-05,0.0014077630303481127
flubendazole,2.2323145586110316e-05,0.001584886469703593
lestaurtinib,2.247182266259798e-05,0.001584886469703593
bephenium-hydroxynaphthoate,2.3001116699222845e-05,0.001584886469703593
bis(maltolato)oxovanadium(iv),3.118346360983289e-05,0.002051021447428554
bms-387032,3.968250105700529e-05,0.002496546914325507
sch-58261,4.848889025806785e-05,0.002886293777856533
azd6482,4.9866858636083844e-05,0.002886293777856533
aphidicolin,6.42459362137608e-05,0.003575533450050457
trequinsin,7.662499395030718e-05,0.0041065320831886855
lapatinib,8.931837984715085e-05,0.00461584627281526
zardaverine,0.00010493899551942136,0.005236094017813887
parbendazole,0.00011971369257750592,0.005653340918936273
eptifibatide,0.00012111511298343086,0.005653340918936273
dapivirine,0.0001444087936678899,0.006529985138669896
bnc105,0.00015101213235547801,0.006621653197526567
clobutinol,0.0001556257150785105,0.006623247344664845
bms-599626,0.00016973572135024794,0.0070173596798231075
erlotinib,0.0001865896701452104,0.0072581690368646225
bi-d1870,0.00018805113611924666,0.0072581690368646225
alectinib,0.00019510577985907757,0.0072581690368646225
ixabepilone,0.00019562445918294423,0.0072581690368646225
sdz-wag-994,0.00022219459085218252,0.007868017903091122
nvp-tae226,0.00023300437533516533,0.007868017903091122
4-methylhistamine,0.0002335699365436523,0.007868017903091122
dienogest,0.00023381117472903818,0.007868017903091122
chlorpyrifos,0.0002573117654150497,0.008144265970732305
colchicine,0.00026414130839297394,0.008144265970732305
sb-239063,0.00026447879103500883,0.008144265970732305
cgp-37849,0.00026948012774384073,0.008144265970732305
tyloxapol,0.0002769093287864807,0.008144265970732305
tipifarnib,0.0002784311424845537,0.008144265970732305
salvianolic-acid-b,0.00028141900382627175,0.008144265970732305
ver-49009,0.0003255727556933598,0.00923732897035866
equol,0.000360836997643228,0.00992048252288345
phenylbutazone,0.0003655240934842243,0.00992048252288345
pyroxamide,0.0003745003400027218,0.00992048252288345
bisacodyl,0.00037707431842335157,0.00992048252288345
linifanib,0.0003972322739477107,0.01026419822147031
brivaracetam,0.0004168107658480762,0.01058114347688011
naftifine,0.00042621807757096616,0.010633406176641172
istradefylline,0.0004417926363043884,0.010835151605634747
4-iodo-6-phenylpyrimidine,0.0004494315260777233,0.010838790303907761
nizofenone,0.000468629288734652,0.010950653951536753
famotidine,0.0004692056288840903,0.010950653951536753
parthenolide-(-),0.0004833002834627726,0.011072871429093434
thiocolchicoside,0.0004897469049495369,0.011072871429093434
vatalanib,0.0005075595913940196,0.011299057365340712
mk-8745,0.0005309794665595911,0.011502446310742365
le-135,0.0005325942659431503,0.011502446310742365
dabrafenib,0.0005531999542011126,0.011771769613661913
dioscin,0.0005710866597545232,0.011875066684512828
hesperadin,0.0005761775015619118,0.011875066684512828
1-naphthyl-pp1,0.0005826743155496965,0.011875066684512828
bix-02188,0.0005973149252114916,0.012004370788625393
sclareol,0.0006163033190159427,0.01219274984345373
levocarnitine,0.000629040407916013,0.01219274984345373
gsk2830371,0.0006366015311061245,0.01219274984345373
cyclovalone,0.0006403932191447709,0.01219274984345373
mepivacaine,0.0006817682660220863,0.012811930921220247
omeprazole,0.0006996596409225188,0.012955889856720373
xl888,0.0007081780057900289,0.012955889856720373
piperazine,0.0007231889435159433,0.012955889856720373
bx-912,0.0007252433160983762,0.012955889856720373
dorzolamide,0.000751779765478973,0.013265925737655981
piroxicam,0.0007609342337425339,0.013265925737655981
serdemetan,0.0007827189939754107,0.013432646925190504
cabazitaxel,0.0007926964001277844,0.013432646925190504
tyrphostin-ag-1296,0.0007983466728171273,0.013432646925190504
litronesib,0.0008132566341572347,0.013505340338066527
chloramphenicol-palmitate,0.000821333759329547,0.013505340338066527
tacalcitol,0.0008383053585851982,0.013566781921671444
verubulin,0.0008438219578095576,0.013566781921671444
ym-976,0.0008540424115924149,0.013580212852464005
tg-101209,0.0008796609344956701,0.01383553665451342
dcebio,0.0008969049765769435,0.013955069904374593
prt062607,0.000981153557977952,0.014782091687484409
combretastatin-a-4,0.0009912404753932796,0.014782091687484409
homosalate,0.0009916780488609964,0.014782091687484409
gsk923295,0.0009976465143316888,0.014782091687484409
smi-4a,0.00100113682472251,0.014782091687484409
oxonic-acid,0.0010404141694397718,0.015056353249695504
hyodeoxycholic-acid,0.0010405219937591917,0.015056353249695504
chicago-sky-blue-6b,0.00109133040526194,0.01563519897439631
nexturastat-a,0.001164767652781667,0.016523713662500706
pelitinib,0.0011791963741059005,0.016565991779914933
ebastine,0.001216078920885414,0.0168681739176237
ulipristal,0.001224020913165507,0.0168681739176237
2-methoxyestradiol,0.0012867595856787056,0.017407672314217023
pfi-1,0.0012872293971121088,0.017407672314217023
albendazole,0.0013025434337093909,0.017451669894236008
zk-93426,0.0013567854881070948,0.01801163854395382
xl-647,0.0014287369831590393,0.018794385587555727
fr-139317,0.001509766352311235,0.019681368574723936
zln005,0.0015395472836302005,0.01989040106618661
trametinib,0.0016079338416109066,0.02059009087443347
ftorafur,0.0016617367735727786,0.02109239571368255
raclopride,0.0016934931892968958,0.021308562129674854
sb-2343,0.001720507266987714,0.021461844959751914
chromocarb,0.0017753217236445656,0.021507452329967425
quinethazone,0.0017797733322941,0.021507452329967425
eprinomectin,0.0017933375655002288,0.021507452329967425
5-fluorouracil,0.0017955476491742133,0.021507452329967425
doxorubicin,0.0017984808099005243,0.021507452329967425
zaldaride,0.0018348652986145094,0.02176270563192783
wp1066,0.0019740291292108477,0.02322292804852111
acetophenazine,0.002033114890666784,0.023725139087055137
thioproperazine,0.0020848777498007195,0.024134544831693132
tg-101348,0.0021066427528327178,0.024139072886980792
bms-265246,0.0021186332112277544,0.024139072886980792
pd-173074,0.002146100590945652,0.02421523562073921
spiradoline,0.0021731230889742727,0.02421523562073921
at-9283,0.0021781308048561543,0.02421523562073921
nan-190,0.002192256991234856,0.02421523562073921
daunorubicin,0.002257613942676687,0.024301286232278795
vemurafenib,0.002258813316357372,0.024301286232278795
vinflunine,0.0022680286060865105,0.024301286232278795
poziotinib,0.0022782268551105474,0.024301286232278795
busulfan,0.00228401860925357,0.024301286232278795
uracil,0.002371710234803224,0.025050107370512886
triamcinolone,0.0024067319143884986,0.02523580492840694
ly2608204,0.0024908242488909877,0.02592965962694431
ast-1306,0.0025702546566935876,0.02656541777311158
tivozanib,0.0027310832230947853,0.02802749945970322
methocarbamol,0.00280406038316938,0.02857377024257812
sonidegib,0.002868607005655396,0.029027093267016486
sb-590885,0.0028994640196811396,0.029135586364434782
ly2606368,0.0029205548909232468,0.02914512363562716
sodium-glucoheptonate,0.0030981299045617027,0.030526526309463238
azd3463,0.0031011744073884562,0.030526526309463238
lomefloxacin,0.003141950343041735,0.030527519693412806
pomalidomide,0.0031474756839019917,0.030527519693412806
pentostatin,0.0031751803593320967,0.030527519693412806
tipranavir,0.0032014492346901305,0.030527519693412806
gs-39783,0.0032600088130558132,0.030527519693412806
bw-180c,0.003261584930490292,0.030527519693412806
tedizolid,0.0032652797730775376,0.030527519693412806
temoporfin,0.0032700522131852003,0.030527519693412806
hypericin,0.0032959890799057435,0.03057241152963853
eprobemide,0.0033416188483057657,0.03079823231527671
vu0361737,0.003401891980017363,0.030986212882715452
volasertib,0.003404843018902389,0.030986212882715452
fexinidazole,0.003460643951554982,0.031297198736875365
rigosertib,0.0035037168573592552,0.03148992728322263
etomoxir,0.0035943062209955064,0.03210469815913887
nvp-bvu972,0.0037820200293814336,0.03357412872708549
fenaclon,0.0038518049309120483,0.03398016070909843
bms-986020,0.0038747246143754255,0.03398016070909843
gw-583340,0.003962328319263122,0.034539090831167095
bms-690514,0.004086504697331877,0.03540821734754027
ifosfamide,0.004247794679237306,0.03639693242208256
dolastatin-10,0.004250920234507224,0.03639693242208256
pha-665752,0.004347496756787709,0.036750132558628655
methscopolamine,0.004359402929134373,0.036750132558628655
gsk1904529a,0.00436836406363796,0.036750132558628655
cp-724714,0.004521822974552052,0.03782125921489491
yo-01027,0.00455305021758864,0.03786358428075151
homoquinolinic-acid,0.00461505237863075,0.038159890239306826
am-580,0.004698970097915209,0.0386330098391097
jk-184,0.004838980281812114,0.03934814693778736
letrozole,0.004840338738718832,0.03934814693778736
fenofibrate,0.004870979118113705,0.03937103648671638
atenolol-(-),0.004897571919563889,0.03937103648671638
primaquine,0.004946751307365482,0.0395466803412036
demecarium,0.005039703335172608,0.04006841058238881
gdc-0879,0.00518059657880145,0.040907112206557794
bgt226,0.005201733687634163,0.040907112206557794
5-hydroxymethyl-tolterodine,0.005252059589723411,0.04101150171295158
gdc-0349,0.00527169268735936,0.04101150171295158
gimeracil,0.005693969479033478,0.04405975313455317
avanafil,0.005783430763478909,0.044231943697768596
ki-16425,0.0057952341994033894,0.044231943697768596
exemestane,0.005807926263010389,0.044231943697768596
petcm,0.005908013542015288,0.04470203640372963
tetrahydropapaverine,0.005931438140646917,0.04470203640372963
practolol,0.006021299495657954,0.04514414699594331
gidazepam,0.006077260676067912,0.045328846382836435
lenvatinib,0.006126698191803395,0.04546324247968981
dacarbazine,0.006241730517274363,0.046019648396796044
ski-ii,0.006265287307649497,0.046019648396796044
sb-218795,0.0063195290791978245,0.046062345017398136
aee788,0.006334766177237201,0.046062345017398136
golvatinib,0.006380425434425534,0.04616237801806874
mechlorethamine,0.0067200640181382006,0.048141066609460964
brigatinib,0.0067297034377194085,0.048141066609460964
isometheptene-mucate,0.006753722544381877,0.048141066609460964
metoprolol,0.0069925647670455995,0.04893174010925888
leucovorin,0.007008735188294242,0.04893174010925888
acetylcysteine,0.00704244868665596,0.04893174010925888
carfilzomib,0.007049767335178422,0.04893174010925888
buphenine,0.00705076620018548,0.04893174010925888
plinabulin,0.007075562917143983,0.04893174010925888
daclatasvir,0.007101358274322298,0.04893174010925888
az3146,0.00718448607099509,0.04926991158639761
hexaminolevulinate,0.007264937802345953,0.049576276818188846
oxiracetam,0.007297682765911697,0.049576276818188846
midostaurin,0.007375863318227172,0.04987324402558279
triamterene,0.0074519927738677235,0.04998533424187794
etofylline-clofibrate,0.007461528815650058,0.04998533424187794
ibrutinib,0.007512341304973614,0.05009381506127566
almorexant,0.007558676520597136,0.0501715822261654
belinostat,0.007598874536481632,0.050208088832369505
mexeneone,0.00783522938439857,0.05141046459096676
