drug,HR_OS,padj_OS,HR_RFS,padj_RFS,same_direction
osimertinib,6.38,4.21e-06,2.88,5.20e-02,Yes
saracatinib,5.5,4.21e-06,2.76,5.20e-02,Yes
erlotinib,4.28,9.35e-07,4.26,5.25e-04,Yes
brigatinib,3.63,9.35e-07,2.65,1.41e-02,Yes
pelitinib,3.42,8.77e-06,1.25,5.71e-01,Yes
entinostat,3.28,1.28e-05,2.71,1.73e-02,Yes
trametinib,2.0,8.88e-06,1.12,5.71e-01,Yes
paclitaxel,0.47,2.62e-04,0.71,2.83e-01,Yes
docetaxel,0.5,5.98e-04,0.54,4.45e-02,Yes
epirubicin,0.15,9.34e-06,0.23,1.73e-02,Yes
olaparib,0.6,6.91e-03,0.82,5.25e-01,Yes
