drug,n_samples,pearson_r,spearman_r,rmse
trichostatin-a,328,0.04413101443159279,0.02999215806831391,0.12800178246529875
BX-912,295,0.15193946510411063,0.14407013377957692,0.0948443941164529
etoposide,310,0.27174102913060577,0.24059080202573357,0.1573077421028802
PFI-1,329,0.13203622184716063,0.12730339198943247,0.06788616543061163
nintedanib,319,0.01856696022154696,-0.03903117052108594,0.16934458235228095
BI-2536,17,0.4045312361762982,0.4730392156862746,0.18267554634620667
teniposide,275,0.19324313134571616,0.2489074175586394,0.13054033219929004
GSK429286A,274,0.059195058687405155,0.022547671306795396,0.11802706489500338
venetoclax,234,-0.036030818473624444,-0.015711479340371683,0.06817130458591558
torin-2,308,-0.005035719565708839,-0.02128702074940334,0.3534925406430825
motesanib,214,0.12312550972229919,0.09381365349235163,0.07161423244215985
LY2109761,130,-0.03450664310722515,-0.0802332409291401,0.0659013378090761
pelitinib,300,0.015069237256145184,0.06282292025466948,0.125229725490013
AT7867,309,0.014687813584674211,0.014845380113153363,0.12014252264913027
dabrafenib,263,0.003992449386607486,0.03710456669560375,0.10757992138010451
PD-184352,321,0.05211615960619272,0.06455600220583968,0.13312583227296845
AR-42,320,-0.05258252891640657,-0.02349009755954648,0.15251179031512832
AZD4547,216,0.012136133866931315,-0.05571511925600447,0.06700453895477979
BVD-523,289,-0.031783945231222493,-0.04913246231555503,0.05776249141947113
bexarotene,247,0.017033577237929514,0.03425687319430331,0.06767055747934088
CHIR-99021,277,-0.06220290515925266,-0.10015086345615076,0.17074416734668615
SB-590885,186,-0.01299375955490758,-0.09414468807258179,0.09736617994090367
mitoxantrone,278,0.18307172353027873,0.22374042072967923,0.15596954785828343
SNX-2112,322,0.0009264465557190139,0.012341308130857296,0.25478549574931053
imatinib,20,0.3846080001028773,0.37744360902255636,0.04130564903567914
ruxolitinib,143,0.026354820452774392,-0.005318625036934896,0.06391424144723637
axitinib,19,0.054021303577744616,0.09649122807017543,0.0760916274205824
OTX015,267,-0.007427813774618164,-0.012755349719258735,0.08559710143245093
parthenolide,46,0.24392115746428655,0.24896700585877274,0.04873248334102207
selumetinib,331,0.06115301601476478,0.09416617306909596,0.137094913610424
pazopanib,269,0.05555011776522348,-0.004263071260796389,0.12091505801496198
AT-7519,311,0.07679716822160777,0.08049994813815994,0.15027167120392046
serdemetan,330,0.15651123218330723,0.17076323432304663,0.06489347271198134
alisertib,255,0.0434440565286221,0.010423662575266326,0.17608222225083156
palbociclib,251,0.11340624159289586,0.07161297666476948,0.12878768753637276
oxaliplatin,293,0.10295614407080002,0.05852617357195813,0.05140738981290896
CP-724714,252,-0.12959147623744757,-0.017220033849169484,0.14957376464311062
paclitaxel,238,0.10411961872343843,0.14422798968417538,0.08770103538952644
TG-101348,305,0.04465671389388288,0.01603055372278333,0.08931151577752101
GSK1904529A,274,-0.09122813793529026,-0.08896767466110532,0.05391562420023239
YM-155,293,0.20133911662015216,0.18313485570019303,0.5594317727855476
entinostat,278,-0.0031936200277065735,-0.03876111873980494,0.14121691432521838
tanespimycin,332,0.13364083337959426,0.14223629227451162,0.15169314188219782
GDC-0941,278,0.156697677905574,0.14347967299852907,0.12543474573633367
temozolomide,181,0.0029112233567429925,-0.018448586404387506,0.04834015490554569
lestaurtinib,326,0.22217708633222835,0.21962843820219852,0.2323102951410377
embelin,318,0.017074168103429443,0.020740480628951966,0.13470191432998949
VE-821,214,0.06903207766573069,0.08934432502425989,0.09553824779805142
GSK2110183,292,0.11642626178252452,0.08856995092862552,0.10734290668439786
