tf,gradient,abs_gradient,direction,drug,drug_auc
ISL1,-7.214605e-07,7.214605e-07,sensitivity,sangivamycin,0.3464447259902954
ZBTB4,5.814535e-07,5.814535e-07,resistance,sangivamycin,0.3464447259902954
DLX3,5.5816514e-07,5.5816514e-07,resistance,sangivamycin,0.3464447259902954
TP73,5.353974e-07,5.353974e-07,resistance,sangivamycin,0.3464447259902954
ZNF384,-4.9441405e-07,4.9441405e-07,sensitivity,sangivamycin,0.3464447259902954
SPIB,-4.9201657e-07,4.9201657e-07,sensitivity,sangivamycin,0.3464447259902954
HMGB2,4.843496e-07,4.843496e-07,resistance,sangivamycin,0.3464447259902954
FOXC1,-4.839572e-07,4.839572e-07,sensitivity,sangivamycin,0.3464447259902954
ELF4,-4.7813245e-07,4.7813245e-07,sensitivity,sangivamycin,0.3464447259902954
PLAGL1,4.776882e-07,4.776882e-07,resistance,sangivamycin,0.3464447259902954
ESRRA,-4.732115e-07,4.732115e-07,sensitivity,sangivamycin,0.3464447259902954
TEAD2,-4.6971297e-07,4.6971297e-07,sensitivity,sangivamycin,0.3464447259902954
LHX1,-4.6819412e-07,4.6819412e-07,sensitivity,sangivamycin,0.3464447259902954
POU5F1,-4.5893668e-07,4.5893668e-07,sensitivity,sangivamycin,0.3464447259902954
TBP,-4.5526875e-07,4.5526875e-07,sensitivity,sangivamycin,0.3464447259902954
SOX17,-4.546366e-07,4.546366e-07,sensitivity,sangivamycin,0.3464447259902954
SP3,-4.3979236e-07,4.3979236e-07,sensitivity,sangivamycin,0.3464447259902954
TCF3,-4.395485e-07,4.395485e-07,sensitivity,sangivamycin,0.3464447259902954
KCNIP3,4.384131e-07,4.384131e-07,resistance,sangivamycin,0.3464447259902954
NAB2,-4.1916647e-07,4.1916647e-07,sensitivity,sangivamycin,0.3464447259902954
ISL1,-6.979609e-07,6.979609e-07,sensitivity,echinomycin,0.34807249903678894
ZBTB4,5.8383756e-07,5.8383756e-07,resistance,echinomycin,0.34807249903678894
DLX3,5.554334e-07,5.554334e-07,resistance,echinomycin,0.34807249903678894
TP73,5.2232014e-07,5.2232014e-07,resistance,echinomycin,0.34807249903678894
FOXC1,-4.9204e-07,4.9204e-07,sensitivity,echinomycin,0.34807249903678894
ZNF384,-4.905989e-07,4.905989e-07,sensitivity,echinomycin,0.34807249903678894
SPIB,-4.895134e-07,4.895134e-07,sensitivity,echinomycin,0.34807249903678894
HMGB2,4.888473e-07,4.888473e-07,resistance,echinomycin,0.34807249903678894
LHX1,-4.886747e-07,4.886747e-07,sensitivity,echinomycin,0.34807249903678894
PLAGL1,4.797206e-07,4.797206e-07,resistance,echinomycin,0.34807249903678894
ELF4,-4.7380067e-07,4.7380067e-07,sensitivity,echinomycin,0.34807249903678894
ESRRA,-4.693329e-07,4.693329e-07,sensitivity,echinomycin,0.34807249903678894
TEAD2,-4.5343506e-07,4.5343506e-07,sensitivity,echinomycin,0.34807249903678894
POU5F1,-4.471871e-07,4.471871e-07,sensitivity,echinomycin,0.34807249903678894
KCNIP3,4.4640828e-07,4.4640828e-07,resistance,echinomycin,0.34807249903678894
TBP,-4.4527238e-07,4.4527238e-07,sensitivity,echinomycin,0.34807249903678894
SP3,-4.437164e-07,4.437164e-07,sensitivity,echinomycin,0.34807249903678894
TCF3,-4.3872132e-07,4.3872132e-07,sensitivity,echinomycin,0.34807249903678894
SOX17,-4.3846555e-07,4.3846555e-07,sensitivity,echinomycin,0.34807249903678894
NAB2,-4.2434067e-07,4.2434067e-07,sensitivity,echinomycin,0.34807249903678894
HIVEP1,1.1799077e-06,1.1799077e-06,resistance,exatecan-mesylate,0.35586869716644287
HOXB7,-9.302729e-07,9.302729e-07,sensitivity,exatecan-mesylate,0.35586869716644287
TET1,-8.9434525e-07,8.9434525e-07,sensitivity,exatecan-mesylate,0.35586869716644287
LHX1,-8.808137e-07,8.808137e-07,sensitivity,exatecan-mesylate,0.35586869716644287
NR2E1,-7.854608e-07,7.854608e-07,sensitivity,exatecan-mesylate,0.35586869716644287
ZBTB4,7.59283e-07,7.59283e-07,resistance,exatecan-mesylate,0.35586869716644287
FIGLA,-7.4147204e-07,7.4147204e-07,sensitivity,exatecan-mesylate,0.35586869716644287
DNMT3A,-7.3759185e-07,7.3759185e-07,sensitivity,exatecan-mesylate,0.35586869716644287
HOXB9,7.348036e-07,7.348036e-07,resistance,exatecan-mesylate,0.35586869716644287
BCOR,7.2905965e-07,7.2905965e-07,resistance,exatecan-mesylate,0.35586869716644287
IRX1,7.269598e-07,7.269598e-07,resistance,exatecan-mesylate,0.35586869716644287
THRB,7.1936233e-07,7.1936233e-07,resistance,exatecan-mesylate,0.35586869716644287
SIX3,-7.152285e-07,7.152285e-07,sensitivity,exatecan-mesylate,0.35586869716644287
MZF1,-7.0636537e-07,7.0636537e-07,sensitivity,exatecan-mesylate,0.35586869716644287
ZBTB7B,-6.735666e-07,6.735666e-07,sensitivity,exatecan-mesylate,0.35586869716644287
SUPT20H,-6.511782e-07,6.511782e-07,sensitivity,exatecan-mesylate,0.35586869716644287
HMGB2,6.378461e-07,6.378461e-07,resistance,exatecan-mesylate,0.35586869716644287
DLX3,6.348917e-07,6.348917e-07,resistance,exatecan-mesylate,0.35586869716644287
KCNIP3,6.30733e-07,6.30733e-07,resistance,exatecan-mesylate,0.35586869716644287
FOXC1,-6.2990335e-07,6.2990335e-07,sensitivity,exatecan-mesylate,0.35586869716644287
HIVEP1,1.3655261e-06,1.3655261e-06,resistance,triptolide,0.3573182225227356
HOXB7,-1.0785566e-06,1.0785566e-06,sensitivity,triptolide,0.3573182225227356
TET1,-1.0356667e-06,1.0356667e-06,sensitivity,triptolide,0.3573182225227356
LHX1,-9.866673e-07,9.866673e-07,sensitivity,triptolide,0.3573182225227356
NR2E1,-8.952922e-07,8.952922e-07,sensitivity,triptolide,0.3573182225227356
DNMT3A,-8.744882e-07,8.744882e-07,sensitivity,triptolide,0.3573182225227356
SIX3,-8.5746626e-07,8.5746626e-07,sensitivity,triptolide,0.3573182225227356
BCOR,8.496116e-07,8.496116e-07,resistance,triptolide,0.3573182225227356
IRX1,8.399657e-07,8.399657e-07,resistance,triptolide,0.3573182225227356
