drug,cohort,HR,CI_low,CI_high,pvalue,padj_in_cohort
paclitaxel,SCAN-B,0.47458994005938926,0.31982410911780157,0.704248381483377,0.0002146255839745597,0.0011417765441587
docetaxel,SCAN-B,0.498831671778782,0.33633555891720635,0.7398356497621121,0.0005435582320425511,0.0024275579066838
epirubicin,SCAN-B,0.15226994989521944,0.06742710015415229,0.34386971392933013,5.943944859241972e-06,5.658479086396799e-05
olaparib,SCAN-B,0.5997005608637717,0.41379882071347895,0.8691198348033559,0.0069147762935783605,0.0192787693580113
talazoparib,SCAN-B,0.40484767577118985,0.285703771512636,0.5736768531600763,3.682804218325734e-07,4.889007067814094e-06
paclitaxel,METABRIC,1.2499295797825447,0.7684842763840178,2.0329940409017073,0.36870831791122993,0.6069635222042657
docetaxel,METABRIC,0.9797943948435764,0.6390592932364642,1.5022034204448584,0.9254115083565285,0.9668378719075068
epirubicin,METABRIC,0.12222290096948966,0.035492712885811496,0.42088745285428547,0.0008632849372600741,0.0252701590181152
olaparib,METABRIC,0.8548344649859714,0.55120480582041,1.32571769115877,0.48356539059823633,0.7046932626675414
talazoparib,METABRIC,0.9320765214764162,0.5746368769112911,1.5118532708120835,0.7756176116760582,0.8924248025182991
