tf,rank_mean,rank_zero,rank_random,in_top20_mean,in_top20_zero,in_top20_random,in_top20_all,mean_rank_across_baselines
ZEB1,1,20,4,True,True,True,True,8.333333333333334
RELA,2,25,9,True,False,True,False,12.0
MZF1,3,28,7,True,False,True,False,12.666666666666666
ESR1,27,4,23,False,True,False,False,18.0
HIVEP1,5,64,2,True,False,True,False,23.666666666666668
IRX1,4,62,10,True,False,True,False,25.333333333333332
LHX1,24,11,55,False,True,False,False,30.0
HOXD3,31,48,15,False,False,True,False,31.333333333333332
NFAT5,21,40,33,False,False,False,False,31.333333333333332
AEBP1,6,74,16,True,False,True,False,32.0
BCOR,7,81,19,True,False,True,False,35.666666666666664
E2F1,51,3,66,False,True,False,False,40.0
HOXB9,8,104,13,True,False,True,False,41.666666666666664
TBX2,43,50,32,False,False,False,False,41.666666666666664
NSD2,57,29,47,False,False,False,False,44.333333333333336
RFXANK,50,66,24,False,False,False,False,46.666666666666664
TET1,11,111,18,True,False,True,False,46.666666666666664
SETBP1,12,118,12,True,False,True,False,47.333333333333336
TFDP1,76,1,65,False,True,False,False,47.333333333333336
MYCN,40,7,96,False,True,False,False,47.666666666666664
SREBF2,106,5,34,False,True,False,False,48.333333333333336
RELB,10,150,3,True,False,True,False,54.333333333333336
DNMT3A,17,134,14,True,False,True,False,55.0
SP1,80,12,73,False,True,False,False,55.0
HOXB7,9,161,1,True,False,True,False,57.0
KLF8,18,147,8,True,False,True,False,57.666666666666664
SIX3,16,122,36,True,False,False,False,58.0
HDGF,56,39,94,False,False,False,False,63.0
ZNF362,15,131,46,True,False,False,False,64.0
PPARD,104,22,69,False,False,False,False,65.0
SPDEF,14,142,42,True,False,False,False,66.0
STAT3,54,116,30,False,False,False,False,66.66666666666667
ZBTB7B,19,129,52,True,False,False,False,66.66666666666667
ASXL1,13,140,48,True,False,False,False,67.0
VENTX,53,108,53,False,False,False,False,71.33333333333333
FOXE1,107,45,63,False,False,False,False,71.66666666666667
RUNX2,20,197,5,True,False,True,False,74.0
EGR4,28,117,78,False,False,False,False,74.33333333333333
NFATC2,66,14,149,False,True,False,False,76.33333333333333
FOSB,38,174,17,False,False,True,False,76.33333333333333
THRB,23,141,72,False,False,False,False,78.66666666666667
NFATC4,110,67,61,False,False,False,False,79.33333333333333
JUND,41,149,57,False,False,False,False,82.33333333333333
PROX1,26,202,22,False,False,False,False,83.33333333333333
CTBP1,52,160,40,False,False,False,False,84.0
MTF1,117,58,80,False,False,False,False,85.0
MAX,74,130,51,False,False,False,False,85.0
RXRA,105,16,135,False,True,False,False,85.33333333333333
HIPK2,72,85,100,False,False,False,False,85.66666666666667
TRPS1,30,194,41,False,False,False,False,88.33333333333333
HNF1A,126,8,133,False,True,False,False,89.0
ELF5,79,53,136,False,False,False,False,89.33333333333333
VHL,34,164,71,False,False,False,False,89.66666666666667
ZXDC,22,212,38,False,False,False,False,90.66666666666667
HR,39,208,26,False,False,False,False,91.0
TLX3,71,171,31,False,False,False,False,91.0
HTATIP2,25,214,44,False,False,False,False,94.33333333333333
PPARGC1B,37,224,28,False,False,False,False,96.33333333333333
ATF3,146,18,127,False,True,False,False,97.0
REL,49,216,27,False,False,False,False,97.33333333333333
EOMES,186,17,93,False,True,False,False,98.66666666666667
TEAD1,99,42,156,False,False,False,False,99.0
CXXC1,44,225,50,False,False,False,False,106.33333333333333
KAT7,116,23,182,False,False,False,False,107.0
FOXC1,75,139,108,False,False,False,False,107.33333333333333
TBPL1,132,105,86,False,False,False,False,107.66666666666667
DMTF1,102,86,137,False,False,False,False,108.33333333333333
IRF3,48,239,43,False,False,False,False,110.0
PHOX2B,155,94,82,False,False,False,False,110.33333333333333
REST,124,9,200,False,True,False,False,111.0
RXRG,109,120,109,False,False,False,False,112.66666666666667
HMGB2,92,97,150,False,False,False,False,113.0
TLX1,32,276,37,False,False,False,False,115.0
TFAP2C,36,215,98,False,False,False,False,116.33333333333333
GRHL3,35,263,54,False,False,False,False,117.33333333333333
TCF21,29,261,62,False,False,False,False,117.33333333333333
E2F2,152,38,173,False,False,False,False,121.0
PREB,162,15,187,False,True,False,False,121.33333333333333
DBP,212,61,92,False,False,False,False,121.66666666666667
ZNF410,118,135,119,False,False,False,False,124.0
LYL1,149,77,148,False,False,False,False,124.66666666666667
E2F5,60,198,120,False,False,False,False,126.0
NFKB2,59,302,21,False,False,False,False,127.33333333333333
ZNF219,42,256,85,False,False,False,False,127.66666666666667
GRHL2,33,264,90,False,False,False,False,129.0
GATA4,213,35,140,False,False,False,False,129.33333333333334
HDAC1,141,69,181,False,False,False,False,130.33333333333334
CUX1,140,82,170,False,False,False,False,130.66666666666666
PITX1,167,84,146,False,False,False,False,132.33333333333334
ZMYND8,137,155,106,False,False,False,False,132.66666666666666
ZBTB4,242,2,155,False,True,False,False,133.0
HLX,63,319,20,False,False,True,False,134.0
BARX1,95,206,104,False,False,False,False,135.0
MEF2B,90,249,67,False,False,False,False,135.33333333333334
HOXA13,119,191,97,False,False,False,False,135.66666666666666
XBP1,171,109,130,False,False,False,False,136.66666666666666
CREB3L1,47,304,60,False,False,False,False,137.0
FOXG1,78,267,68,False,False,False,False,137.66666666666666
FIGLA,173,83,161,False,False,False,False,139.0
NEUROD1,318,24,77,False,False,False,False,139.66666666666666
ARID1A,46,287,89,False,False,False,False,140.66666666666666
ELF2,129,56,243,False,False,False,False,142.66666666666666
RFX1,45,326,58,False,False,False,False,143.0
DAXX,62,288,81,False,False,False,False,143.66666666666666
ZNF335,82,275,76,False,False,False,False,144.33333333333334
TBX6,123,157,159,False,False,False,False,146.33333333333334
FOS,103,315,29,False,False,False,False,149.0
AP1,220,176,56,False,False,False,False,150.66666666666666
ZNF300,64,265,124,False,False,False,False,151.0
IRF7,185,19,251,False,True,False,False,151.66666666666666
AR,227,6,226,False,True,False,False,153.0
EGR1,130,193,144,False,False,False,False,155.66666666666666
POU3F1,202,32,235,False,False,False,False,156.33333333333334
MEIS1,55,292,123,False,False,False,False,156.66666666666666
STAT2,68,380,25,False,False,False,False,157.66666666666666
NAB2,192,168,113,False,False,False,False,157.66666666666666
FGF2,67,357,49,False,False,False,False,157.66666666666666
KAT5,168,52,254,False,False,False,False,158.0
PHF5A,101,336,39,False,False,False,False,158.66666666666666
IRF4,182,13,283,False,True,False,False,159.33333333333334
ZEB2,73,281,125,False,False,False,False,159.66666666666666
ASCL2,108,277,95,False,False,False,False,160.0
ELK4,253,26,202,False,False,False,False,160.33333333333334
NKX3-1,206,49,227,False,False,False,False,160.66666666666666
HIF1A,147,113,230,False,False,False,False,163.33333333333334
SALL1,84,299,107,False,False,False,False,163.33333333333334
KLF12,69,354,70,False,False,False,False,164.33333333333334
TFAP2B,58,327,110,False,False,False,False,165.0
BCL11A,87,308,102,False,False,False,False,165.66666666666666
AHRR,150,165,183,False,False,False,False,166.0
USF2,89,325,87,False,False,False,False,167.0
GATA6,282,37,190,False,False,False,False,169.66666666666666
WWTR1,194,132,188,False,False,False,False,171.33333333333334
POU4F2,97,344,75,False,False,False,False,172.0
PRDM16,172,79,266,False,False,False,False,172.33333333333334
PRDM1,86,294,143,False,False,False,False,174.33333333333334
FOXP2,77,343,103,False,False,False,False,174.33333333333334
LHX8,65,317,142,False,False,False,False,174.66666666666666
NR3C2,88,426,11,False,False,True,False,175.0
RORA,304,31,191,False,False,False,False,175.33333333333334
ID4,83,438,6,False,False,True,False,175.66666666666666
NR2E1,100,268,160,False,False,False,False,176.0
HSF2,292,34,203,False,False,False,False,176.33333333333334
ZNF263,70,333,126,False,False,False,False,176.33333333333334
MEF2A,81,322,131,False,False,False,False,178.0
LHX2,135,231,171,False,False,False,False,179.0
HOXA1,196,246,99,False,False,False,False,180.33333333333334
SP3,120,258,164,False,False,False,False,180.66666666666666
ZBTB33,96,368,83,False,False,False,False,182.33333333333334
