drug,fisher_p,mean_HR,n_cohorts,pvals,fisher_padj
pardoprunox,0.0,0.2458641649618755,3,"[np.float64(1.8997861970575815e-19), np.float64(4.1705474224781434e-05), np.float64(0.5276355272225577)]",0.0
litronesib,6.661338147750939e-15,0.4037140005048693,3,"[np.float64(4.5839017375324935e-15), np.float64(0.009742540613858052), np.float64(0.18420890914872098)]",4.337530334908024e-12
uprosertib,8.992806499463768e-15,0.12972047418405896,3,"[np.float64(3.198276677552922e-13), np.float64(0.00014563756535190402), np.float64(0.2418951118240828)]",4.337530334908024e-12
tyrphostin-ag-1296,8.004708007547379e-14,0.2670855947300873,3,"[np.float64(2.065019787068195e-14), np.float64(0.017317296452561155), np.float64(0.31433999022252335)]",2.8957031217302642e-11
vinblastine,9.502398867766715e-13,0.32523593369684645,3,"[np.float64(1.287234945199671e-13), np.float64(0.17111332997673567), np.float64(0.06995261590263846)]",2.749994232331687e-10
brivaracetam,1.454392162258955e-12,0.3320824444563667,3,"[np.float64(4.2239203619911687e-13), np.float64(0.010223295431984988), np.float64(0.5604104480836591)]",3.5075090979811796e-10
selinexor,2.832289958121237e-12,0.1297810394658502,3,"[np.float64(3.322631386969347e-11), np.float64(0.0006661346661218842), np.float64(0.22188502687753844)]",5.854747956287757e-10
bnc105,4.666267372499533e-12,0.3839557785265825,3,"[np.float64(1.9738926450695093e-12), np.float64(0.01757523714832222), np.float64(0.24069140524862567)]",8.44011111000853e-10
securinine,5.431322058768728e-12,0.47642092806675534,3,"[np.float64(3.0443347402894284e-12), np.float64(0.019432920932052844), np.float64(0.16588161610909524)]",8.73235891004261e-10
mebendazole,1.0382361637084614e-11,0.07114267554469555,3,"[np.float64(3.308873609512468e-06), np.float64(3.159873343704023e-08), np.float64(0.18709427136055012)]",1.3301388964629486e-09
nizofenone,1.0822343021743563e-11,2.079649472418497,3,"[np.float64(9.707364289370539e-08), np.float64(2.2846595138975965e-07), np.float64(0.9219100552718051)]",1.3301388964629486e-09
primaquine,1.122690829191697e-11,0.28818596417865616,3,"[np.float64(5.662431712731188e-08), np.float64(2.372482684936466e-05), np.float64(0.015826736851884782)]",1.3301388964629486e-09
