moa,n_sig,n_total,pct_sig,odds_ratio,pvalue,padj
tubulin polymerization inhibitor,25,27,92.5925925925926,21.245247148288975,3.397361106431049e-09,3.1595458289808756e-07
protein tyrosine kinase inhibitor,7,9,77.77777777777777,5.751838235294118,0.01835534934644431,0.6396266636455101
akt inhibitor,8,11,72.72727272727273,4.385512584407612,0.02092681683258369,0.6396266636455101
mtor inhibitor,16,28,57.142857142857146,2.203115264797508,0.030229280675972695,0.6396266636455101
retinoid receptor agonist,6,8,75.0,4.921100917431192,0.03850571970214507,0.6396266636455101
microtubule inhibitor,7,10,70.0,3.830269607843137,0.04126623636422646,0.6396266636455101
glucocorticoid receptor agonist,14,25,56.0,2.0975114271203656,0.05089634117663204,0.6761942470609685
hsp inhibitor,8,13,61.53846153846154,2.625414364640884,0.07372719426332303,0.7285240192728567
plk inhibitor,5,7,71.42857142857143,4.093406593406593,0.0783359160508448,0.7285240192728567
ppar receptor agonist,5,7,71.42857142857143,4.093406593406593,0.0783359160508448,0.7285240192728567
chk inhibitor,5,8,62.5,2.725885225885226,0.14471957663201104,1.0
potassium channel blocker,4,6,66.66666666666667,3.2687385740402193,0.1532320805090945,1.0
dna methyltransferase inhibitor,4,6,66.66666666666667,3.2687385740402193,0.1532320805090945,1.0
opioid receptor agonist,4,6,66.66666666666667,3.2687385740402193,0.1532320805090945,1.0
src inhibitor,6,11,54.54545454545455,1.961834862385321,0.2050246876190374,1.0
egfr inhibitor,18,41,43.90243902439025,1.2818337547923975,0.2666871504471939,1.0
prostanoid receptor antagonist,3,5,60.0,2.447080291970803,0.28452815469928655,1.0
opioid receptor antagonist,3,5,60.0,2.447080291970803,0.28452815469928655,1.0
ikk inhibitor,3,5,60.0,2.447080291970803,0.28452815469928655,1.0
apoptosis stimulant,3,5,60.0,2.447080291970803,0.28452815469928655,1.0
atpase inhibitor,6,12,50.0,1.6330275229357798,0.28454734789990266,1.0
nfkb pathway inhibitor,6,12,50.0,1.6330275229357798,0.28454734789990266,1.0
flt3 inhibitor,8,17,47.05882352941177,1.4520155514630653,0.29855563102062027,1.0
vegfr inhibitor,15,35,42.857142857142854,1.2257462686567164,0.33595692804818106,1.0
estrogen receptor agonist,4,8,50.0,1.6307129798903108,0.36146768960817716,1.0
p38 mapk inhibitor,4,8,50.0,1.6307129798903108,0.36146768960817716,1.0
bcl inhibitor,4,8,50.0,1.6307129798903108,0.36146768960817716,1.0
bacterial dna gyrase inhibitor,4,8,50.0,1.6307129798903108,0.36146768960817716,1.0
pi3k inhibitor,12,28,42.857142857142854,1.2244897959183674,0.3661710818212059,1.0
glutamate receptor antagonist,6,13,46.15384615384615,1.3981651376146789,0.369097075306537,1.0
topoisomerase inhibitor,11,26,42.30769230769231,1.1964197530864198,0.3980123235887585,1.0
histone lysine methyltransferase inhibitor,3,6,50.0,1.6295620437956204,0.41582422888947845,1.0
mdm inhibitor,3,6,50.0,1.6295620437956204,0.41582422888947845,1.0
syk inhibitor,3,6,50.0,1.6295620437956204,0.41582422888947845,1.0
estrogen receptor antagonist,3,6,50.0,1.6295620437956204,0.41582422888947845,1.0
hmgcr inhibitor,3,6,50.0,1.6295620437956204,0.41582422888947845,1.0
progesterone receptor agonist,4,9,44.44444444444444,1.303107861060329,0.4689530637706455,1.0
parp inhibitor,4,9,44.44444444444444,1.303107861060329,0.4689530637706455,1.0
raf inhibitor,5,12,41.666666666666664,1.163003663003663,0.5067613750583644,1.0
serotonin receptor antagonist,5,12,41.666666666666664,1.163003663003663,0.5067613750583644,1.0
dna inhibitor,6,15,40.0,1.0850152905198778,0.5363784276836512,1.0
vitamin d receptor agonist,3,7,42.857142857142854,1.2208029197080292,0.5378721757165168,1.0
thymidylate synthase inhibitor,3,7,42.857142857142854,1.2208029197080292,0.5378721757165168,1.0
adenosine receptor antagonist,3,7,42.857142857142854,1.2208029197080292,0.5378721757165168,1.0
acetylcholine receptor antagonist,3,7,42.857142857142854,1.2208029197080292,0.5378721757165168,1.0
adrenergic receptor antagonist,7,18,38.888888888888886,1.0352606951871657,0.5608979456488836,1.0
protein synthesis inhibitor,7,18,38.888888888888886,1.0352606951871657,0.5608979456488836,1.0
phosphodiesterase inhibitor,4,10,40.0,1.0847044485070079,0.5688516747359719,1.0
igf-1 inhibitor,2,5,40.0,1.0843958712811173,0.6293896100403735,1.0
pkc inhibitor,2,5,40.0,1.0843958712811173,0.6293896100403735,1.0
sterol demethylase inhibitor,2,5,40.0,1.0843958712811173,0.6293896100403735,1.0
bacterial cell wall synthesis inhibitor,2,5,40.0,1.0843958712811173,0.6293896100403735,1.0
tyrosine kinase inhibitor,3,8,37.5,0.9755474452554744,0.6437148673815205,1.0
proteasome inhibitor,3,8,37.5,0.9755474452554744,0.6437148673815205,1.0
alk tyrosine kinase receptor inhibitor,4,11,36.36363636363637,0.9287020109689214,0.6572399476847147,1.0
dna alkylating agent,5,14,35.714285714285715,0.9025234025234026,0.6697617299772097,1.0
jak inhibitor,6,17,35.294117647058826,0.8857381150959133,0.681365096514041,1.0
pdgfr tyrosine kinase receptor inhibitor,8,23,34.78260869565217,0.865316144874156,0.7022758692580419,1.0
cdk inhibitor,8,23,34.78260869565217,0.865316144874156,0.7022758692580419,1.0
sodium channel blocker,4,12,33.333333333333336,0.8117001828153565,0.7324792339978898,1.0
bromodomain inhibitor,2,6,33.333333333333336,0.8123861566484517,0.7361723006158212,1.0
ret tyrosine kinase inhibitor,2,6,33.333333333333336,0.8123861566484517,0.7361723006158212,1.0
acetylcholine receptor agonist,2,6,33.333333333333336,0.8123861566484517,0.7361723006158212,1.0
hcv inhibitor,2,6,33.333333333333336,0.8123861566484517,0.7361723006158212,1.0
serotonin receptor agonist,2,6,33.333333333333336,0.8123861566484517,0.7361723006158212,1.0
kit inhibitor,5,16,31.25,0.7367632367632367,0.7927212863893963,1.0
benzodiazepine receptor agonist,4,13,30.76923076923077,0.7206987609181393,0.7945581991510601,1.0
fgfr inhibitor,3,10,30.0,0.6952554744525548,0.8006289525230949,1.0
bcr-abl kinase inhibitor,3,10,30.0,0.6952554744525548,0.8006289525230949,1.0
dopamine receptor antagonist,5,17,29.41176470588235,0.6746031746031746,0.839119698837461,1.0
cyclooxygenase inhibitor,6,21,28.571428571428573,0.6466055045871559,0.8721674952785342,1.0
bacterial 50s ribosomal subunit inhibitor,2,8,25.0,0.5403764420157863,0.8727515116402171,1.0
histamine receptor antagonist,5,18,27.77777777777778,0.6220061989292759,0.8766277861031692,1.0
hdac inhibitor,7,25,28.0,0.6276552287581699,0.8974491571954529,1.0
xiap inhibitor,1,5,20.0,0.40545454545454546,0.9093544096945471,1.0
membrane integrity inhibitor,1,5,20.0,0.40545454545454546,0.9093544096945471,1.0
dna polymerase inhibitor,1,5,20.0,0.40545454545454546,0.9093544096945471,1.0
lipoxygenase inhibitor,1,5,20.0,0.40545454545454546,0.9093544096945471,1.0
ribonucleotide reductase inhibitor,2,10,20.0,0.40437158469945356,0.9413734880099475,1.0
antioxidant,1,6,16.666666666666668,0.324,0.9439908315102923,1.0
androgen receptor antagonist,1,6,16.666666666666668,0.324,0.9439908315102923,1.0
dna synthesis inhibitor,3,14,21.428571428571427,0.4404445919044459,0.9471957917066282,1.0
adrenergic receptor agonist,3,15,20.0,0.4032846715328467,0.9630552333193523,1.0
tgf beta receptor inhibitor,1,7,14.285714285714286,0.2696969696969697,0.9654072449994171,1.0
cytochrome p450 inhibitor,1,7,14.285714285714286,0.2696969696969697,0.9654072449994171,1.0
aurora kinase inhibitor,5,23,21.73913043478261,0.44668294668294667,0.9717859528950549,1.0
glycogen synthase kinase inhibitor,1,10,10.0,0.17919191919191918,0.9918709213482606,1.0
mek inhibitor,2,19,10.526315789473685,0.18836387013821923,0.9986682613211987,1.0
calcium channel blocker,0,7,0.0,0.0,1.0,1.0
chelating agent,0,5,0.0,0.0,1.0,1.0
cc chemokine receptor antagonist,0,7,0.0,0.0,1.0,1.0
rho associated kinase inhibitor,0,5,0.0,0.0,1.0,1.0
rna polymerase inhibitor,0,5,0.0,0.0,1.0,1.0
