drug,n_samples,pearson_r,spearman_r,rmse
1-azakenpaullone,89,0.04077741378116064,0.12625127681307458,0.24820901317924604
1-naphthyl-pp1,90,0.26236691507720433,0.14982096555130262,0.20276396006072858
1-phenylbiguanide,75,0.015008845605371824,0.15217638691322902,0.20753297358628736
10-deacetylbaccatin,91,0.20111538941257445,0.31017677974199714,0.16423279609371855
10-hydroxycamptothecin,92,0.38217284484567543,0.39153553319051215,0.11120659190270862
12-o-tetradecanoylphorbol-13-acetate,81,0.07490566708342315,0.13299457994579944,0.4147215221541848
2'-meccpa,85,0.17574779424080733,0.15425053742427203,0.3479327937406312
"2,3-dcpe",87,0.3374747118965811,0.43143544506816356,0.18975181240388309
2-methoxyestradiol,87,-0.001236711513267966,0.01725096163193767,0.07978392782060079
3'-fluorobenzylspiperone,76,0.02369506216006448,-0.007245386192754615,0.2271346380785384
3-amino-benzamide,90,-0.18538282100753387,-0.17390511428453392,0.1443487137141129
3-deazaneplanocin-a,91,0.11145652312979284,0.18608058608058606,0.1230029519756783
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,93,0.0029219928394099877,0.05474321864462415,0.25203582949791203
4-chlorophenylguanidine,86,0.3345323421349929,0.2762677484787018,0.16652140516826014
4-hydroxy-phenazone,82,0.04599287231835111,-0.021865238732708615,0.22674273623319352
4-iodo-6-phenylpyrimidine,85,0.014491706784971043,0.10085987883525505,0.16891019998981083
4-methylgenistein,86,0.19659807868508555,0.23362422755790366,0.2534748435519814
4-methylhistamine,85,0.024485846018657616,0.018780535470001955,0.32616370080690577
4-pyrimidinecarbonitrile,89,-0.05491181005665692,-0.028804902962206336,0.2910419954020704
4e1rcat,72,0.07254395563600956,0.10457264132741656,0.26743004588872027
5-fluorouracil,89,-0.010292730024573293,-0.026830098740211104,0.21258875727116963
5-hydroxymethyl-tolterodine,72,-0.04957024305061139,-0.004823461315840247,0.21066318156507444
7-aminocephalosporanic-acid,75,0.06589861455578096,0.11445234708392601,0.22366899776191737
7-hydroxystaurosporine,76,0.07299178181073868,0.0902529049897471,0.08866827190888711
7-nitroindazole,80,0.08386325370468894,0.10274261603375529,0.22492047094147777
8-bromo-cgmp,78,0.042162679170677377,0.0054249547920434,0.15982714091454936
8-hydroxy-pipat,91,-0.020401342324893903,-0.12331581462016246,0.20810969685121158
9-aminoacridine,91,0.04003139745741541,0.03296703296703297,0.04753756032623373
a-674563,89,0.20047272378918937,0.21622403813415056,0.08438867654162478
a-803467,76,0.14368151500823817,0.11177033492822966,0.22876542326403124
a61603,90,-0.1772152178630456,-0.11814627320245297,0.23905342243725802
abemaciclib,90,0.40945258296121945,0.4156412242715557,0.08529719420850178
abiraterone,81,0.03236998662812009,0.03798554652213189,0.2197146499827422
abiraterone-acetate,80,0.03548750793482261,0.013853727144866386,0.1942369379999324
abt-702,91,0.1515083817647458,0.16238254499124063,0.1893764603880162
abt-737,92,0.22887436258225752,0.17770448345483406,0.18598926376889216
abt-751,93,0.2924028235937908,0.42342812807734764,0.10001768581617004
ac-264613,94,0.17884701363303807,0.23399920528844417,0.2108319825150693
acdpp,71,0.012733711249979735,0.041716968477531854,0.24013046550621145
acesulfame-potassium,87,0.08392988318162657,0.13902456805423924,0.14370125976692955
acetazolamide,78,0.07832333596915601,0.010457896533845901,0.20407782047959785
acetophenazine,81,0.010376942003285185,0.059778681120144526,0.222004591330709
acetylcysteine,82,0.24520031915752116,0.2293292410835755,0.19310722539049122
acetylsalicylsalicylic-acid,89,0.041560496570300816,0.006537282941777325,0.1737793437616972
