drug,n_samples,pearson_r,spearman_r,rmse
1-azakenpaullone,89,-0.022628117,-0.0472420837589377,0.22954613
1-phenylbiguanide,75,0.0071990653,-0.033883357041251776,0.19621418
10-deacetylbaccatin,91,-0.09932206,0.032600732600732596,0.15674403
10-hydroxycamptothecin,92,0.27133167,0.21449378111369696,0.15402862
2-methoxyestradiol,87,-0.10436523,-0.060149694428219574,0.085868396
3'-fluorobenzylspiperone,76,0.288374,0.30017771701982227,0.19997814
3-amino-benzamide,90,0.09844627,0.07316025682546916,0.11904219
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,93,0.100904725,0.07245382113335919,0.21043503
4-chlorophenylguanidine,86,0.29421434,0.19028256049813672,0.16229968
4-hydroxy-phenazone,82,0.09550063,0.10697532678138026,0.21229878
4-iodo-6-phenylpyrimidine,85,0.056901753,-0.04698065272620676,0.15497196
4-methylgenistein,86,-0.06353949,-0.061408557007406016,0.25062853
4-methylhistamine,85,0.23598108,0.19450850107484852,0.29746622
4-pyrimidinecarbonitrile,89,0.2812349,0.23340143003064356,0.25450382
5-fluorouracil,89,0.06806995,0.07080354102826014,0.19527656
5-hydroxymethyl-tolterodine,72,0.13663715,0.07836516817801789,0.18270214
7-aminocephalosporanic-acid,75,0.03124461,0.08418207681365576,0.21664722
7-hydroxystaurosporine,76,-0.0031888718,0.008503075871496924,0.08874357
7-nitroindazole,80,0.060181636,0.023558368495077357,0.22096257
9-aminoacridine,91,0.1092852,0.14303232998885174,0.05924654
abemaciclib,90,0.052315746,0.05510512159147312,0.09758643
abiraterone,81,0.16623625,0.11781842818428184,0.20720476
abiraterone-acetate,80,-0.001950912,-0.008462259728082514,0.17341216
acesulfame-potassium,87,-0.018378459,0.07158999781293285,0.14267555
acetazolamide,78,0.21094522,0.17980753423791396,0.1923672
acetophenazine,81,0.13790196,0.1295844625112918,0.20225358
acetylcysteine,82,-0.08124104,-0.03499091215811757,0.20774516
acetylsalicylsalicylic-acid,89,-0.08346924,-0.09096016343207355,0.17439349
acipimox,91,0.1180037,0.11301162605510433,0.23534885
acivicin,72,-0.07056524,-0.04887774133384784,0.16926698
adapalene,83,0.0526977,0.0024348264136686117,0.12065783
adaprev,93,0.07636631,-0.012980812270597712,0.18744352
adarotene,24,0.40867978,0.32521739130434785,0.08884755
adefovir-dipivoxil,75,-0.13501854,-0.05524893314366998,0.12743415
afatinib,94,-0.091328725,-0.03652231776397815,0.141656
afobazole,90,0.09359462,0.06464172531588261,0.22809616
ajmaline,84,-0.022977643,-0.08911612837906248,0.23108888
albendazole,89,-0.0037817291,-0.03169901259788901,0.19838157
alectinib,92,0.053347025,0.09895030705103966,0.10699262
alexidine,94,-0.0019294375,0.18373008705703864,0.1042196
alfacalcidol,88,0.087923035,0.04027684829699553,0.21432655
alisertib,92,-0.055803623,-0.07279256507868008,0.22406079
almorexant,88,0.1399299,0.164840970730161,0.24969566
alogliptin,72,-0.09279663,-0.15136021609106698,0.22945851
alpelisib,88,-0.08977941,-0.11966344830348939,0.094514735
altretamine,34,0.1416595,0.14346829640947287,0.32397124
alvespimycin,92,-0.06812886,-0.07407265042415967,0.17696266
alvocidib,90,0.019919867,0.03344583473363102,0.1291548
ambazone,82,-0.03107656,-0.04704998857217488,0.23786213
amfenac,88,-0.03566249,-0.1492198231834032,0.17121509
aminoglutethimide,92,0.10486189,0.17579726498153145,0.18362838
aminopurvalanol-a,92,0.079998836,0.08331920533884067,0.17984188
amisulpride,79,0.037884302,-0.01587147030185005,0.20357464
ammonium-lactate,82,0.0060014883,0.11130701668462469,0.22182989
amonafide,89,-0.047359556,-0.13748723186925438,0.2887793
amoxicillin,82,0.1429995,0.16655238841545042,0.17045821
amprolium,74,0.11924573,0.12962606442058494,0.22327782
amsacrine,86,-0.04001869,-0.14524270012736448,0.10241046
anagrelide,81,0.131479,0.12951743518366024,0.1320869
anastrozole,67,0.074681364,0.056429084523904556,0.22437459
anguidine,93,0.084218994,0.02964698158813523,0.08942487
anisomycin,94,0.16328694,0.21336560343893363,0.08164997
apatinib,90,0.21488646,0.17683664649956785,0.1941959
aphidicolin,76,-0.017122192,-0.017088174982911822,0.08823765
arctigenin,92,-0.028156763,-0.07709261285698873,0.18560457
arcyriaflavin-a,89,0.026916169,0.03273748723186926,0.21671672
aripiprazole,8,0.6186941,0.2380952380952381,0.13644758
artemisinin,90,-0.028114825,-0.00916162489196197,0.19148758
artesunate,85,0.20591812,0.20201289818252882,0.2273851
aspirin,85,0.13495548,0.04944303302716435,0.21139544
astemizole,85,-0.20072353,-0.213484463552863,0.2132977
asymmetrical-dimethylarginine,90,0.05335191,-0.07295550891056508,0.15947844
atenolol-(+/-),83,0.06948734,0.06555140422316443,0.16899253
atenolol-(-),75,0.33876687,0.2393456614509246,0.30165404
atipamezole,89,0.17573982,0.10463057541709228,0.19341213
atiprimod,86,-0.054961618,-0.018287005021216062,0.12187703
atorvastatin,87,0.11225728,0.11895822701756942,0.2402504
aurora-a-inhibitor-i,90,0.15297261,0.03114015953271377,0.100923054
avanafil,84,0.08939234,0.09857244102460261,0.15507379
axitinib,85,-0.09857558,-0.10444301380033504,0.10180789
azacitidine,93,0.05563122,-0.04037289425266389,0.17032729
azalomycin-b,92,0.018747037,-0.009833084166885008,0.07530737
azathioprine,86,0.12972963,0.10710882588801357,0.2306028
azilsartan,85,-0.16340886,-0.029626734414696113,0.13841152
azithromycin,85,0.09406306,0.048817666601524326,0.11027465
azodicarbonamide,90,0.18100172,0.17267152323332097,0.21532114
azomycin-(2-nitroimidazole),87,0.057036214,0.05653568564554931,0.18589607
aztreonam,86,0.15725142,0.1294306335204491,0.16819872
bafetinib,92,-0.14981438,-0.17516144444615692,0.14466554
baicalein,89,0.06600348,0.0317330609465441,0.21997637
baicalin,84,0.12303304,0.14710006631790348,0.17480314
balapiravir,90,0.032851033,-0.03316458822076799,0.22451812
barasertib,88,0.001342946,0.04815526835681522,0.110102944
bardoxolone,56,-0.0077422005,-0.01715652768284347,0.16010411
bardoxolone-methyl,90,-0.07290692,-0.027073412657811134,0.10214188
baricitinib,90,-0.08862018,0.020504589043914886,0.2288506
batimastat,93,-0.06912739,-0.09212753370467706,0.0975654
beclomethasone-dipropionate,85,0.09482156,0.02755520812976353,0.2695831
bekanamycin,86,0.043114845,0.022821831218453697,0.24174933
belinostat,86,-0.12458818,-0.123264809556445,0.11052858
bendamustine,90,0.3572594,0.37834300530929743,0.17991187
bendroflumethiazide,80,0.14060654,0.17161275199249884,0.21748966
benfotiamine,80,0.048253864,0.02705110173464604,0.22568592
bentazepam,85,-0.00089633645,-0.04909126441274184,0.11084336
benzethonium,75,-0.17738836,-0.21368421052631575,0.18290004
benzocaine,58,-0.0740057,-0.12128948906456674,0.18752465
benzydamine,87,0.03505358,-0.0546037763359335,0.27423686
