drug,HR_s,padj_s,HR_m,padj_m,same_direction
pardoprunox,0.1034732687168706,2.74899062714232e-16,0.2508222136595169,0.0043105586573756,True
uprosertib,0.0689273386965842,9.255812704838156e-11,0.1656892300595267,0.0105368778532102,True
selinexor,0.0628784041181605,2.671026453858136e-09,0.1974405730568319,0.0224162060901945,True
cpp,3.5705670600581816,4.1063252616897844e-08,2.524340705489349,0.0136547737218203,True
vinorelbine,0.1701877324201158,1.0468287854982077e-07,0.3180392449051732,0.0252701590181152,True
digoxin,0.0318656430243738,1.0477159341309645e-07,0.0939012114368949,0.0194304389570387,True
primaquine,0.3923943782662814,1.0640959335483156e-06,0.3468705473982725,0.0027429705875777,True
nizofenone,2.7992260963039173,1.6145466812320885e-06,2.99254658497374,8.264755791524556e-05,True
brigatinib,3.626154003257579,2.563279509071648e-06,4.403539752028122,0.0014526516554479,True
kw-2478,0.2504220324434906,3.971587566578877e-06,0.1580319741995234,0.0006587724197304,True
ikk-2-inhibitor-v,0.1935202386652934,1.6021063814058897e-05,0.227880482289207,0.0191838610153195,True
trovafloxacin,0.4344343933434403,2.3393334374932505e-05,0.3864712239760766,0.0076757877142434,True
pf-05212384,0.0825120911421859,2.4224428936191484e-05,0.133140337342981,0.0155977459158948,True
ixabepilone,0.1359373835060865,3.325344664383582e-05,0.214902579195393,0.0308722662393528,True
mebendazole,0.1181992865791379,3.348209869205973e-05,0.0349073803980169,1.524112242779907e-05,True
pelitinib,3.419099570527163,3.951794681787295e-05,3.079288926725234,0.0224162060901945,True
naloxone,0.6028650997805844,4.7905443881642735e-05,0.4451737149701679,8.337518746243945e-05,True
epirubicin,0.1522699498952194,5.658479086396799e-05,0.1222229009694897,0.0252701590181152,True
ac-264613,0.3906112799846821,5.752462743598229e-05,0.4714681144659051,0.0241704191482368,True
fenbendazole,0.3921778357401797,7.151217617613465e-05,0.371948032684342,0.0044777139323814,True
baicalein,2.107172178829352,0.0001112326182482,2.001105479997653,0.0355403146440026,True
eprobemide,0.6007967937671376,0.0001804400672486,0.5440964965830521,0.0018224269626516,True
norfloxacin,0.4794759602281757,0.0001969866722524,0.4279650703416217,0.0173452166287993,True
trapidil,0.4476289624329662,0.0002113127059866,0.3804902553688455,0.0076757877142434,True
xl888,0.1802795883990088,0.0002762924441576,0.1049694777257338,0.0003793554328747,True
sb-2343,0.1391522508512213,0.0004203758709402,0.1133620787053489,0.0290262530318487,True
acetylcysteine,2.183719582762234,0.0007833888504825,2.1562971515494684,0.0277596580367944,True
acdpp,0.5615671866592621,0.0012314941755898,0.4403617388996026,0.0027429705875777,True
acetophenazine,0.4518039947896229,0.0012753326326501,0.2139452863064936,1.524112242779907e-05,True
azd8931,2.819197752606665,0.0012780727716118,3.46312571501529,0.0155977459158948,True
voxtalisib,0.6107556563387266,0.0014188324332367,0.5365658885085398,0.0136547737218203,True
gsk256066,0.5991246065109701,0.0015190394864583,0.5811126939767082,0.0203387611230914,True
lapatinib,3.313876058004717,0.0017421858003303,5.282325500014776,0.0022840034033788,True
hmn-214,0.3326725533656404,0.0034029557516996,0.2311352554111798,0.0290262530318487,True
epothilone-b,0.4543474444382162,0.0046515457611725,0.4233151943384266,0.0369844778563806,True
sulfasalazine,0.6312212489884528,0.0051928258337343,0.5584109097369225,0.0140374181316953,True
tiludronate,0.571752987368697,0.0052553284452491,0.4666463195465666,0.0196090166533369,True
eprosartan,0.5744754179568887,0.0061857256742474,0.4738512563818591,0.0369844778563806,True
colchicine,0.5260292958272673,0.0064166500092939,0.3833143981503717,0.0241704191482368,True
mepivacaine,2.189454398807757,0.0072760516038992,2.77220435003493,0.0076757877142434,True
triamterene,1.939981927689321,0.0083993834665927,2.3318952228623058,0.0228039789982635,True
lonafarnib,0.6405926765364203,0.0085423024849702,0.5120487146481607,0.0136547737218203,True
pha-665752,2.219729584388733,0.0101006304377346,3.526542088715834,0.0328858841195172,True
riluzole,0.6441031928944357,0.0104962630452739,0.5564698569511795,0.0386461596279277,True
gastrodin,0.5756809511722045,0.0112844581110229,0.5239136114897514,0.0369844778563806,True
bardoxolone-methyl,0.3729286644281867,0.012001809538883,0.2506990683511426,0.0355403146440026,True
jte-607,0.4593102140565111,0.0121488033423344,0.3868365499100241,0.0252701590181152,True
oligomycin-a,0.5206512271489654,0.0131059674666267,0.3508537316443922,0.0122994463076358,True
bucladesine,1.4960289034992351,0.0145868129192073,1.8076668965620493,0.0369844778563806,True
tyrphostin-a9,0.4003776915431681,0.0171708180745789,0.2342040103493292,0.006812214062583,True
azd5363,0.6543459822808597,0.0225960956597626,0.4692046701053719,0.0122994463076358,True
vemurafenib,0.6325868770684289,0.0259536794899259,0.5072501877014555,0.0196090166533369,True
mefexamide,0.5210932388856588,0.0270451752913087,0.2492408705044494,0.0134354258045617,True
desonide,0.7806435797692098,0.0458247842277442,1.4368153474094774,0.0361215500876858,False
