rank,drug,HR,padj,HR_pen05,padj_pen05,moa,target,phase,disease_area,pass_stability,pass_class,pass_phase,pass_rank,selected
1,latrepirdine,4.119481528579304,2.998980467500222e-09,1.8438650445438225,0.0002905393322573,glutamate receptor antagonist,"HRH1, HTR6",Phase 3,,True,False,True,True,False
2,zolantidine,2.6791250899571364,2.998980467500222e-09,1.5012767640659623,0.0003661796093632,histamine receptor antagonist,,Preclinical,,True,False,False,True,False
3,isometheptene-mucate,2.811918958283226,4.005835130785519e-09,1.576808041550014,0.0002712999554557,,"ADRA1A, SLC18A2",Launched,neurology/psychiatry,True,False,True,True,False
4,clobutinol,2.3087766843023325,1.629477555647975e-08,1.4530260479540524,0.0002541043112601,antitussive,,Withdrawn,,True,False,True,True,False
5,cpp,3.5705670600581816,4.106325261689767e-08,1.5940117491721282,0.0046271817407351,glutamate receptor antagonist,"GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D",Phase 2,,True,False,True,True,False
6,temazepam,4.213664901394701,4.7672657432666057e-08,1.7681028983277742,0.0021677378016358,benzodiazepine receptor agonist,"GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GABRR1, GABRR2, GABRR3, TSPO",Withdrawn,,True,False,True,True,False
7,golgicide-a,5.714625112806587,6.98614446057084e-08,2.1510697323636534,0.0005678631832331,ARF inhibitor,GBF1,Preclinical,,True,False,False,True,False
8,fenaclon,4.252793297114492,1.6397443953792316e-07,1.8854190274964524,0.000978111250915,,,Preclinical,,True,False,False,True,False
9,fudosteine,3.622829024630034,1.7519212549153497e-07,1.7550896169461478,0.0013412603410442,mucolytic agent,,Launched,pulmonary,True,False,True,True,False
10,yo-01027,2.519278188100739,2.908233884649281e-07,1.4682524333380147,0.0026719787832561,gamma secretase inhibitor,,Preclinical,,True,False,False,True,False
11,cnx-2006,3.3833747510863232,4.185954583898928e-07,1.6821117848086318,0.0016895382632021,EGFR inhibitor,EGFR,Preclinical,,True,True,False,True,False
12,tacalcitol,2.5227783420009686,4.431462446938298e-07,1.479869881306504,0.0026719787832561,vitamin D receptor agonist,VDR,Launched,dermatology,True,False,True,True,False
13,nvp-tae226,8.413361965449234,7.004871295823742e-07,2.354443559823618,0.0046271817407351,protein tyrosine kinase inhibitor,PTK2,Preclinical,,True,True,False,True,False
14,erlotinib,4.283536997642289,1.5246398302690258e-06,1.93580102458514,0.0016895382632021,EGFR inhibitor,"EGFR, NR1I2",Launched,oncology,True,True,True,True,True
15,nizofenone,2.7992260963039164,1.6145466812320944e-06,1.4977973485559943,0.0071215988092217,ion channel antagonist,,Launched,neurology/psychiatry,True,False,True,True,False
16,methocarbamol,2.97625915757999,2.1603556556163133e-06,1.5918756062868256,0.003010940854171,muscle relaxant,CA1,Launched,neurology/psychiatry,True,False,True,True,False
17,brigatinib,3.6261540032575783,2.56327950907166e-06,1.7355210178468905,0.0034461663346687,"ALK tyrosine kinase receptor inhibitor, EGFR inhibitor","ALK, EGFR",Launched,oncology,True,True,True,True,True
18,beta-naphthol,2.4208616609550293,7.907421136138922e-06,1.5047292849661726,0.0026719787832561,,,Preclinical,,True,False,False,True,False
19,pf-04217903,2.3099783768547746,8.4663619026877e-06,1.4411467878514184,0.004981910226399,c-Met inhibitor,MET,Phase 1,,True,True,False,True,False
20,osimertinib,6.383312748744484,1.338262624857115e-05,2.094299778809132,0.0147174835762851,EGFR inhibitor,EGFR,Launched,oncology,True,True,True,True,True
21,saracatinib,5.499586063505141,1.6764295862843174e-05,2.011133431263473,0.0119160923563695,src inhibitor,"ABL1, LCK, SRC, YES1",Phase 2/Phase 3,,True,True,True,True,True
22,s26948,1.8922913223305555,2.194425045944839e-05,1.3405206859073993,0.0042227142807748,PPAR receptor agonist,PPARG,Preclinical,,True,False,False,True,False
23,pelitinib,3.419099570527163,3.951794681787295e-05,1.563141433639197,0.0390380208217043,EGFR inhibitor,EGFR,Phase 2,,True,True,True,True,True
24,trametinib,1.997070314046208,4.736206640014284e-05,1.3444625473527263,0.014431753612337,MEK inhibitor,"MAP2K1, MAP2K2",Launched,oncology,True,True,True,True,True
25,sb-366791,2.619071781710133,6.988265424592045e-05,1.480202827109229,0.0255101343273727,TRPV antagonist,TRPV1,Preclinical,,True,False,False,True,False
26,entinostat,3.2782212103650146,8.361619612191335e-05,1.705871431727159,0.0125122711079193,HDAC inhibitor,"HDAC1, HDAC2, HDAC3, HDAC9",Phase 3,,True,True,True,True,True
27,cefditoren-pivoxil,2.7970302703197456,9.82440016274795e-05,1.5606160368053936,0.0197905631491535,bacterial cell wall synthesis inhibitor,,Launched,"infectious disease, pulmonary, otolaryngology",True,False,True,True,False
28,baicalein,2.107172178829352,0.0001112326182482,1.403344011756703,0.0121083247307476,lipoxygenase inhibitor,"ALOX5, GLO1, PREP, SELL, SELP, TNF, XDH",Preclinical,,True,False,False,True,False
29,bw-180c,2.359398146928592,0.0001189096490537,1.405908580420485,0.0365506674517198,opioid receptor agonist,"OPRD1, OPRM1",Phase 2,,True,False,True,True,False
30,pyritinol,2.04937360498414,0.0001745467052877,1.4112540627377397,0.0073759219699455,,,Launched,"rheumatology, neurology/psychiatry",True,False,True,True,False
31,indirubin,7.665022293012161,0.0001949910464477,2.2588818152863634,0.0397082738684062,"CDK inhibitor, glycogen synthase kinase inhibitor","CDK1, CDK5, GSK3A",Phase 2/Phase 3,,True,True,True,False,False
32,gamma-aminobutyric-acid,1.8445543513071851,0.0002051626789267,1.3404385577060114,0.0098240347249922,benzodiazepine receptor agonist,"GABBR1, GABBR2, GABRA1, GABRA2, GABRA3, GABRA5, GABRB2, GABRG2, GATM, KCTD12, KCTD16, KCTD8, SLC6A1",Preclinical,,True,False,False,False,False
33,bvd-523,2.1988747913862983,0.0002319296083231,1.361742386873385,0.0407402535761963,MAP kinase inhibitor,,Phase 1/Phase 2,,True,True,True,False,False
34,bms-690514,2.880347146649432,0.0002421543177825,1.5530339523078769,0.033809144492886,"EGFR inhibitor, VEGFR inhibitor","EGFR, ERBB2, FLT3, KDR",Phase 2,,True,True,True,False,False
35,levonorgestrel,2.4266378278055427,0.0002839712428879,1.353657299051802,0.0872242820731156,"estrogen receptor agonist, glucocorticoid receptor antagonist, progesterone receptor agonist, progesterone receptor antagonist","AR, ESR1, PGR, SRD5A1",Launched,endocrinology,False,False,True,False,False
36,lestaurtinib,3.183919527418261,0.000294758973437,1.6689867944999297,0.0257331610647003,"FLT3 inhibitor, growth factor receptor inhibitor, JAK inhibitor","FLT3, NTRK1",Phase 3,,True,True,True,False,False
37,dasatinib,1.9447890219694912,0.0003239154218873,1.3055543213072325,0.033809144492886,"Bcr-Abl kinase inhibitor, ephrin inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, src inhibitor, tyrosine kinase inhibitor","ABL1, ABL2, BLK, EPHA2, FGR, FRK, FYN, HCK, KIT, LCK, LYN, PDGFRB, SRC, SRMS, STAT5B, YES1",Launched,hematologic malignancy,True,True,True,False,False
38,chicago-sky-blue-6b,2.1105430426201743,0.0003565557051752,1.3243602085322594,0.0637007996444664,"glutamate inhibitor, macrophage migration inhibiting factor inhibitor",MIF,Preclinical,,False,False,False,False,False
39,idazoxan,2.544572469108809,0.0004203758709402,1.4295623911038335,0.0632436066574263,adrenergic receptor antagonist,ADRA2A,Phase 3,,False,False,True,False,False
40,estradiol,2.081809938936353,0.0004674908154565,1.358355554327763,0.0409494176035301,estrogen receptor agonist,"ESR1, ESR2, GPER1, KCNMA1, NR1I2",Launched,endocrinology,True,False,True,False,False
41,nan-190,2.0412860918204823,0.000491800182735,1.3462451680642091,0.0429750144451989,serotonin receptor agonist,"ADRA1A, ADRA1B, ADRA1D, HTR1A, HTR1F",Preclinical,,True,False,False,False,False
42,acetazolamide,2.005497100085866,0.0006138111492166,1.3760791556405634,0.0255257893508123,carbonic anhydrase inhibitor,"AQP1, CA1, CA12, CA14, CA2, CA3, CA4, CA7",Launched,ophthalmology,True,False,True,False,False
43,chlorpyrifos,1.9141589052004604,0.0006575679963721,1.267366018939701,0.0813982960647272,acetylcholinesterase inhibitor,ACHE,Launched,,False,False,True,False,False
44,rociletinib,8.26247322522956,0.0006670324164265,2.6594107704440444,0.0250648893453809,EGFR inhibitor,EGFR,Phase 3,,True,True,True,False,False
45,poziotinib,1.90312742966718,0.0006815470608143,1.29870560213223,0.0579934312963415,EGFR inhibitor,"EGFR, ERBB2, ERBB4",Phase 2,,False,True,True,False,False
46,cyclovalone,8.25006684174115,0.0007557743000003,2.116308438147254,0.1014909797910634,breast cancer resistance protein inhibitor,ABCG2,Launched,gastroenterology,False,False,True,False,False
