drug,HR,pvalue,padj,cohort
pardoprunox,0.10347326871687065,1.8997861970575815e-19,2.7489906271423205e-16,SCANB
litronesib,0.28545998915985776,4.5839017375324935e-15,3.316452907104759e-12,SCANB
tyrphostin-ag-1296,0.11900071992437103,2.065019787068195e-14,9.960278772958928e-12,SCANB
vinblastine,0.18880540081613947,1.287234945199671e-13,4.65657241425981e-11,SCANB
uprosertib,0.06892733869658423,3.198276677552922e-13,9.255812704838156e-11,SCANB
brivaracetam,0.15978840894555416,4.2239203619911687e-13,1.0186687939668701e-10,SCANB
bnc105,0.23505631847045896,1.9738926450695093e-12,3.84223390382813e-10,SCANB
fr-139317,0.19513506618726192,2.1242481845628914e-12,3.84223390382813e-10,SCANB
securinine,0.31767650380385487,3.0443347402894284e-12,4.894613743554225e-10,SCANB
dolastatin-10,0.14509194714314572,3.9107327716187246e-12,5.626578981360109e-10,SCANB
vinflunine,0.17721793007182132,4.519923597905287e-12,5.626578981360109e-10,SCANB
verubulin,0.1852903278362654,4.6661332257305676e-12,5.626578981360109e-10,SCANB
ispinesib,0.41975320793304194,5.746177578445593e-12,5.964194211751432e-10,SCANB
mexeneone,0.22028574676943,5.77047124841189e-12,5.964194211751432e-10,SCANB
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,0.38377429565078264,9.64301795584122e-12,9.302297988068164e-10,SCANB
daunorubicin,0.28220473027318926,1.2592201516284166e-11,1.1388072246289494e-09,SCANB
epz-5676,0.3183789294896696,2.7726752661519755e-11,2.360035947130535e-09,SCANB
selinexor,0.06287840411816052,3.322631386969347e-11,2.6710264538581364e-09,SCANB
indibulin,0.08841197918897774,3.5494088696966254e-11,2.7031550707636934e-09,SCANB
latrepirdine,4.119481528579304,4.2745621879488516e-11,2.998980467500222e-09,SCANB
zolantidine,2.6791250899571364,4.3523558961648005e-11,2.998980467500222e-09,SCANB
emetine,0.029275443549957633,6.273240241950417e-11,4.005835130785549e-09,SCANB
isometheptene-mucate,2.811918958283226,6.367256945961827e-11,4.005835130785549e-09,SCANB
bms-265246,0.3382290987394459,1.5074887852147361e-10,9.088901134190512e-09,SCANB
combretastatin-a-4,0.44554102798225104,1.5814874583077653e-10,9.153649408685346e-09,SCANB
bosutinib,0.3802954096850601,1.6867663428070254e-10,9.387503454006791e-09,SCANB
vincristine,0.4896605862974507,2.423205365864993e-10,1.2986585794098684e-08,SCANB
sirolimus,0.2965716844711958,2.6897607257264297e-10,1.3900299179021942e-08,SCANB
clobutinol,2.3087766843023325,3.265711756309004e-10,1.629477555647975e-08,SCANB
ly2606368,0.23764625527427416,3.4577432569980883e-10,1.6677848309587445e-08,SCANB
tivozanib,0.09165373169649767,6.330221553255271e-10,2.924731468147241e-08,SCANB
pki-179,0.06362680647965195,6.467961781666325e-10,2.924731468147241e-08,SCANB
adapalene,0.13525231323569567,7.132995296266905e-10,3.127710361726731e-08,SCANB
2-methoxyestradiol,0.06758412259870544,7.554107607027261e-10,3.214939325696602e-08,SCANB
demecarium,0.34794875472702425,9.232780464263779e-10,3.817095237654196e-08,SCANB
cpp,3.5705670600581816,1.0216151307590342e-09,4.1063252616897844e-08,SCANB
cediranib,0.17150797542433477,1.0768467433087295e-09,4.211343885318193e-08,SCANB
temazepam,4.213664901394701,1.2519426278101657e-09,4.767265743266605e-08,SCANB
azd6482,0.10147772537439881,1.7131643830406969e-09,6.230074408661953e-08,SCANB
rigosertib,0.34012644964136113,1.7222043976950803e-09,6.230074408661953e-08,SCANB
golgicide-a,5.714625112806584,1.9794880641562163e-09,6.98614446057084e-08,SCANB
broxyquinoline,0.1923717073389758,2.6776962898277584e-09,9.2253012651923e-08,SCANB
vinorelbine,0.17018773242011587,3.1108250018260485e-09,1.0468287854982075e-07,SCANB
digoxin,0.031865643024373856,3.1858673878204862e-09,1.0477159341309643e-07,SCANB
ly2603618,0.09439688514531903,3.827321888646789e-09,1.2306966161937565e-07,SCANB
decitabine,0.3036238060033971,4.10280631028335e-09,1.290600158908697e-07,SCANB
sb-239063,0.19931981910879612,4.315547269135127e-09,1.3286376379656443e-07,SCANB
er-27319,0.008717338899967585,4.5526718809981814e-09,1.3724408774592435e-07,SCANB
parbendazole,0.18626746997945184,5.395595525896703e-09,1.5933523930556183e-07,SCANB
