drug,HR,pvalue,padj,cohort
cephalomannine,0.02902579872110641,0.00572773801886487,0.9967351166470957,TCGA
riluzole,0.13992935196309964,0.006588657860522418,0.9967351166470957,TCGA
bay-87-2243,0.07557359343995862,0.010278621418248446,0.9967351166470957,TCGA
primaquine,0.17584429095867343,0.015826736851884782,0.9967351166470957,TCGA
osi-027,0.007380411086038577,0.018715832562674038,0.9967351166470957,TCGA
pacritinib,0.002159831531220278,0.0196083464434957,0.9967351166470957,TCGA
podophyllotoxin,0.07120258834876701,0.019944601336564075,0.9967351166470957,TCGA
sirolimus,0.13501153771568877,0.022172717348713553,0.9967351166470957,TCGA
thonzonium,0.010711578386454751,0.02234092160817021,0.9967351166470957,TCGA
ku-0063794,0.04850023099716105,0.023172953301516898,0.9967351166470957,TCGA
lovastatin,0.19984990745487669,0.023433342039536186,0.9967351166470957,TCGA
abiraterone,0.2560134672780442,0.024800382457038958,0.9967351166470957,TCGA
sb-242235,0.20283139987092283,0.026764181315564645,0.9967351166470957,TCGA
cct128930,0.19401683484147964,0.027428209582296418,0.9967351166470957,TCGA
jib04,0.06571670112626488,0.028876289105745658,0.9967351166470957,TCGA
pyroxamide,0.14982563307106736,0.03128870588299167,0.9967351166470957,TCGA
calcitriol,0.13235251238228798,0.03223764407860382,0.9967351166470957,TCGA
idoxuridine,0.29520407777531954,0.032815121139685995,0.9967351166470957,TCGA
digoxin,0.0062460027721699335,0.03316381316321956,0.9967351166470957,TCGA
afobazole,0.22371509544728252,0.034007501835928954,0.9967351166470957,TCGA
eprobemide,0.30740789206241464,0.03410749013531264,0.9967351166470957,TCGA
motesanib,75.45620021841538,0.03518765351558565,0.9967351166470957,TCGA
estradiol-benzoate,0.17295278136621933,0.03522226931817313,0.9967351166470957,TCGA
alisertib,0.22966761665947907,0.03527115936959023,0.9967351166470957,TCGA
vorinostat,0.03587078019755385,0.035769199654355315,0.9967351166470957,TCGA
tame,0.1823240112381231,0.036611397675618065,0.9967351166470957,TCGA
dacinostat,0.018141024655845675,0.03726457649577075,0.9967351166470957,TCGA
gzd824,0.1490428491514487,0.03926095039019604,0.9967351166470957,TCGA
salinomycin,0.1925301907152143,0.04023609706499116,0.9967351166470957,TCGA
ly364947,3.335979392184835,0.04147861841619691,0.9967351166470957,TCGA
naloxone,0.39350948454660395,0.04534888696395642,0.9967351166470957,TCGA
mephenytoin,0.27682416888600264,0.04651690750202691,0.9967351166470957,TCGA
epothilone-b,0.1648281815270045,0.047808008776818164,0.9967351166470957,TCGA
8-hydroxy-pipat,0.1505057511090971,0.04868191830227167,0.9967351166470957,TCGA
wp1066,188.86042437024844,0.05193410496950098,0.9967351166470957,TCGA
osi-420,4.293182168769911,0.05254578746239239,0.9967351166470957,TCGA
temozolomide,0.1740291415513558,0.053466124917900905,0.9967351166470957,TCGA
beclomethasone-dipropionate,0.44606713703120715,0.05389638252677642,0.9967351166470957,TCGA
trimebutine,0.37930856756535747,0.05438810021778975,0.9967351166470957,TCGA
4-pyrimidinecarbonitrile,0.3411985171036745,0.05459822412783288,0.9967351166470957,TCGA
caffeic-acid,0.2701689641865992,0.05697990923873017,0.9967351166470957,TCGA
