TF,Primary_mean,Metastasis_mean,Delta,pvalue,Bonferroni_p,Bonferroni_sig
CREB3L1,0.3,0.65,0.35,2.5291155907325447e-06,2.5291155907325447e-05,True
KLF8,3.48,3.22,-0.26,3.7841971789021045e-05,0.0003784197178902,True
AEBP1,1.87,2.03,0.16,0.0008410544214711,0.0084105442147119,True
SPDEF,1.77,2.11,0.34,0.0022423559566959,0.0224235595669597,True
MZF1,3.15,3.23,0.08,0.1014911001402651,1.0,False
HIVEP1,1.05,1.19,0.14,0.1347278178327542,1.0,False
REL,8.77,8.46,-0.31,0.2585682743010693,1.0,False
IRX1,0.52,0.47,-0.05,0.3430258697408135,1.0,False
ASXL1,1.82,1.76,-0.06,0.4346640828734962,1.0,False
BCOR,1.19,1.24,0.06,0.6636639096868748,1.0,False
