tf,rank_42,importance_mean_42,rank_123,importance_mean_123,rank_456,importance_mean_456,mean_rank,in_top20_all_seeds
IRX1,4,0.002825479132518398,5,0.00346203157845814,5,0.002158810359436426,4.666666666666667,True
KLF8,19,0.0016315851150300825,3,0.004097077911923765,6,0.002135681351622528,9.333333333333334,True
AEBP1,6,0.0027003328335316232,16,0.002651902990637058,14,0.0016663003456359906,12.0,True
MZF1,2,0.003326493409104208,4,0.0038194614638941307,33,0.0011675661173808983,13.0,False
SPDEF,13,0.0018249342650078963,2,0.004239017704314778,31,0.0012194406830717112,15.333333333333334,False
HIVEP1,5,0.0028043867295667897,17,0.002568091723581099,27,0.0012766182784286104,16.333333333333332,False
BCOR,7,0.002587742303810294,11,0.002827632332672224,50,0.0010085709751971688,22.666666666666668,False
CREB3L1,49,0.0011260819809456625,8,0.00312199621244376,15,0.0016342278108685136,24.0,False
ASXL1,18,0.0016533233069684215,33,0.002067836481287624,22,0.0013969037302586278,24.333333333333332,False
REL,58,0.0010594669419002787,10,0.0028295257481218096,9,0.0019116472405626569,25.666666666666668,False
PROX1,27,0.001365389503345079,19,0.00253809897328734,32,0.001174191881545994,26.0,False
RELA,3,0.003094336944576009,62,0.0015091479947179985,23,0.001371428559898711,29.333333333333332,False
ZXDC,20,0.001551688336114625,7,0.0031320263241826924,63,0.0008824267415272488,30.0,False
RELB,12,0.0019018337824849314,59,0.0015244957634642947,26,0.0013097431424698284,32.333333333333336,False
HR,38,0.0011955586396101298,6,0.0032743131763929728,54,0.0009802878207251938,32.666666666666664,False
ZEB1,1,0.003442694135821622,98,0.0011785459130006723,1,0.0030883389294048716,33.333333333333336,False
TRPS1,29,0.0012992107537381041,35,0.0019012593738531878,43,0.0010424261477744562,35.666666666666664,False
STAT2,62,0.0010311493433894639,41,0.0018136139590227906,10,0.0018532090451282618,37.666666666666664,False
THRB,23,0.001506071327832725,37,0.0018709530938367332,56,0.000949875831738058,38.666666666666664,False
TET1,10,0.0019493742545157809,15,0.0027138043633110074,92,0.000770200368260944,39.0,False
FOXP2,83,0.0009100773200826194,13,0.0027341854974193584,34,0.0011500418625914651,43.333333333333336,False
TLX1,33,0.0012599355720725946,50,0.0016465179083531962,47,0.0010248274826759978,43.333333333333336,False
IRF3,36,0.0012291796010686085,100,0.0011709909998568367,2,0.002948458156121584,46.0,False
ZNF335,78,0.0009514593504277537,20,0.002463537005992707,40,0.001092562941700883,46.0,False
LHX8,65,0.0010120098234465606,60,0.0015238789437165851,16,0.0015928703767051709,47.0,False
DNMT3A,17,0.0016540016705689734,39,0.0018248885639464293,100,0.00073738100857237,52.0,False
MEF2A,85,0.0009028875952715294,36,0.0019012047985487504,45,0.0010323344040168167,55.333333333333336,False
KLF12,60,0.0010389841743634668,25,0.0023343233719281147,89,0.0007739101549139542,58.0,False
BARX1,90,0.0008654356826920059,65,0.0014912502649553282,21,0.001409058590097905,58.666666666666664,False
E2F5,55,0.0010776944347791566,111,0.0011322848866698084,25,0.0013579090383852115,63.666666666666664,False
HOXB9,8,0.0022695970540856556,87,0.0012778210650801404,98,0.0007459204036532549,64.33333333333333,False
CXXC1,30,0.0012785524749729534,88,0.0012603275038903423,80,0.0008225120262922604,66.0,False
PHF5A,110,0.0007700791073589106,18,0.0025662000716141792,72,0.0008535406278414567,66.66666666666667,False
ZBTB7B,16,0.0016768993673119412,104,0.0011543209346365818,84,0.0007950045377528471,68.0,False
PRDM1,92,0.0008604424476674687,57,0.0015456384732687818,57,0.0009288918225854903,68.66666666666667,False
ZEB2,77,0.0009540167611152301,48,0.001668291456911847,83,0.0007974313467098964,69.33333333333333,False
TFAP2B,59,0.0010567014428626421,24,0.002344968261295986,126,0.0006549667841957698,69.66666666666667,False
ZNF362,14,0.0017526112361944495,202,0.0008191783679022234,4,0.0021675943286082297,73.33333333333333,False
VENTX,57,0.0010694051711514917,64,0.0014965764992556421,105,0.0007193223246124971,75.33333333333333,False
FOSB,37,0.001210776777070626,80,0.0013392831174176977,115,0.0006793708490118715,77.33333333333333,False
TFAP2C,32,0.0012678147358559672,31,0.0020841794703852484,169,0.0005658399947440722,77.33333333333333,False
TBXT,79,0.0009506085724421031,32,0.002073138781644895,121,0.0006623353342444137,77.33333333333333,False
RUNX2,22,0.0015318082554255273,14,0.0027339833071561193,205,0.0004831770795504147,80.33333333333333,False
SETBP1,11,0.0019490989313150446,1,0.004241313770321678,237,0.0004235184390245539,83.0,False
ZIC2,152,0.000649625507128693,69,0.0014470723000351536,29,0.0012484173502977656,83.33333333333333,False
EGR1,131,0.0006836952688900055,67,0.001457990824719397,61,0.0008838891730137578,86.33333333333333,False
NR3C2,86,0.0008862601795099732,112,0.001129203806847341,62,0.0008827809410969635,86.66666666666667,False
GRHL3,43,0.0011816831376673883,126,0.0010905093483594983,93,0.0007699459422934578,87.33333333333333,False
PGR,186,0.0005674314703686501,52,0.0016235024196441482,36,0.001112413515908305,91.33333333333333,False
ESR1,25,0.001421264789355932,78,0.0013577627567732027,180,0.0005456757982728684,94.33333333333333,False
ID4,81,0.0009481073790966273,150,0.0010025808931624686,67,0.0008724832383780846,99.33333333333333,False
RFXANK,50,0.0011243987156018247,182,0.0008677736923070343,75,0.0008338820928408743,102.33333333333333,False
SMARCB1,279,0.00039830925005513893,9,0.0028342501016485394,30,0.0012390233535949267,106.0,False
ZNF699,113,0.0007497632299088185,149,0.0010028791340268774,60,0.0008940578866706732,107.33333333333333,False
E2F1,45,0.001156429250344941,157,0.000964245996301267,120,0.0006626600090082017,107.33333333333333,False
GATA1,138,0.00067015262450723,63,0.0015068402472851712,125,0.0006551674481615368,108.66666666666667,False
E2F7,191,0.0005574120443932109,72,0.0014401784944559702,74,0.0008365832998220646,112.33333333333333,False
HOXD10,201,0.0005330300950156401,75,0.0014112969882703371,64,0.0008803885016139689,113.33333333333333,False
MAML1,267,0.0004092420723199294,56,0.0015502930006429476,17,0.0015656965355667512,113.33333333333333,False
SALL1,108,0.0007873887942409827,229,0.0007451134098863059,11,0.0018444008292686758,116.0,False
MAX,72,0.0009647078068431283,96,0.0011875457654020988,183,0.0005399102572648025,117.0,False
DMTF1,97,0.0008253706014467311,221,0.0007550422739189922,39,0.0010956216609139863,119.0,False
PAX4,188,0.0005657316388199737,47,0.0016815306551121246,123,0.0006573541432895912,119.33333333333333,False
IRF6,269,0.0004090557880717273,71,0.0014465820317899202,18,0.0015453093279079026,119.33333333333333,False
HMGB2,88,0.0008834965857121543,116,0.001116104265802829,159,0.0005877876922595808,121.0,False
LHX1,26,0.0014130747087041198,209,0.0007873148871581317,129,0.0006464605251659867,121.33333333333333,False
UTF1,137,0.000672596089040753,123,0.001099102873371466,113,0.0006826644291295177,124.33333333333333,False
EP300,285,0.00039450356072820523,26,0.002296546641225701,65,0.000875007444144351,125.33333333333333,False
ETV4,133,0.0006797198985816177,99,0.0011768942836307829,155,0.0005990155758095136,129.0,False
TWIST1,94,0.0008413953008364457,118,0.0011058499665137567,191,0.000518628929140422,134.33333333333334,False
ZBTB33,87,0.0008848064626087735,233,0.0007354066521078163,88,0.0007749649348487296,136.0,False
HOPX,320,0.00035363367238239857,76,0.0013738370428958053,13,0.001689769294457757,136.33333333333334,False
SP1,75,0.0009588365679531541,119,0.0011047485207778993,221,0.00045101196198602065,138.33333333333334,False
HDGF,67,0.0010099809554627757,46,0.0016921025909334385,311,0.0003398835294447191,141.33333333333334,False
HTATIP2,24,0.0014279779064633078,21,0.002445530721381532,382,0.0002687176543559238,142.33333333333334,False
LMX1B,177,0.0005935244375216301,175,0.0008959931775197302,76,0.0008322554742445584,142.66666666666666,False
ZHX2,203,0.0005304458987032403,45,0.0016983002535033104,188,0.0005216191860709483,145.33333333333334,False
STAT1,155,0.0006449684271611852,214,0.0007727959100245216,79,0.0008253943876821502,149.33333333333334,False
PHOX2B,166,0.0006283505569599308,109,0.00113945420051812,179,0.0005458095866798072,151.33333333333334,False
