drug,n_samples,pearson_r,spearman_r,rmse
1-azakenpaullone,89,0.19230420771730533,0.19984678243105214,0.21739578570102236
1-naphthyl-pp1,90,0.0790250347013177,0.12237724821994485,0.20671791330435765
1-phenylbiguanide,75,0.05138456577581819,0.0721479374110953,0.19220187769295363
10-deacetylbaccatin,91,0.0826251908113806,0.2748208313425705,0.15155512165059637
10-hydroxycamptothecin,92,0.40892358910239207,0.40096789605906014,0.10514953362668435
12-o-tetradecanoylphorbol-13-acetate,81,0.13975062962597196,0.15320686540198736,0.36423662816788344
2'-meccpa,85,0.11996127023699837,0.1160641000586281,0.3367936410288121
"2,3-dcpe",87,0.2541514055382332,0.2739848363344754,0.19335103593677003
2-methoxyestradiol,87,0.1406008200734671,0.12159824174707287,0.06689614870960718
3'-fluorobenzylspiperone,76,0.006619303284831596,0.00330827067669173,0.20905198749310971
3-amino-benzamide,90,0.0765096761503488,0.07426364085081298,0.11620504694465833
3-deazaneplanocin-a,91,0.07607385551868706,0.11371237458193982,0.10826834296602546
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,93,0.09275234512206446,0.08515114440034614,0.21048206333383934
4-chlorophenylguanidine,86,0.2534935045016135,0.25128543799235814,0.16504179650648748
4-hydroxy-phenazone,82,0.13071030544870416,0.10401497589273082,0.20270394391502342
4-iodo-6-phenylpyrimidine,85,0.04857248370848215,0.07439906195036154,0.1491277069591666
4-methylgenistein,86,0.04295382225514996,0.014896929100429267,0.24648744951159626
4-methylhistamine,85,0.10301166178754863,0.06961110025405512,0.29371226627568137
4-pyrimidinecarbonitrile,89,0.23227386766172003,0.16574736125297926,0.25021446849804363
4e1rcat,72,-0.06251455970628207,-0.05145025403562931,0.24974959330474647
5-fluorouracil,89,-0.03385684596580816,0.0787878787878788,0.1958449027957914
5-hydroxymethyl-tolterodine,72,0.23440289834305134,0.19207022959675868,0.17928620817717364
7-aminocephalosporanic-acid,75,0.15983609629756446,0.18972972972972973,0.202601755264043
7-hydroxystaurosporine,76,0.15855365241168357,0.17585782638414216,0.078168724628331
7-nitroindazole,80,-0.11735907518922423,-0.09322550398499765,0.2115561053838155
8-bromo-cgmp,78,0.13090043681370697,0.1708544619937025,0.14237580350734994
8-hydroxy-pipat,91,0.057365284108821524,0.029112916069437816,0.18774699244526757
9-aminoacridine,91,-0.0012991765306254286,0.02494027711419016,0.04109175718533664
a-674563,89,0.27783914396844545,0.2551923731699013,0.08065153798106778
a-803467,76,0.122975358571984,0.10012303485987696,0.22195622410944912
a61603,90,-0.030350161824909887,0.17400502119603242,0.21642918835868416
abemaciclib,90,0.25751127517219324,0.23218036898066613,0.08240851711708673
abiraterone,81,-0.07323575416406057,-0.08665311653116532,0.20531689288718782
abiraterone-acetate,80,-0.18425684681915047,-0.1739099859353024,0.1798928486623192
abt-702,91,0.02980190389811619,-0.019541328236980415,0.1753126005613138
abt-737,92,0.17064227753826292,0.141839927253672,0.1803518504320287
abt-751,93,0.4609683686117593,0.3899764256512786,0.09471943677893553
ac-264613,94,0.1825540097458828,0.19463930932341145,0.19126440205809522
acdpp,71,0.049479778245207474,0.06026156941649899,0.2084767156179916
acesulfame-potassium,87,0.04219262011521675,0.09092731646861557,0.13253039420297347
acetazolamide,78,0.12127192062449746,0.09541091819572832,0.19057803756287545
acetophenazine,81,-0.1202284494513605,-0.1239159891598916,0.21490853379684813
acetylcysteine,82,0.19220565206472218,0.20886799229438077,0.19078155508619787
acetylsalicylsalicylic-acid,89,0.00603690478340718,-0.04971058903643173,0.16311191455504567
acipimox,91,0.05583095715872875,0.04809683070552636,0.2444092100082295
acivicin,72,0.10517558425395133,0.046466010675927726,0.15943703251399843
acy-1215,91,0.0757033875567049,0.07577639751552795,0.13532987042542974
adapalene,83,0.07953484303722688,0.05734436001847109,0.112471704517158
adaprev,93,0.0006806130142478755,-0.0012831607531855209,0.18443241398834515
adarotene,24,0.21474738752956563,0.14782608695652172,0.07024373071942683
adefovir-dipivoxil,75,0.0035769121029549595,0.09257467994310098,0.11432431969528348
adl5859,80,-0.13912532998028043,-0.16476793248945149,0.27132473602630713
aee788,85,0.327712497888096,0.33980848153214777,0.2323765329290682
aeg3482,89,-0.13641788846934644,-0.12868573374191355,0.19809757761851673
afatinib,94,0.4461289206791662,0.4269817292442409,0.11627527143760555
afobazole,90,-0.06565024990476441,-0.05105980162159938,0.23180156282934036
ag-14361,83,0.1063206393449608,0.13857520675034632,0.19877291546343262
ajmaline,84,-0.12948684761898552,-0.2094158145185785,0.23560245541513306
albendazole,89,0.28531308547824435,0.27878787878787886,0.18494388536412856
alectinib,92,-0.07123618560266333,0.04301979360998004,0.10015168579928661
alexidine,94,0.05226025166508843,-0.02241809052487086,0.09245080826128856
alfacalcidol,88,0.14561615585616194,0.2143284843788525,0.20907878311643777
alisertib,92,0.24812809495929056,0.38037698626758937,0.21198266815684222
almorexant,88,-0.12348569319267261,-0.18324469021873133,0.25073130303398394
alogliptin,72,0.24322524067920498,0.28252620747314944,0.21047894073991674
alpelisib,88,0.38547571158236543,0.3616527415655349,0.06450249899235544
altretamine,34,-0.07724628276486326,0.02857142857142857,0.33721207189403885
alvespimycin,92,0.24179690140611518,0.15109772306836858,0.15963883241420693
alvocidib,90,0.16836452035203558,0.1546921305228634,0.12039902365336487
