,gnn_cell_0,gnn_cell_1,gnn_cell_2,gnn_cell_3,gnn_cell_4,gnn_cell_5,gnn_cell_6,gnn_cell_7,gnn_cell_8,gnn_cell_9,gnn_cell_10,gnn_cell_11,gnn_cell_12,gnn_cell_13,gnn_cell_14,gnn_cell_15,gnn_cell_16,gnn_cell_17,gnn_cell_18,gnn_cell_19,gnn_cell_20,gnn_cell_21,gnn_cell_22,gnn_cell_23,gnn_cell_24,gnn_cell_25,gnn_cell_26,gnn_cell_27,gnn_cell_28,gnn_cell_29,gnn_cell_30,gnn_cell_31,gnn_cell_32,gnn_cell_33,gnn_cell_34,gnn_cell_35,gnn_cell_36,gnn_cell_37,gnn_cell_38,gnn_cell_39,gnn_cell_40,gnn_cell_41,gnn_cell_42,gnn_cell_43,gnn_cell_44,gnn_cell_45,gnn_cell_46,gnn_cell_47,gnn_cell_48,gnn_cell_49,gnn_cell_50,gnn_cell_51,gnn_cell_52,gnn_cell_53,gnn_cell_54,gnn_cell_55,gnn_cell_56,gnn_cell_57,gnn_cell_58,gnn_cell_59,gnn_cell_60,gnn_cell_61,gnn_cell_62,gnn_cell_63,gnn_cell_64,gnn_cell_65,gnn_cell_66,gnn_cell_67,gnn_cell_68,gnn_cell_69,gnn_cell_70,gnn_cell_71,gnn_cell_72,gnn_cell_73,gnn_cell_74,gnn_cell_75,gnn_cell_76,gnn_cell_77,gnn_cell_78,gnn_cell_79,gnn_cell_80,gnn_cell_81,gnn_cell_82,gnn_cell_83,gnn_cell_84,gnn_cell_85,gnn_cell_86,gnn_cell_87,gnn_cell_88,gnn_cell_89,gnn_cell_90,gnn_cell_91,gnn_cell_92,gnn_cell_93,gnn_cell_94,gnn_cell_95,gnn_cell_96,gnn_cell_97,gnn_cell_98,gnn_cell_99,gnn_cell_100,gnn_cell_101,gnn_cell_102,gnn_cell_103,gnn_cell_104,gnn_cell_105,gnn_cell_106,gnn_cell_107,gnn_cell_108,gnn_cell_109,gnn_cell_110,gnn_cell_111,gnn_cell_112,gnn_cell_113,gnn_cell_114,gnn_cell_115,gnn_cell_116,gnn_cell_117,gnn_cell_118,gnn_cell_119,gnn_cell_120,gnn_cell_121,gnn_cell_122,gnn_cell_123,gnn_cell_124,gnn_cell_125,gnn_cell_126,gnn_cell_127
ACH-000007,0.0,0.0,6.1244555,2.871793,0.0,3.7037535,2.9985862,0.0,5.4846444,0.0,0.0,3.0648453,0.0,0.0,0.0,0.0,0.0,0.19703682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.658228,0.0,0.0,0.9828937,0.0,7.3814993,4.868866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.410538,0.0,0.0,0.0,0.0,1.7581677,0.0,0.0,3.2067873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0774103,0.0,0.0,2.0261555,0.0,0.0,0.0,0.0,0.0,1.8598258,5.7741694,5.9617205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8662663,0.0,0.0,0.0,5.991664,4.3906474,3.4819198,0.0,3.4012923,0.0,0.0,0.0,0.24277978,0.0,2.5544095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7748232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0801944,0.0,0.0,0.0,0.0,10.905527,0.0,0.0,1.8821412,0.0,0.0,6.1366963,6.176065,0.0,1.0054092,2.7609308,5.59228
ACH-000008,0.0,0.0,5.161926,3.309233,0.0,4.6811438,2.216396,0.0,6.12448,0.0,0.0,3.9521234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.128341,0.0,0.0,0.0,0.0,7.9369135,4.7923374,0.0,0.0,0.0,0.0,0.0,0.3346875,0.0,5.4476748,0.0,0.0,0.0,0.0,1.0361675,0.0,0.0,3.4483244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.953618,6.407007,6.5416327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4386723,0.0,0.0,0.0,6.5556235,6.0882926,2.2228036,0.0,4.3552694,0.0,0.0,0.0,0.0,0.0,3.1258848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6661587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16401652,0.0,0.0,0.0,0.0,0.0,12.06281,0.0,0.0,2.1603286,0.0,0.0,7.15003,7.0269504,0.0,1.2944086,2.9581902,5.9611998
ACH-000011,0.0,0.0,5.1298084,3.2014167,0.0,3.9221852,2.6446495,0.0,5.401325,0.0,0.0,3.145394,0.0,0.0,0.0,0.0,0.0,0.19858249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.003528,0.0,0.0,0.0,0.0,8.852786,4.1528673,0.0,0.0,0.0,0.0,0.0,0.14206152,0.0,5.7496457,0.0,0.0,0.0,0.0,1.548704,0.0,0.0,3.3611388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.290227,5.839045,6.1490602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8272507,0.0,0.0,0.0,7.2823853,5.184965,1.5805744,0.0,3.9133155,0.0,0.0,0.0,0.0,0.0,3.893943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.001809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5691745,11.082265,0.0,0.0,2.5595934,0.0,0.0,7.2620234,6.6852727,0.0,0.8607115,3.2274995,5.6956735
ACH-000012,0.0,0.0,6.164035,2.949799,0.0,4.774161,2.7650156,0.0,4.7906017,0.0,0.0,3.956385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3142414,0.0,0.0,0.06368307,0.0,7.6346865,4.5371537,0.0,0.0,0.0,0.0,0.0,0.32923526,0.0,5.662094,0.0,0.0,0.0,0.0,2.2392313,0.0,0.0,3.7893298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01428072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77597696,5.8827114,6.3624077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74595,0.0,0.0,0.0,7.3811383,4.341694,2.7334058,0.0,5.460096,0.0,0.0,0.0,0.0,0.0,3.2324026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.735344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.281189,0.0,0.0,1.3327299,0.0,0.0,7.1740546,6.505731,0.0,1.2599545,3.053029,4.954947
ACH-000013,0.0,0.0,4.9510384,2.3586047,0.0,5.298039,2.540484,0.0,5.9957643,0.0,0.0,3.4177098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3301644,0.0,0.0,0.0,0.0,8.836939,4.965446,0.0,0.0,0.0,0.0,0.0,0.3258853,0.0,5.9989185,0.0,0.0,0.0,0.0,2.0163784,0.0,0.0,2.9884748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96738213,6.3727593,7.221136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3811195,0.0,0.0,0.0,6.864659,5.8300014,4.3490067,0.0,4.71556,0.0,0.0,0.0,0.0,0.0,2.579635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6355076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.724017,0.0,0.0,2.7605855,0.0,0.0,8.695609,7.49006,0.0,0.76729125,3.357819,5.996945
ACH-000014,0.0,0.0,5.7171526,3.479564,0.0,4.486268,2.1943903,0.0,5.84567,0.0,0.0,3.6085787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7884746,0.0,0.0,0.0,0.0,8.282748,4.576019,0.0,0.0,0.0,0.0,0.0,0.9065112,0.0,6.1909423,0.0,0.0,0.0,0.0,1.5074388,0.0,0.0,3.1040447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9096732,6.628739,6.398676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1441028,0.0,0.0,0.0,6.795833,6.7670536,2.4505737,0.0,4.688675,0.0,0.0,0.0,0.27930716,0.0,3.1154606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.628993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.662744,0.0,0.0,2.5338783,0.0,0.0,7.515967,6.96186,0.0,0.97002983,3.1078937,6.3634877
ACH-000015,0.0,0.0,5.5287876,2.062093,0.0,4.278907,2.3681576,0.0,3.6230898,0.0,0.0,3.4379418,0.0,0.0,0.0,0.0,0.0,1.4020178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3796897,0.0,0.0,0.0,0.0,6.726673,3.0097895,0.0,0.0,0.0,0.0,0.0,0.0,0.8301282,3.7849238,0.0,0.0,0.0,0.0,1.2477437,0.0,0.0,2.4640617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5626866,0.0,0.0,0.2645833,0.0,0.0,0.0,0.0,0.0,1.9219003,6.525368,5.6518865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5928671,0.0,0.0,0.0,6.2430196,5.0652275,2.2039025,0.0,4.478236,0.0,0.0,0.0,0.0,0.0,2.9554577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7714446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.797172,0.0,0.0,0.0,0.09006514,11.102668,0.0,0.0,1.0915456,0.0,0.0,6.7081084,6.4754024,0.0,0.5713149,2.3244216,5.008514
ACH-000018,0.0,0.0,5.6901875,3.0368617,0.0,4.395186,2.1707747,0.0,6.089976,0.0,0.0,4.2898245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.860627,0.0,0.0,0.0,0.0,8.041987,4.801894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4916162,0.0,0.0,0.0,0.0,2.2625084,0.0,0.0,3.2050269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3866622,6.1437035,6.199877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7797875,0.0,0.0,0.0,6.811582,5.745904,2.6383386,0.0,4.1052413,0.0,0.0,0.0,0.0,0.0,3.0795264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.912043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.528,0.0,0.0,1.4297737,0.0,0.0,7.2875433,6.8190894,0.0,1.690827,2.6108894,5.947625
ACH-000019,0.0,0.0,5.355624,2.0209332,0.0,3.8579154,2.5700786,0.0,4.433081,0.0,0.0,4.349849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9076827,0.0,0.0,0.08494709,0.0,7.5174246,3.244316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4197683,0.0,0.0,0.0,0.0,1.7055818,0.0,0.0,3.9209144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4530003,0.0,0.0,0.0,0.0,0.0,2.0540159,4.9475236,6.070055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0267642,0.0,0.0,0.0,5.8612843,4.503635,3.658663,0.0,4.2052813,0.0,0.0,0.0,0.65506375,0.0,3.7754285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3832185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31226113,0.0,0.0,0.0,0.0,10.318341,0.0,0.0,0.3899715,0.0,0.0,7.0779696,6.4555144,0.0,1.5856179,3.1120355,5.8144474
ACH-000021,0.0,0.0,5.7725058,2.4576433,0.0,4.502392,3.2118552,0.0,6.174756,0.0,0.0,3.4259763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2519717,0.0,0.0,0.0,0.0,6.5307264,3.5916777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.492604,0.0,0.0,0.0,0.0,1.175462,0.0,0.0,3.8983653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15951417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3935015,6.434874,5.9124746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.821055,0.0,0.0,0.0,6.216109,5.5681586,2.5269947,0.0,4.6187987,0.0,0.0,0.0,1.2169567,0.0,2.248526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5690439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.87041,0.0,0.0,1.4469085,0.0,0.0,7.355539,6.5200725,0.0,1.5324655,2.5644732,5.2223105
