tf,importance_mean,rank
ZEB1,0.00351124466815787,1
RELA,0.0032577726897905063,2
MZF1,0.003246913718061423,3
IRX1,0.002921001460587528,4
HIVEP1,0.0027993841979354547,5
AEBP1,0.0027364661539402073,6
BCOR,0.0026108590986537324,7
HOXB9,0.002233472462070164,8
HOXB7,0.0020351654812023326,9
RELB,0.0019745646783452353,10
TET1,0.0019342793777992263,11
SETBP1,0.0019294719589225044,12
ASXL1,0.0018655540900936378,13
SPDEF,0.0018499680673316602,14
ZNF362,0.0017883286558654536,15
SIX3,0.0017592810543261073,16
DNMT3A,0.0017295742060069283,17
KLF8,0.0017158978808958746,18
ZBTB7B,0.0016895550602798307,19
RUNX2,0.0015833821766357164,20
NFAT5,0.0015520133132337253,21
ZXDC,0.0015217996077615571,22
THRB,0.0014757017617574259,23
LHX1,0.0014590780526690871,24
HTATIP2,0.0014138816171025885,25
PROX1,0.0013978127793355573,26
ESR1,0.0013914930429674507,27
EGR4,0.001370628827840626,28
TCF21,0.001349711028579446,29
TRPS1,0.0013331987684619944,30
HOXD3,0.0013177858746723468,31
TLX1,0.0013036549035363846,32
GRHL2,0.0012823311010861564,33
VHL,0.0012791579726553844,34
GRHL3,0.0012739849555807516,35
TFAP2C,0.0012714145890861278,36
PPARGC1B,0.0012505124470242829,37
FOSB,0.0012290440785859987,38
HR,0.001223354374980607,39
MYCN,0.0012119449829421656,40
JUND,0.0011931952873662037,41
ZNF219,0.0011925610550943848,42
TBX2,0.0011886272753310384,43
CXXC1,0.0011878572485963532,44
RFX1,0.0011780148452037959,45
ARID1A,0.0011753850160885397,46
CREB3L1,0.0011626666615815009,47
IRF3,0.0011620928088439432,48
REL,0.0011512966493683052,49
RFXANK,0.0011462205874329702,50
E2F1,0.0011377985336532054,51
CTBP1,0.0011351015501190886,52
VENTX,0.0011271626269510969,53
STAT3,0.0011261001876791302,54
MEIS1,0.0011080619351008809,55
HDGF,0.0011065122747492171,56
NSD2,0.0011064920700729283,57
TFAP2B,0.0010981891083991452,58
NFKB2,0.0010959737252657458,59
E2F5,0.001084899081730107,60
NKX3-2,0.001074075882515348,61
DAXX,0.0010582532190848283,62
HLX,0.001052381823443959,63
ZNF300,0.0010475485196366208,64
LHX8,0.0010336709021816425,65
NFATC2,0.0010184683656420516,66
FGF2,0.0010120204974417434,67
STAT2,0.0010113870430359384,68
KLF12,0.0010093110426113885,69
ZNF263,0.0010054301637865137,70
TLX3,0.000988872446407296,71
HIPK2,0.0009825175508756895,72
ZEB2,0.0009810892370296642,73
MAX,0.0009728211040386337,74
FOXC1,0.000972109565213252,75
TFDP1,0.0009639235369391055,76
FOXP2,0.0009586229708392322,77
FOXG1,0.0009568161061024787,78
ELF5,0.0009508228180713944,79
SP1,0.0009398771169697518,80
MEF2A,0.0009391884501162691,81
ZNF335,0.0009365865478850372,82
ID4,0.0009226654277550882,83
SALL1,0.0009029265879551972,84
NCOA6,0.000894009702306269,85
PRDM1,0.0008898666847292616,86
BCL11A,0.0008883369460322269,87
NR3C2,0.0008873610493152007,88
USF2,0.0008755192165236539,89
MEF2B,0.0008752531555618396,90
NFKB1,0.0008735309582775561,91
HMGB2,0.0008715328263916132,92
TBXT,0.0008697708017693499,93
TWIST1,0.0008681860954277109,94
BARX1,0.0008640021823008614,95
ZBTB33,0.000860491857482967,96
POU4F2,0.0008512347736045326,97
NONO,0.0008420091000351187,98
TEAD1,0.0008388151160364611,99
NR2E1,0.0008376420268673842,100
PHF5A,0.0008331864320842379,101
DMTF1,0.000833068277477816,102
FOS,0.0008225072263512905,103
PPARD,0.0008210805422002705,104
RXRA,0.0008101702831371574,105
SREBF2,0.000808957260742869,106
FOXE1,0.0007955313669960808,107
ASCL2,0.000792704949107605,108
RXRG,0.0007913825496540416,109
NFATC4,0.0007902142129255067,110
CEBPB,0.0007841632782263773,111
KDM5B,0.0007841234831754595,112
ZNF350,0.0007813090624040342,113
BMAL2,0.0007795049329312557,114
THAP11,0.0007645722594822997,115
KAT7,0.0007612062777435781,116
MTF1,0.0007594177645704335,117
ZNF410,0.0007591976918223681,118
HOXA13,0.0007563796558646242,119
SP3,0.0007522038465112653,120
ZNF699,0.0007336323909509123,121
TBX18,0.0007331868775481505,122
TBX6,0.0007315029022825483,123
REST,0.00072620289828399,124
SKIL,0.000720082205864883,125
HNF1A,0.0007190355816033623,126
ETV4,0.0007170707650595542,127
GATA1,0.0007168775862903038,128
ELF2,0.0007157488787263653,129
EGR1,0.0007120992478038798,130
MEOX1,0.0007103195949556804,131
TBPL1,0.0007101480195243229,132
HOXA9,0.0007089329233580925,133
SMAD5,0.0007042816210521393,134
LHX2,0.0007023705782998921,135
SMAD6,0.0006980671454254083,136
ZMYND8,0.0006959980588968998,137
HOXD13,0.0006929570592657194,138
VDR,0.000690509332716002,139
CUX1,0.0006904761189203286,140
HDAC1,0.0006853509213408071,141
NOTCH1,0.0006825683899616265,142
NFKBIZ,0.0006793371155777784,143
UTF1,0.000678730984514969,144
ZIC2,0.0006781645486515833,145
ATF3,0.0006780681094162653,146
HIF1A,0.0006771153563964604,147
ELF3,0.0006711044258157596,148
LYL1,0.0006710681259667608,149
AHRR,0.0006681508320153542,150
SMAD4,0.000665822417156023,151
E2F2,0.0006612671837113263,152
ZKSCAN7,0.0006605894804155552,153
ELK3,0.0006577278875214909,154
PHOX2B,0.0006555370346177369,155
HIVEP2,0.0006524515993078239,156
NKRF,0.0006515154933698465,157
