tf,importance_mean,importance_std,rank
HOXB7,0.004614839535512293,0.0021226582645115302,1
HIVEP1,0.004293512756354322,0.0015306998018606744,2
RELB,0.003934884095285426,0.002168308876650214,3
ZEB1,0.003832017445364672,0.00027385804520107696,4
RUNX2,0.0038207779771347317,0.0012887791054570182,5
ID4,0.003712231972527165,0.001387270034088487,6
MZF1,0.003513909979312413,0.0012519386711207032,7
KLF8,0.003409466030250475,0.001908292284934877,8
RELA,0.0033993986520304454,0.0006926965054980424,9
IRX1,0.003317660327365497,0.0007796473877441016,10
NR3C2,0.003079955000614082,0.0015947539942011346,11
SETBP1,0.003041934192291169,0.0014943377625439315,12
HOXB9,0.0030207300567073824,0.0005817900291085365,13
DNMT3A,0.0030071531784617235,0.0005704042839105326,14
HOXD3,0.0029568295263155534,0.002612505811914351,15
AEBP1,0.0029543148410066168,0.0007474828709769524,16
FOSB,0.0029188721130163006,0.0022938400042256495,17
TET1,0.0028884502860617232,0.0016566768014641422,18
BCOR,0.002653110837686677,0.00020480873617278938,19
HLX,0.0026062216419255363,0.000969270557396786,20
NFKB2,0.002569626374238534,0.001545151608259254,21
PROX1,0.0025463464752086876,0.0009210186148431586,22
ESR1,0.002498278614292198,0.00041529478179213393,23
RFXANK,0.0024859400186731805,0.0005123307066434377,24
STAT2,0.0023920193557525195,0.001058132227792276,25
HR,0.0023903316870969734,0.000361940464590689,26
REL,0.002307316144771278,0.0011009677488681884,27
PPARGC1B,0.002306659297527854,0.0008050019799847105,28
FOS,0.0022962887319408765,0.001638448618836382,29
STAT3,0.0022909030235978485,0.0013140467726774705,30
TLX3,0.0022781136394447884,0.0020818898740318165,31
TBX2,0.002216275090030089,0.0016329949816638399,32
NFAT5,0.0022066498597298804,0.0011402435680616149,33
SREBF2,0.002142274175226207,0.0018635602949589453,34
CEBPB,0.0021267119263066346,0.0014487491609911798,35
SIX3,0.0021203974932664416,0.000581336142092213,36
TLX1,0.00207730081421912,0.0015449703110734442,37
ZXDC,0.002066454514194925,0.0007684008619207549,38
PHF5A,0.0020093262303017777,0.00048222370347185395,39
CTBP1,0.0020075081185853085,0.0007232033138103213,40
TRPS1,0.0019836027925365014,0.0011648216574357093,41
SPDEF,0.001979193289500215,0.0002186844764583467,42
IRF3,0.0018815655862683821,0.0008737042260872841,43
HTATIP2,0.0018728519082627587,0.0005012134185916952,44
PRDM2,0.0018665694254866479,0.0008466089627632623,45
ZNF362,0.00181661840088973,1.823075715370636e-05,46
NSD2,0.0018014080923963738,0.0006355787699593795,47
ASXL1,0.0017924619156345749,0.00016381424524348549,48
FGF2,0.0017912279493917007,0.0003576488408760901,49
CXXC1,0.0017744882176765429,0.00023230979815121766,50
MAX,0.0017611896492606392,0.0006996141464464556,51
ZBTB7B,0.0017508719106215243,0.00032586183456006476,52
VENTX,0.001744954981377029,0.0012159909498457152,53
GRHL3,0.0016862647999648353,0.0006715928616542043,54
LHX1,0.0016835966098714187,0.0001544224452977748,55
AP1,0.0016830549693042825,0.00017359825307250153,56
JUND,0.001678904475454027,0.0002206956549255329,57
RFX1,0.001622799341011977,0.0003584344785027701,58
SMAD4,0.0016112183828530153,0.0006154228018026133,59
CREB3L1,0.0015721296354426195,0.0009493564125093296,60
NFATC4,0.0015389952541962047,0.0005444918815983768,61
TCF21,0.0015327958088593933,0.0004228592622640655,62
FOXE1,0.0015264245261039262,0.0007199600841790423,63
RARG,0.001520564269917991,0.00111097537959594,64
TFDP1,0.001505270604186558,0.00044487183123742693,65
E2F1,0.0014965445258580113,0.0007156828023933714,66
MEF2B,0.0014870884970977468,0.0007531439809165462,67
FOXG1,0.0014853393243016639,0.0005936756652966283,68
PPARD,0.0014853159462364426,0.0011970984543450323,69
KLF12,0.0014812225408926255,0.0005626286207434267,70
VHL,0.0014760715495472738,0.0001656331423006011,71
THRB,0.0014729512819177777,0.00017475452941476623,72
SP1,0.001467168995490779,0.0004426523280220506,73
ETS2,0.0014526765195537015,0.0002745212935268671,74
POU4F2,0.0014514191465459958,0.000558110210358475,75
ZNF335,0.0014483639523942572,0.0007375035222777751,76
NEUROD1,0.0014422349531006985,0.0005143746719572887,77
EGR4,0.0014320095332679024,0.00037045912092755807,78
NFKB1,0.001424425039961837,0.0008392282808556261,79
MTF1,0.0014199836213899262,0.0003712616589329637,80
DAXX,0.001416512471618574,0.00020197473301212843,81
PHOX2B,0.0014108916551744774,0.0009340191913359497,82
ZBTB33,0.0013759056324641212,0.0003121134451169127,83
ATF7,0.0013710385997414548,0.0003883403262438139,84
ZNF219,0.001370380293879825,0.0004567075669820672,85
TBPL1,0.0013683026919545339,0.00070535729738933,86
USF2,0.001367122650837627,0.00047340267586189986,87
BMAL2,0.0013613984715181177,0.0004355653923127442,88
ARID1A,0.0013599009774643124,0.0002710939374758131,89
GRHL2,0.001349473470184816,0.00011101879601564912,90
ELF3,0.0013476429070615635,0.0004260611834185255,91
DBP,0.0013407793214465721,0.000865095882120788,92
EOMES,0.0013219058740546507,0.0011418121147860247,93
HDGF,0.0012985286903980835,0.00041604376003394897,94
ASCL2,0.0012846328652978461,0.0010151927334472385,95
MYCN,0.0012775449201647214,0.0002715460161542746,96
HOXA13,0.0012731700096055372,0.0004888201881809812,97
TFAP2C,0.0012432046980871067,0.00015131443857839622,98
HOXA1,0.001235894622397214,0.000693377565297069,99
HIPK2,0.0012335013210083687,0.0005242583875835923,100
NCOA6,0.0012317206868176825,0.0001449656658754395,101
BCL11A,0.0012283876865951996,0.0005829938528972417,102
FOXP2,0.0012250991416894149,0.00036869341045236704,103
BARX1,0.001207469531694031,0.0005134184367501723,104
SMAD7,0.0012070416977302547,0.0008359885265741731,105
ZMYND8,0.001205524365407958,0.0005312117081671022,106
SALL1,0.0012012235597605027,0.00021663103374247548,107
FOXC1,0.0012000279488659938,0.00018721322121502661,108
RXRG,0.0011921829358542057,0.000544469792378827,109
TFAP2B,0.001188515770866046,0.00030572239195698886,110
ZNF350,0.0011743408577473535,0.0002089177085469457,111
MLX,0.0011697656963856344,0.00046558724356687614,112
NAB2,0.0011664842032137175,0.0005726157503821666,113
FOXC2,0.001166032637105916,0.0006831255372400572,114
NR2C1,0.0011538386921951902,0.00047897070910102925,115
TWIST1,0.0011488633155033422,0.00019145568326475572,116
TCF7,0.001143908703930591,0.0002112545046246266,117
NKX3-2,0.0011358551353145912,0.0004704120129667382,118
ZNF410,0.0011338721861841007,0.0006940404842070464,119
E2F5,0.0011295784314724086,0.00014169782417774082,120
THAP11,0.001127925355335306,0.00043007842002892226,121
NR0B2,0.0011202439676515385,0.00020048223427396886,122
MEIS1,0.0011114685379551602,4.2051633242024424e-05,123
ZNF300,0.0011066034102386213,0.00013839690352576486,124
ZEB2,0.0011031726408974566,0.0001749345485305712,125
ZNF263,0.0010951567261567694,0.00015279476122795934,126
ATF3,0.0010940561046487631,0.0004367019758722741,127
SNAI2,0.0010836189703322494,0.0009635094806725957,128
SKIL,0.0010779008457070126,0.0002494581529948616,129
XBP1,0.001072014487086296,0.00039059406276006404,130
MEF2A,0.0010704909369552396,0.00023430508834187892,131
SMAD5,0.001068595511988594,0.0004328857206008795,132
HNF1A,0.0010600811442290333,0.0007579229237626345,133
HOXA9,0.0010600311514423599,0.00023218859228674914,134
RXRA,0.001056907769663961,0.00034554672662689143,135
ELF5,0.0010539518180674424,0.0001359143330948576,136
DMTF1,0.0010519602751766358,0.00031406332675045667,137
SMARCA4,0.001051475565717085,3.239556742535164e-05,138
TCF20,0.00104542408256509,0.00030433104947064337,139
GATA4,0.0010381518893402906,0.0006346226509681988,140
ZFP42,0.001034314390748514,0.0002911586609261094,141
LHX8,0.0010299018188233177,5.796190724798803e-05,142
PRDM1,0.0010287008989131082,9.053656578163641e-05,143
EGR1,0.0010217890258587947,0.0006740332849775946,144
FOXM1,0.0010204598200776085,0.00030581433861375407,145
PITX1,0.0010182849593749982,9.616748916194885e-06,146
TBXT,0.0010169986930435183,0.00016613589181349673,147
LYL1,0.0010168380001250809,0.0003322569347899619,148
NFATC2,0.0010166670801109747,5.138551699185844e-05,149
HMGB2,0.0010151549483057949,0.0002888087141951301,150
NKRF,0.0010069982064959905,7.814010200014589e-05,151
E2F7,0.0010053092456390996,0.00027309558323275484,152
NKX2-1,0.001003911768181081,0.0005277520738429955,153
SIX1,0.0010029663169829328,0.0005004861678652433,154
ZBTB4,0.0009975129154901254,0.0007568417665456052,155
TEAD1,0.0009973307294307914,0.00011058549297233125,156
UTF1,0.0009893145853963844,0.0003874492409513551,157
RFXAP,0.0009837704236393032,0.00041843223811525207,158
TBX6,0.000979692672224315,0.00033161300070471913,159
NR2E1,0.0009790436999969412,0.0002542495892495155,160
FIGLA,0.0009669528294809902,0.00029389129088675523,161
GATA1,0.0009575985935071279,0.00026009079533290304,162
MECP2,0.0009527660042956335,0.0007642382151250974,163
SP3,0.0009524740618832829,0.00010705867619541228,164
PAX4,0.0009520786535966805,0.0005234955127140232,165
HOXA10,0.0009426457529559569,0.00039182270547711987,166
SIX4,0.0009410321749875047,0.0002733280726956458,167
CEBPZ,0.0009394833864232599,0.0003045609747208243,168
JUN,0.000938558041381995,0.0003990681870903607,169
CUX1,0.0009350368009476406,0.00021962277741513055,170
LHX2,0.0009314393162989143,0.0003275426999617468,171
MEOX1,0.0009296890670676209,0.0002590185186795392,172
E2F2,0.0009277858135001591,0.0003229319694976554,173
JUNB,0.0009260489520595848,0.0004115899973019492,174
MBD1,0.0009227733961000868,0.0006713582692013476,175
CREB1,0.0009213748820029926,0.0001545281955467849,176
HOXD10,0.0009116796742881603,0.0005565027835054519,177
MECOM,0.000906495079851249,0.000256813193320909,178
TBX18,0.0009032993938251251,0.00033089368085713555,179
MESP2,0.0008943468015841614,0.00045637326965384525,180
HDAC1,0.0008920731328672821,0.0002584001902199596,181
KAT7,0.0008915185068569068,3.708132258142878e-05,182
AHRR,0.0008873040318023167,0.0002646646085218678,183
TEAD2,0.0008708905139656054,0.00045785718303222316,184
ZHX2,0.0008635792826570458,0.00025984528640673977,185
EGR2,0.0008632409367157031,0.0004369666747424051,186
PREB,0.0008624913469505216,0.00020525529827589901,187
WWTR1,0.0008541453294786018,0.00020478065104383964,188
STAT1,0.0008540221333888817,0.00028840679285890635,189
GATA6,0.0008518185338169757,0.000674746409084815,190
RORA,0.0008498623538578227,0.0004049057867515422,191
NOTCH1,0.0008429100224094152,0.0004164218143983777,192
ZKSCAN7,0.0008349023807127334,0.00018890241945635722,193
NONO,0.0008341862126259241,0.00011585272287431775,194
SALL2,0.0008327317885007255,0.000502780050381704,195
KDM5D,0.0008264926071784761,0.0005127658988965363,196
ZNF699,0.0008261881893340981,0.0001287007531641503,197
HOXC8,0.0008238646398350478,0.0003569173450113357,198
SCX,0.0008096243857219844,0.00026095194813325294,199
REST,0.0008084350579108537,0.0001123655979792889,200
CREB5,0.000805158611417092,8.757242002910485e-05,201
ELK4,0.0007994511845860567,0.0005668369163064355,202
HSF2,0.0007982853116292899,0.00048431190849075026,203
VDR,0.0007972600484401593,0.000135219970601907,204
NFYA,0.0007968136195230351,0.0004416001802120789,205
HOXD13,0.0007963313320381144,0.00033674240951315647,206
RARA,0.0007934159866153728,0.0005509062880447065,207
KLF6,0.0007880155042520794,0.00034905489906198893,208
ETV4,0.0007837525938037913,0.00010931119881067559,209
NFKBIZ,0.0007797213832721658,0.00023225377358987144,210
NCOA1,0.0007791528192750076,0.0004173125427898105,211
KDM5B,0.0007778049356593236,0.00012356220438905963,212
SMAD6,0.0007755751137595307,4.8156636668641165e-05,213
RBPJ,0.000775338875809386,0.0003454153471779039,214
PPARG,0.0007740041610763956,0.0003303133913318935,215
TBX3,0.0007722472464478176,0.00042371678039564316,216
HIVEP2,0.0007691184201034084,3.778962388816882e-05,217
NFE2L2,0.0007679655898335004,0.0003632785859965034,218
EZH2,0.0007626071127735413,0.0006121303758518413,219
HHEX,0.0007547346714789162,0.00018735127560874095,220
ESR2,0.0007522731372705953,0.0001836612767897745,221
PLAGL1,0.0007509722568712068,0.00031660081471074174,222
ETS1,0.0007484027503585136,0.0007173821576179541,223
HOXC6,0.0007457066668862491,3.822991474475187e-05,224
CREBZF,0.0007396154046362407,0.00024082914825905908,225
AR,0.0007393549829542664,0.00028101037943817873,226
NKX3-1,0.0007329318638360774,0.00032447467611161667,227
LMO4,0.000730608578236331,0.000351988596986677,228
TBX10,0.0007302729666781773,0.0004899334492127609,229
HIF1A,0.0007300504399296702,0.00010623350553041288,230
MAZ,0.0007245324561425131,9.113100044334526e-05,231
NFIC,0.0007189815549775224,0.0004133038089198339,232
PAX8,0.0007176586424350837,0.00013732863048398876,233
ARNT,0.0007173107715704711,0.0003111217066894069,234
POU3F1,0.000712178526987143,0.00020871902596435944,235
KCNIP3,0.00070914050487166,0.0001937203506986848,236
EP300,0.0007048808677674368,0.00036965169002275094,237
TWIST2,0.000698303862183747,0.0001640246860802337,238
NR2F2,0.0006952142685813762,0.00021702675598181257,239
SUPT20H,0.0006926844724886499,0.00021454179529087643,240
ELK3,0.0006891183076784801,5.35571122401714e-05,241
EHF,0.0006876355181102233,0.00045523206480688064,242
ELF2,0.0006835012452231442,9.832381599268426e-05,243
NKX6-3,0.0006795524145305499,0.0003415851280639717,244
PATZ1,0.0006749213674501877,0.0005430686641100109,245
ZNF148,0.0006727667455035054,0.0001650661880525907,246
CEBPD,0.0006719863739670821,8.603537433121629e-05,247
BRD4,0.0006673269886143133,0.00016724171299432,248
GSC,0.0006656586471551852,0.0002009052363963516,249
RUNX3,0.0006645778799251311,0.00018414894087405672,250
IRF7,0.0006644124837322638,0.00013981796180771375,251
HDAC3,0.0006564920758759711,0.0003513193616578483,252
MEIS2,0.0006550732127019306,0.0002447552069314385,253
KAT5,0.0006550001606440058,5.702805379374586e-05,254
ONECUT1,0.0006473484774325748,0.0003943131289580864,255
NCOR1,0.0006451690166287712,0.0001550829790131927,256
HMGA2,0.0006451200208239886,0.00031414965010726306,257
APEX1,0.0006444577681739274,0.0003359513540770499,258
FOXJ1,0.0006413758828647119,0.00023530266474721745,259
FOXQ1,0.0006411659269653655,0.0003501466833481335,260
PBX2,0.0006380876216971589,0.00020866372193790398,261
ESRRG,0.000637766866847497,0.0002715578089354037,262
ETV5,0.0006356798051224386,0.00029122547050998285,263
HIC1,0.0006299474076155148,0.00014671408288606725,264
WT1,0.0006233600637311941,3.038794505412857e-05,265
PRDM16,0.0006183117587519371,4.9459276737926915e-05,266
NKX2-5,0.0006174097387415576,0.00032391360427288515,267
DLX3,0.0006164088923777294,0.00030651305716282635,268
ETV3,0.000616237793124553,0.00017245937239895604,269
CIITA,0.0006149136659293407,0.0002478978869010122,270
GLI2,0.000613420876327313,0.00011510926192905528,271
TFDP3,0.0006062978524888155,0.00011420563653528276,272
SOX7,0.0006041966056373996,0.0002545437497975448,273
LHX3,0.0006005506114224956,0.0001291770825606823,274
FEZF1,0.0005992562787606871,0.0003634994489783639,275
GTF3A,0.0005986379838585054,0.0005481723830879548,276
SMARCB1,0.0005961136875553143,0.0002509849572587922,277
NACC1,0.0005953931608698872,0.00016315175748284245,278
HDAC7,0.0005950198830813024,0.0003669057476365261,279
RORB,0.0005949204059763562,0.0001282088978315992,280
SMAD9,0.0005924747436649634,0.00028354069794596636,281
ARID4B,0.0005905791668481577,0.00016525319260932785,282
IRF4,0.0005888993375926724,0.0001360927490730122,283
HOXB1,0.0005886960362737098,5.288512109281647e-05,284
TP73,0.000587263505395879,0.00026982225832039705,285
ZIC2,0.0005864727757724346,0.00011981144799805759,286
TSHZ3,0.0005824500866388788,0.00012808949889327482,287
TCF4,0.000579233145129025,0.00023379821943530143,288
LEF1,0.0005792035527216721,0.0004943298513940675,289
PLAGL2,0.0005760376139604511,6.21514299096775e-05,290
ZBTB18,0.00057597547941348,0.00034405532630100115,291
LMX1B,0.0005721811828630283,5.1226362819382964e-05,292
MAF,0.0005710965800285475,1.5252415013515599e-05,293
BACH1,0.0005699958574730387,0.00044565851747547326,294
NEUROD2,0.0005686651802281833,8.518719154956291e-05,295
MAFB,0.0005680694470990575,0.00029062215175756857,296
SOX5,0.0005677465953312727,7.45919238772163e-05,297
NPAS2,0.0005672703811154318,0.00010226733457728724,298
