# Signed IG attribution: mean across seeds x TNBC cells per (TF, drug). Rows = top 20 TFs by global IG importance.
# Sign: target=predicted AUC. POSITIVE attribution -> higher TF activity raises predicted AUC -> resistance driver. NEGATIVE -> sensitivity driver.
tf,osimertinib,saracatinib,erlotinib,brigatinib,pelitinib,entinostat,trametinib,paclitaxel,docetaxel,epirubicin,olaparib
ZEB1,-0.001223986999927244,-0.0012223448162937227,-0.0014422350310875724,-0.001452097319997847,-0.0012232979255107541,-0.0012862161092925817,-0.001283936146743751,-0.0011852861110431452,-0.001174209544842597,-0.0010384126677915144,-0.0014663605494812753
RELA,0.001220062898634448,0.0012202441763899212,0.001221452847251688,0.001218220728636273,0.0012185655120144172,0.001234426733996467,0.0012305391777166126,0.0011520657793274343,0.0011577866427311771,0.0008652937419052856,0.0012107207830922562
MZF1,-0.002382381217709432,-0.0023924363388990364,-0.002522737442632206,-0.002534112412831746,-0.002357140459935181,-0.002286382034071721,-0.002292223793726104,-0.0022189001562461876,-0.0022008992091286927,-0.0017319988279875058,-0.002555542319896631
IRX1,0.0015590560118046899,0.0015638391269021668,0.0016371883333097987,0.0016373336487352692,0.001546512891460831,0.0014791178267235712,0.001483617679089851,0.0013410644460236654,0.0013235016510103985,0.001010101311597585,0.0016359825616139763
HIVEP1,-0.000245616894972045,-0.00023993316547906338,-0.00025640414605732076,-0.00025844274811485474,-0.0002622196795224833,-0.00023502513674126627,-0.0002364855257231587,-0.0002261139525217004,-0.0002496561392035801,-0.00019078071879145378,-0.0002683833578582077
AEBP1,-0.001658237601077417,-0.0016617408873571549,-0.0017300439637134939,-0.0017356487769575324,-0.0016457820080783374,-0.001628577087103622,-0.0016333026699915838,-0.0015156672707234975,-0.0015051273670299754,-0.0012262484233360738,-0.001743404700391693
BCOR,-0.0003966328949900344,-0.00040019430161919445,-0.00043111073318868876,-0.0004327548764801274,-0.0003818602078050996,-0.0003608702778971444,-0.00036656604303667944,-0.0002954866213258356,-0.0002761088981060311,-0.00026186255854554474,-0.000437141046859324
HOXB9,-0.0002518448321400986,-0.0002523561621880314,-0.0002565872503813201,-0.0002569240423326846,-0.000248138540579627,-0.0002359588531059368,-0.00023988771014652835,-0.00020101160953345243,-0.00019515241425930677,-0.00020190566101518925,-0.00026225803594570607
HOXB7,-0.001497196892159991,-0.001498472813788491,-0.0015319682279368863,-0.0015339223415746044,-0.0014913934865035117,-0.00146287698589731,-0.0014649936347268522,-0.0013766325670682515,-0.0013635165378218517,-0.0011398898156282182,-0.0015364195957469444
RELB,-0.0007375729983323254,-0.0007383984338957816,-0.0007590377014518405,-0.0007602637100111073,-0.0007336539905130243,-0.0007177892960802031,-0.000722446127232009,-0.0006585151410642235,-0.0006479646265991809,-0.0004976599581520228,-0.0007652042210490132
TET1,-6.26136288701673e-05,-6.464332121443779e-05,-5.076861210303226e-05,-4.8812291424837895e-05,-5.577024633870072e-05,-3.412798226539356e-05,-3.362191910127876e-05,-3.412689360023554e-05,-2.8146028247041006e-05,-5.759362011303892e-06,-4.90064091233459e-05
SETBP1,0.00015577316905061403,0.0001588899661631634,0.00017944806313607842,0.00017962822069724402,0.0001472334067026774,0.0001548448441705356,0.00015356730727944523,0.00016180419576509544,0.00015166825808895132,4.964084655512124e-05,0.00018009122383470336
ASXL1,-0.00019485184748191386,-0.00019239473719305047,-0.00024270215847839913,-0.00024483647333302844,-0.00020598519768100232,-0.00020298657182138413,-0.00020052315570258847,-0.00020385241077747196,-0.00021644683632378778,-0.00019628487886317694,-0.0002485917163236688
SPDEF,-4.570904578334497e-05,-4.75497736260877e-05,-8.42140977207843e-05,-8.448878391694355e-05,-3.9233971316813644e-05,-3.578740870580077e-05,-3.784319991003334e-05,-3.6967011510569137e-05,-3.242705406591995e-05,1.635016587897553e-05,-8.565388452552725e-05
ZNF362,0.0004490277406906292,0.00045021915419359476,0.0004649035470265517,0.0004625362123533705,0.0004411968369974299,0.0004301746383437906,0.0004337669426301242,0.00032841558042188507,0.0003139182430610769,0.0002607240890029061,0.00044900244127650996
SIX3,0.0003387038377695717,0.0003350224336221193,0.00035458232984334853,0.00035721378662856296,0.0003512943779545215,0.0003407354937129033,0.00034070077769380686,0.0003168092298437841,0.00032645529427099973,0.00023701009437597045,0.00035978022303121787
DNMT3A,0.0006698197600295922,0.0006723674250679323,0.0007392472622692973,0.0007436103933287086,0.0006658173606410855,0.0006366200771784255,0.0006366629731928697,0.0006455299129205135,0.0006470103950656873,0.000522622558492003,0.0007540888212436888
KLF8,-0.0003060928656850592,-0.00030801669254287845,-0.00034410247735650046,-0.00034453307004393235,-0.0002992213464191688,-0.00029986124566979316,-0.000303976381777223,-0.00021680192276107846,-0.00020934186553252707,-0.00016094923042449713,-0.0003429406679060776
ZBTB7B,-0.0012651143624680117,-0.001265138261563455,-0.0012710000495038305,-0.0012707395993250732,-0.0012639165870496072,-0.0012557437027377698,-0.0012567836383823305,-0.0011429490041336976,-0.0011389488402831678,-0.0009398026486451272,-0.0012703950778814033
RUNX2,-0.0006751830393720107,-0.0006753800043952651,-0.0007293833477888256,-0.0007323480361568121,-0.0006734151538694277,-0.0006580191839020699,-0.0006628087964296961,-0.0005672820431451934,-0.0005681966795236804,-0.00045186632390444476,-0.0007401283704287683
