# IG global importance: mean |attribution| across seeds x TNBC cells x drugs (3 x 12 x 11 = 396 samples per TF).
# Non-signed (magnitude). For signed per-drug see tf_drug_ig_signed.csv.
tf,importance_mean,importance_std,importance_ci_low,importance_ci_high,rank
ZEB1,0.00351124466815787,0.0021760387561908135,0.00045692388084717095,0.007338784169405699,1
RELA,0.0032577726897905063,0.0021899628982890995,3.088076118729077e-05,0.007219744846224785,2
MZF1,0.003246913718061423,0.0018948790976779028,0.0005248087109066546,0.005969347897917032,3
IRX1,0.002921001460587528,0.0017679775817558553,0.00021819664107169956,0.006372721400111914,4
HIVEP1,0.0027993841979354547,0.002217528004974928,0.00020334446162451059,0.007501915562897921,5
AEBP1,0.0027364661539402073,0.0019873135831923296,0.00016591882740613073,0.007496719714254141,6
BCOR,0.0026108590986537324,0.001606501273647367,0.000547798175830394,0.006109817884862423,7
HOXB9,0.002233472462070164,0.0015909148913756876,0.00012342074478510767,0.005182492546737194,8
HOXB7,0.0020351654812023326,0.0008997371298415478,0.0005406382260844111,0.0037464946508407593,9
RELB,0.0019745646783452353,0.0009629343653563339,0.00024521819432266057,0.0037317888345569372,10
TET1,0.0019342793777992263,0.001391718545879208,3.7264482671162114e-05,0.004302751272916794,11
SETBP1,0.0019294719589225044,0.0011529308348600866,0.0005577448755502701,0.004468180239200592,12
ASXL1,0.0018655540900936378,0.0006912443135482015,0.0006112761911936104,0.0034599604550749063,13
SPDEF,0.0018499680673316602,0.0013176063118840202,3.547628875821829e-05,0.004213016014546156,14
ZNF362,0.0017883286558654536,0.0012595785841372506,9.421601134818047e-06,0.004175918642431498,15
SIX3,0.0017592810543261073,0.0014235527966678504,0.0002515455416869372,0.004932889249175787,16
DNMT3A,0.0017295742060069283,0.0013897175186579043,8.313973376061767e-05,0.005150520708411932,17
KLF8,0.0017158978808958746,0.0012776937676339628,3.955549982492812e-05,0.004676016978919506,18
ZBTB7B,0.0016895550602798307,0.0014770333255067554,0.00031068065436556935,0.0044687953777611256,19
RUNX2,0.0015833821766357164,0.0013296660000099874,0.00031839299481362104,0.004797462373971939,20
NFAT5,0.0015520133132337253,0.0006524999789771105,0.00046826517791487277,0.003208775306120515,21
ZXDC,0.0015217996077615571,0.0009947305951841245,0.00026752788107842207,0.003668340388685465,22
THRB,0.0014757017617574259,0.0007684265162778607,0.00022633351909462363,0.00298489211127162,23
LHX1,0.0014590780526690871,0.0009204801086842649,2.8541122446767986e-05,0.0032509302254766226,24
HTATIP2,0.0014138816171025885,0.0014253681790852158,8.44377136672847e-05,0.005803123582154512,25
PROX1,0.0013978127793355573,0.0009324399150733121,9.66327206697315e-06,0.002908191177994013,26
ESR1,0.0013914930429674507,0.0008638004044881924,4.1700426663737744e-05,0.003016378730535507,27
EGR4,0.001370628827840626,0.0006827175891392923,0.00022567049018107355,0.0024153762497007847,28
TCF21,0.001349711028579446,0.0011251148172553255,0.0002117453550454229,0.004234547261148691,29
TRPS1,0.0013331987684619944,0.0012297849038320654,6.091898467275314e-05,0.0047586821019649506,30
HOXD3,0.0013177858746723468,0.0007757123467084173,0.000505795469507575,0.0033382130786776543,31
TLX1,0.0013036549035363846,0.0009727045488928268,3.094532075920142e-05,0.003365045180544257,32
GRHL2,0.0012823311010861564,0.0004819545711368065,0.00035650545032694936,0.002153108362108469,33
VHL,0.0012791579726553844,0.0010270473854714463,9.61946789175272e-05,0.003990724217146635,34
GRHL3,0.0012739849555807516,0.0008344574949354815,1.253734080819413e-05,0.003117429791018367,35
TFAP2C,0.0012714145890861278,0.0007522085772969846,0.0001211147173307836,0.002677592448890209,36
PPARGC1B,0.0012505124470242829,0.0009652937097448995,8.470022294204682e-05,0.003835647599771619,37
FOSB,0.0012290440785859987,0.0009590217106412299,0.00013487384421750903,0.0035514181945472956,38
HR,0.001223354374980607,0.0008043861276830736,0.00015167884703259915,0.003165710950270295,39
MYCN,0.0012119449829421656,0.0011778261048938927,0.00014425464905798435,0.004183603450655937,40
JUND,0.0011931952873662037,0.0011658231480553684,7.897213072283193e-05,0.004562628921121359,41
ZNF219,0.0011925610550943848,0.0005925527873396493,0.00023198094277177006,0.0022446159273386,42
TBX2,0.0011886272753310384,0.0012949684694140617,3.57837307092268e-05,0.00399951683357358,43
CXXC1,0.0011878572485963532,0.0009106528380821718,3.905626363120973e-05,0.0029293890111148357,44
RFX1,0.0011780148452037959,0.0009204525643730525,8.26371604034648e-07,0.0030645679216831923,45
ARID1A,0.0011753850160885397,0.0010940713031051758,0.00013154871703591198,0.004581121727824211,46
CREB3L1,0.0011626666615815009,0.0008581737557722588,0.00011267246009083465,0.0028661850374192,47
IRF3,0.0011620928088439432,0.0009596445307748252,0.0002524739829823375,0.003017191542312503,48
REL,0.0011512966493683052,0.0007780625251873472,1.7477936125942506e-05,0.0023673642426729202,49
RFXANK,0.0011462205874329702,0.0005251242246652629,0.00016113919264171273,0.002000561449676752,50
E2F1,0.0011377985336532054,0.0008501793369322867,0.0001707686751615256,0.0033852080814540386,51
CTBP1,0.0011351015501190886,0.0008536892798660808,1.974353290279396e-05,0.0026771272532641888,52
VENTX,0.0011271626269510969,0.0007874632477980985,0.00010801588359754533,0.002446437021717429,53
STAT3,0.0011261001876791302,0.0008889581312130042,2.9061216991976835e-05,0.002963113132864237,54
MEIS1,0.0011080619351008809,0.0009665601037517637,0.00019701228302437812,0.003985225223004818,55
HDGF,0.0011065122747492171,0.0007069531320252836,0.00010142855171579868,0.002215581014752388,56
NSD2,0.0011064920700729283,0.0014130114056418337,1.1484775313874707e-05,0.005350822117179632,57
TFAP2B,0.0010981891083991452,0.0006673113600529104,0.0003577573806978762,0.003133848076686263,58
NFKB2,0.0010959737252657458,0.0006822662522129055,0.0003327663871459663,0.003098241752013564,59
E2F5,0.001084899081730107,0.0009693286165998259,5.080660685052862e-06,0.003199242288246751,60
NKX3-2,0.001074075882515348,0.0005831630218109192,0.00023952167248353362,0.0019919229671359062,61
DAXX,0.0010582532190848283,0.0010374903960031021,9.323829726781696e-05,0.003504193387925625,62
HLX,0.001052381823443959,0.0010816104072678163,3.7604472709062975e-06,0.0036589684896171093,63
ZNF300,0.0010475485196366208,0.0008104790005360506,0.00013164692791178823,0.002789572812616825,64
LHX8,0.0010336709021816425,0.0006427763952287538,0.00011006011482095346,0.002395415212959051,65
