# IG global importance: mean |attribution| across seeds x TNBC cells x drugs (3 x 12 x 20 = 720 samples per TF).
# Non-signed (magnitude). For signed per-drug see tf_drug_ig_signed.csv.
tf,importance_mean,importance_std,importance_ci_low,importance_ci_high,rank
ZEB1,0.0035752548058856823,0.0022163485463399246,0.00045676808076677844,0.008048311085440208,1
RELA,0.0032840172167046453,0.002183826440592623,3.088076118729077e-05,0.007198811275884509,2
MZF1,0.003282796988908861,0.0019032791026481384,0.0005408928715041839,0.005969347897917032,3
IRX1,0.0029660367302615973,0.0017997823493640732,0.00021836999148945325,0.006884505774360149,4
HIVEP1,0.0028339926476595185,0.002231508278168082,0.00020344116783235222,0.007565407548099756,5
AEBP1,0.002769389432190413,0.002004155394981102,0.00016591771600360516,0.007703721220605073,6
BCOR,0.002643861691103666,0.0016139594016973747,0.0005478734863572754,0.006112477963324636,7
HOXB9,0.0022535062071256107,0.001591534182404885,0.000123419682495296,0.00525088794529438,8
HOXB7,0.0020526555214019026,0.0009034678131302639,0.0005400995738455095,0.0037464946508407593,9
RELB,0.0019913248032632207,0.0009675175881755635,0.000245415409153793,0.0037549764849245547,10
TET1,0.0019570131293903613,0.0013992536296528412,3.728501642399351e-05,0.004305790166836232,11
SETBP1,0.001951062803224583,0.0011602463494154625,0.0005672942730598152,0.004505878314375877,12
ASXL1,0.0018915591020534823,0.0006932182340406895,0.000611266698979307,0.0035112453624606133,13
SPDEF,0.0018798610906363442,0.0013293415092927089,3.5471778119244846e-05,0.004212685045786202,14
ZNF362,0.0018201669690104912,0.0012849465232869263,9.421601134818047e-06,0.0044320915476419006,15
SIX3,0.0017857455506600673,0.0014323037567048737,0.00025073107826756313,0.00493700010702014,16
DNMT3A,0.0017526166808844816,0.0014059685828173467,8.313731505040777e-05,0.0054259225726127625,17
KLF8,0.0017508552946310374,0.001284192578951363,3.9549946177430686e-05,0.004692613903898746,18
ZBTB7B,0.0017037724604961114,0.0014800869284533412,0.0003106782438408118,0.004470613785088062,19
RUNX2,0.0016065269895383,0.0013473264523538111,0.000330265611410141,0.005049108841922132,20
NFAT5,0.0015808250499200463,0.0006568947337214265,0.0004681381011323538,0.003407322574639693,21
ZXDC,0.0015386144725804721,0.0009958548237872218,0.0002671907204785384,0.003792260540649295,22
THRB,0.0014912804735407311,0.0007740860364892078,0.0002263304155349033,0.002982794540002942,23
LHX1,0.001464643843291924,0.0009205545687455036,2.8525110337795923e-05,0.0032488272059708833,24
HTATIP2,0.0014311525406204358,0.0014322340476681,8.442292364634341e-05,0.005816165532451123,25
ESR1,0.0014307181639878763,0.0008902673725648334,4.168571749687544e-05,0.00313635662314482,26
PROX1,0.001421954045027481,0.0009560085793411984,9.657897271608817e-06,0.002972526545636355,27
TCF21,0.0013776814676627206,0.0011373966897905905,0.00023698303630226294,0.0044616584200412035,28
EGR4,0.0013762263385312206,0.0006810623454361392,0.00022417733780457638,0.0024153762497007847,29
TRPS1,0.0013470664513230682,0.001235547780924527,6.114335201345966e-05,0.004782409872859716,30
TLX1,0.0013289075496610773,0.0009815902131648524,3.090942209382774e-05,0.0034129214473068714,31
