tf,rank_42,importance_mean_42,rank_123,importance_mean_123,rank_456,importance_mean_456,mean_rank,in_top20_all_seeds
IRX1,4,0.0028549156139585346,5,0.0034929955436382443,4,0.002228881715139626,4.333333333333333,True
KLF8,19,0.0016563380766683622,3,0.004127678639374229,6,0.002194477946613915,9.333333333333334,True
AEBP1,6,0.002724374638819427,16,0.002653922235428278,14,0.0017208898271595292,12.0,True
MZF1,2,0.003347502111500944,4,0.003841567670557803,31,0.00123530019076649,12.333333333333334,False
SPDEF,13,0.0018456337675161194,1,0.004261567030274212,32,0.0012190125887362531,15.333333333333334,False
HIVEP1,5,0.002827478968356445,17,0.0025794956155247442,28,0.001289889927753999,16.666666666666668,False
BCOR,7,0.0026096869332832284,10,0.002851191099762218,50,0.0010290772734758017,22.333333333333332,False
ASXL1,18,0.0016654883860610426,33,0.0020683933102797407,21,0.0014415548402515318,24.0,False
CREB3L1,51,0.0011354691919829444,8,0.0031383266659152772,15,0.0016934980885101444,24.666666666666668,False
PROX1,27,0.0013819646835599997,19,0.002557965436547723,33,0.0012173909026387264,26.333333333333332,False
REL,59,0.0010594471129517539,11,0.0028365091887584035,9,0.001961850043657402,26.333333333333332,False
ZXDC,20,0.0015614318229684916,7,0.0031467128481987554,60,0.0009225879474797693,29.0,False
RELA,3,0.0031095876642818136,63,0.0015093057980266166,22,0.001434976602149618,29.333333333333332,False
ZEB1,1,0.003484945542732021,93,0.0012221031206536281,1,0.0031861707525725554,31.666666666666668,False
HR,38,0.0012070856132292344,6,0.0032858364271911946,53,0.0010022482306036788,32.333333333333336,False
RELB,12,0.0019089590252406197,61,0.0015202990017617898,26,0.0013194917612660598,33.0,False
TRPS1,29,0.0013076051899133744,35,0.001918216077622977,43,0.0010674343665868947,35.666666666666664,False
STAT2,61,0.0010496744220896896,40,0.0018315109908144222,10,0.0018870003585713371,37.0,False
THRB,23,0.0015155836266785628,37,0.001883821530403414,55,0.0009774451989263374,38.333333333333336,False
TET1,10,0.001964292411503266,15,0.0027316491632821756,93,0.0007845110148304949,39.333333333333336,False
TLX1,32,0.0012749766683327834,49,0.0016573583613838613,45,0.0010581605797142402,42.0,False
FOXP2,82,0.0009210694256732192,14,0.0027518439602620976,34,0.0011851335248366014,43.333333333333336,False
IRF3,36,0.0012314804960624314,101,0.0011694791925644192,2,0.0030179639480290158,46.333333333333336,False
ZNF335,81,0.0009525790127099754,20,0.002472368264807301,39,0.0011067370999228387,46.666666666666664,False
LHX8,65,0.001020306206070624,59,0.0015364101878124832,16,0.0016481117805597022,46.666666666666664,False
DNMT3A,17,0.0016685261238308159,39,0.0018340143613689481,100,0.0007641145736651348,52.0,False
KLF12,60,0.0010511555022276297,25,0.0023464149237649207,84,0.0008079028393088568,56.333333333333336,False
MEF2A,85,0.0009075000338877241,36,0.0019062171494927801,49,0.0010415791135528706,56.666666666666664,False
BARX1,91,0.0008713607747874145,64,0.0015080228130803638,23,0.001432537857249372,59.333333333333336,False
E2F5,54,0.0010926110230106663,111,0.0011402283750006367,25,0.0013852122624105807,63.333333333333336,False
HOXB9,8,0.0022816995411327904,87,0.001280219663446284,96,0.00076849123743159,63.666666666666664,False
CXXC1,30,0.0012937079174738149,88,0.001273126824329059,79,0.0008376459247187995,65.66666666666667,False
PHF5A,111,0.0007751591453901104,18,0.002574707862610618,72,0.000875427885936612,67.0,False
ZEB2,80,0.0009561110428876418,48,0.0016837834375716435,78,0.0008408388199313777,68.66666666666667,False
PRDM1,92,0.0008651416940362348,57,0.001551458010241428,57,0.0009483423336860142,68.66666666666667,False
TFAP2B,58,0.0010595583322356105,24,0.0023565707759795867,127,0.0006579325930943014,69.66666666666667,False
ZBTB7B,16,0.0016859584363070705,107,0.0011496679506308282,89,0.0007946033457604547,70.66666666666667,False
TBXT,74,0.0009688289392897787,31,0.0020897873299195644,109,0.0007125744814118207,71.33333333333333,False
ZNF362,14,0.0017746110096481971,203,0.0008178401934893979,5,0.0022187952401054646,74.0,False
FOSB,37,0.0012157855495388502,79,0.0013478198282124746,110,0.0007081318711546677,75.33333333333333,False
VENTX,57,0.0010689529599706778,65,0.001501194286174723,106,0.0007338982074088562,76.0,False
TFAP2C,35,0.0012652923138375626,32,0.002078178153533372,173,0.0005703023151833501,80.0,False
RUNX2,22,0.0015432598956977017,12,0.0027610952323205615,207,0.0004865111542121288,80.33333333333333,False
ZIC2,152,0.0006530834976729239,69,0.001457378967703941,29,0.0012587254921527346,83.33333333333333,False
SETBP1,11,0.0019627633194128674,2,0.004260830574882372,245,0.0004206663683291367,86.0,False
GRHL3,39,0.0012004502296273738,126,0.0010944112214133384,95,0.0007728702080839866,86.66666666666667,False
NR3C2,86,0.000895976533350525,114,0.00112871323217405,64,0.0009070084406630485,88.0,False
EGR1,141,0.0006713112382385588,67,0.0014662079791378346,66,0.0008955926839007589,91.33333333333333,False
PGR,189,0.0005603559756006386,52,0.001620585476969912,35,0.0011618894819548586,92.0,False
ESR1,24,0.0014587895523391126,77,0.0013756243233577455,187,0.0005376033397017939,96.0,False
ID4,77,0.0009611920034330978,149,0.0010093706829138681,70,0.0008801012035898263,98.66666666666667,False
RFXANK,49,0.0011377959580689398,183,0.0008625634105555946,74,0.0008631418732875318,102.0,False
GATA1,134,0.0006810052529848084,60,0.0015207192810824685,124,0.000667424308964352,106.0,False
SMARCB1,281,0.00040238263136795164,9,0.002853760118766028,30,0.0012465015028283234,106.66666666666667,False
ZNF699,114,0.0007556188501742629,151,0.0010030973278716715,63,0.0009080066879240197,109.33333333333333,False
E2F1,46,0.001162608680503278,158,0.0009700415695988341,125,0.0006624697283541536,109.66666666666667,False
E2F7,194,0.000557735768885929,71,0.0014502324652009217,73,0.000868260893215241,112.66666666666667,False
