tf,importance_mean,rank
ZEB1,0.003442694135821622,1
MZF1,0.003326493409104208,2
RELA,0.003094336944576009,3
IRX1,0.002825479132518398,4
HIVEP1,0.0028043867295667897,5
AEBP1,0.0027003328335316232,6
BCOR,0.002587742303810294,7
HOXB9,0.0022695970540856556,8
HOXB7,0.001966445864650957,9
TET1,0.0019493742545157809,10
SETBP1,0.0019490989313150446,11
RELB,0.0019018337824849314,12
SPDEF,0.0018249342650078963,13
ZNF362,0.0017526112361944495,14
SIX3,0.0016920503058469021,15
ZBTB7B,0.0016768993673119412,16
DNMT3A,0.0016540016705689734,17
ASXL1,0.0016533233069684215,18
KLF8,0.0016315851150300825,19
ZXDC,0.001551688336114625,20
NFAT5,0.001536180745681508,21
RUNX2,0.0015318082554255273,22
THRB,0.001506071327832725,23
HTATIP2,0.0014279779064633078,24
ESR1,0.001421264789355932,25
LHX1,0.0014130747087041198,26
PROX1,0.001365389503345079,27
EGR4,0.0013421546992145577,28
TRPS1,0.0012992107537381041,29
CXXC1,0.0012785524749729534,30
HOXD3,0.0012784822756657377,31
TFAP2C,0.0012678147358559672,32
TLX1,0.0012599355720725946,33
VHL,0.0012593650963577657,34
TCF21,0.0012540781679104618,35
IRF3,0.0012291796010686085,36
FOSB,0.001210776777070626,37
HR,0.0011955586396101298,38
ZNF219,0.0011926894259169894,39
MYCN,0.001187985591197062,40
RFX1,0.0011849486812793382,41
JUND,0.0011832262913561533,42
GRHL3,0.0011816831376673883,43
TBX2,0.0011718026372281283,44
E2F1,0.001156429250344941,45
GRHL2,0.00114892841928381,46
ARID1A,0.0011392094532890371,47
PPARGC1B,0.0011374711278249654,48
CREB3L1,0.0011260819809456625,49
RFXANK,0.0011243987156018247,50
CTBP1,0.0011127862609121373,51
NFKB2,0.0011048758346022983,52
MEIS1,0.0010902462623066226,53
NSD2,0.0010820369607417338,54
E2F5,0.0010776944347791566,55
STAT3,0.0010730763364280751,56
VENTX,0.0010694051711514917,57
REL,0.0010594669419002787,58
TFAP2B,0.0010567014428626421,59
KLF12,0.0010389841743634668,60
NKX3-2,0.0010348918367526494,61
STAT2,0.0010311493433894639,62
NFATC2,0.0010275577857982805,63
FGF2,0.0010124216247332338,64
LHX8,0.0010120098234465606,65
ZNF300,0.0010112249236761163,66
HDGF,0.0010099809554627757,67
HLX,0.0010006547981919484,68
DAXX,0.0009979146404723658,69
FOXC1,0.0009960995058380913,70
ZNF263,0.000994323059289441,71
MAX,0.0009647078068431283,72
TLX3,0.0009626225609364072,73
ELF5,0.0009619606271647199,74
SP1,0.0009588365679531541,75
HIPK2,0.0009551711033661073,76
ZEB2,0.0009540167611152301,77
ZNF335,0.0009514593504277537,78
TBXT,0.0009506085724421031,79
TFDP1,0.0009490184436964972,80
ID4,0.0009481073790966273,81
FOXG1,0.0009173877249739951,82
FOXP2,0.0009100773200826194,83
NCOA6,0.0009089370548529339,84
MEF2A,0.0009028875952715294,85
NR3C2,0.0008862601795099732,86
ZBTB33,0.0008848064626087735,87
HMGB2,0.0008834965857121543,88
MEF2B,0.0008714968651364677,89
BARX1,0.0008654356826920059,90
TEAD1,0.0008627726017011535,91
PRDM1,0.0008604424476674687,92
USF2,0.0008427789336675426,93
TWIST1,0.0008413953008364457,94
NFKB1,0.0008382342394366842,95
PPARD,0.000831210142239898,96
DMTF1,0.0008253706014467311,97
BCL11A,0.0008232184957181964,98
POU4F2,0.00081833727036803,99
FOXE1,0.0008182052218244555,100
NONO,0.0008161843673433671,101
SREBF2,0.0008122825853261571,102
NR2E1,0.0008053362319542705,103
FOS,0.000805173963051471,104
RXRA,0.00079671771538525,105
RXRG,0.0007936286084176655,106
ZNF350,0.0007884870562768563,107
SALL1,0.0007873887942409827,108
NFATC4,0.000777686250936919,109
PHF5A,0.0007700791073589106,110
ASCL2,0.0007639639741297067,111
ARID4B,0.0007585194458876933,112
ZNF699,0.0007497632299088185,113
CEBPB,0.0007474345386423341,114
MTF1,0.0007440906257133148,115
REST,0.0007433631976847678,116
MEOX1,0.0007405304327221529,117
BMAL2,0.0007401981323930544,118
TBX18,0.0007376830835606928,119
ZNF410,0.0007328772245466208,120
HOXA13,0.0007295670174602437,121
ELF2,0.0007233549132996069,122
KDM5B,0.0007233414736137175,123
KAT7,0.0007225612687479401,124
SP3,0.0007189752027029913,125
TBX6,0.00071745630136568,126
HDAC1,0.0007171122043666511,127
ZMYND8,0.0007033118925419606,128
TBPL1,0.0007013319715924533,129
ELF3,0.000683842829444488,130
EGR1,0.0006836952688900055,131
HNF1A,0.0006814862807583598,132
ETV4,0.0006797198985816177,133
SMAD6,0.0006762236725990078,134
THAP11,0.0006731948117455679,135
