tf,importance_mean,rank
ZEB1,0.0031861707525725554,1
IRF3,0.0030179639480290158,2
SOX4,0.0023757954337876677,3
IRX1,0.002228881715139626,4
ZNF362,0.0022187952401054646,5
KLF8,0.002194477946613915,6
SMAD5,0.002150428133609239,7
RFX1,0.0021196129743051035,8
REL,0.001961850043657402,9
STAT2,0.0018870003585713371,10
SALL1,0.0018858056357809498,11
RFXAP,0.0017827317870190503,12
HOPX,0.0017388679853562886,13
AEBP1,0.0017208898271595292,14
CREB3L1,0.0016934980885101444,15
LHX8,0.0016481117805597022,16
ARID4B,0.0016060494609215917,17
MAML1,0.0015953389214094689,18
IRF6,0.001586665444362249,19
MEIS2,0.0014959680442795313,20
ASXL1,0.0014415548402515318,21
RELA,0.001434976602149618,22
BARX1,0.001432537857249372,23
FOXD3,0.0013911288100037684,24
E2F5,0.0013852122624105807,25
RELB,0.0013194917612660598,26
KLF5,0.0013031082429051822,27
HIVEP1,0.001289889927753999,28
ZIC2,0.0012587254921527346,29
SMARCB1,0.0012465015028283234,30
MZF1,0.00123530019076649,31
SPDEF,0.0012190125887362531,32
PROX1,0.0012173909026387264,33
FOXP2,0.0011851335248366014,34
PGR,0.0011618894819548586,35
CREB5,0.0011475894467669909,36
DMTF1,0.0011370646814308808,37
TTF1,0.0011228898938194713,38
ZNF335,0.0011067370999228387,39
NFKB,0.001101874119497855,40
CIITA,0.0010998474321847122,41
PPARA,0.0010737203597576202,42
TRPS1,0.0010674343665868947,43
SMAD6,0.0010648871864835504,44
TLX1,0.0010581605797142402,45
MEOX1,0.001045872907904292,46
FOS,0.001044802456059794,47
GLI2,0.0010422006580483867,48
MEF2A,0.0010415791135528706,49
BCOR,0.0010290772734758017,50
NFAT5,0.001021376265877431,51
KLF4,0.0010094439043768944,52
HR,0.0010022482306036788,53
EGR2,0.000982019968887471,54
THRB,0.0009774451989263374,55
TP53,0.00096883567457553,56
PRDM1,0.0009483423336860142,57
DLX4,0.0009475174262964477,58
NCOA1,0.0009443753740621711,59
ZXDC,0.0009225879474797693,60
EP300,0.0009195032893103416,61
GRHL2,0.0009156457527296879,62
ZNF699,0.0009080066879240197,63
NR3C2,0.0009070084406630485,64
HOXD10,0.0008986976166549236,65
EGR1,0.0008955926839007589,66
FOXQ1,0.0008925106320854562,67
NFIL3,0.0008893449357553133,68
NEUROD2,0.0008886528694650527,69
ID4,0.0008801012035898263,70
ONECUT1,0.0008790481444142036,71
PHF5A,0.000875427885936612,72
E2F7,0.000868260893215241,73
RFXANK,0.0008631418732875318,74
STAT1,0.0008621889601120832,75
FGF2,0.0008477842047189672,76
PAX8,0.0008448654607642917,77
ZEB2,0.0008408388199313777,78
CXXC1,0.0008376459247187995,79
TBX6,0.0008373677435732437,80
LMX1B,0.0008339089219892533,81
HINFP,0.0008229772268653809,82
E2F4,0.0008215725070992145,83
KLF12,0.0008079028393088568,84
SPI1,0.0008049817743691771,85
MITF,0.0008006309916178604,86
MYOCD,0.0008004059653103468,87
HIF1A,0.0007962920307515257,88
ZBTB7B,0.0007946033457604547,89
ZBTB33,0.0007945627614617479,90
ARID1A,0.0007891915230023491,91
TBX18,0.0007858976528420195,92
TET1,0.0007845110148304949,93
TP73,0.0007777872836413735,94
GRHL3,0.0007728702080839866,95
HOXB9,0.00076849123743159,96
KLF6,0.0007663442853906114,97
KMT2A,0.0007652464043530927,98
USF2,0.0007648365111284269,99
DNMT3A,0.0007641145736651348,100
ZGPAT,0.0007559408385077404,101
HOXD13,0.0007423420815030113,102
HDAC1,0.0007394116766514951,103
PAX7,0.0007391774235353902,104
MYBL2,0.0007354320639251455,105
VENTX,0.0007338982074088562,106
MSX2,0.000718413894128389,107
IRF4,0.0007168745851837836,108
TBXT,0.0007125744814118207,109
FOSB,0.0007081318711546677,110
ELF2,0.0007023291352500868,111
UTF1,0.0007022228608851341,112
MECP2,0.0006987323698202393,113
SMAD1,0.0006949707722318029,114
PITX1,0.0006929853190134357,115
ZBTB18,0.0006925942236345388,116
RXRB,0.0006842761587904534,117
TEAD4,0.0006789278914766328,118
ETV7,0.0006775809449360774,119
ID2,0.0006768163889300165,120
PAX4,0.0006748254325638451,121
