drug,mean_predicted_auc,std_predicted_auc,min_predicted_auc,n_cell_lines,subtype,rank
sangivamycin,0.3474731,0.0042300913,0.33959872,22,Breast (including 12 TNBC),1
echinomycin,0.34915656,0.0041804574,0.34098145,22,Breast (including 12 TNBC),2
exatecan-mesylate,0.35806328,0.0059204875,0.3480809,22,Breast (including 12 TNBC),3
triptolide,0.35959065,0.006547488,0.3486039,22,Breast (including 12 TNBC),4
epothilone-d,0.36066955,0.00694569,0.34899288,22,Breast (including 12 TNBC),5
epothilone-b,0.36202362,0.0074176677,0.34941775,22,Breast (including 12 TNBC),6
dolastatin-10,0.37385434,0.012011971,0.35434207,22,Breast (including 12 TNBC),7
romidepsin,0.37440178,0.0122419,0.3545152,22,Breast (including 12 TNBC),8
10-hydroxycamptothecin,0.37765494,0.013295826,0.35721484,22,Breast (including 12 TNBC),9
cabazitaxel,0.3792926,0.013837202,0.35845244,22,Breast (including 12 TNBC),10
maytansinol-isobutyrate,0.383333,0.0152151445,0.36022887,22,Breast (including 12 TNBC),11
camptothecin,0.38348687,0.015163322,0.36028332,22,Breast (including 12 TNBC),12
genz-644282,0.38471803,0.015533999,0.3609376,22,Breast (including 12 TNBC),13
gemcitabine,0.38924217,0.01701344,0.3625375,22,Breast (including 12 TNBC),14
NSC-697923,0.4012747,0.02009207,0.36769843,22,Breast (including 12 TNBC),15
crystal-violet,0.4047577,0.020716237,0.36859393,22,Breast (including 12 TNBC),16
nemorubicin,0.40934947,0.02166651,0.3717569,22,Breast (including 12 TNBC),17
taltobulin,0.41160443,0.022008136,0.3725486,22,Breast (including 12 TNBC),18
proscillaridin-a,0.41844714,0.023013152,0.37672633,22,Breast (including 12 TNBC),19
verubulin,0.42110807,0.023488946,0.3790627,22,Breast (including 12 TNBC),20
rubitecan,0.42418405,0.023875087,0.3815182,22,Breast (including 12 TNBC),21
epothilone-a,0.42976037,0.024312945,0.38446668,22,Breast (including 12 TNBC),22
vinblastine,0.43689698,0.025148753,0.39086485,22,Breast (including 12 TNBC),23
vincristine,0.44487923,0.025838017,0.39806208,22,Breast (including 12 TNBC),24
mitoxantrone,0.44973087,0.026297774,0.40184307,22,Breast (including 12 TNBC),25
DVD-111,0.4635664,0.027250806,0.41410115,22,Breast (including 12 TNBC),26
mocetinostat,0.46943042,0.02772713,0.42003506,22,Breast (including 12 TNBC),27
oligomycin-a,0.47542304,0.0278406,0.42626226,22,Breast (including 12 TNBC),28
podophyllotoxin,0.48443457,0.028559865,0.43416548,22,Breast (including 12 TNBC),29
KPT-185,0.48955727,0.028788857,0.4387828,22,Breast (including 12 TNBC),30
D-64131,0.49901268,0.029386213,0.44672623,22,Breast (including 12 TNBC),31
cephalomannine,0.506572,0.02951681,0.45278898,22,Breast (including 12 TNBC),32
plinabulin,0.5089462,0.029664418,0.4546496,22,Breast (including 12 TNBC),33
MG-132,0.5095549,0.029886518,0.4562477,22,Breast (including 12 TNBC),34
colchicine,0.5112195,0.029923087,0.4569298,22,Breast (including 12 TNBC),35
brilliant-green,0.5153909,0.03009929,0.4602096,22,Breast (including 12 TNBC),36
topotecan,0.51947457,0.030448113,0.4642697,22,Breast (including 12 TNBC),37
delanzomib,0.5246961,0.030774014,0.4679072,22,Breast (including 12 TNBC),38
danusertib,0.5261983,0.03082375,0.46882677,22,Breast (including 12 TNBC),39
vindesine,0.5404312,0.03172327,0.48091042,22,Breast (including 12 TNBC),40
oprozomib,0.54318815,0.031750888,0.48301715,22,Breast (including 12 TNBC),41
ouabain,0.54457223,0.031962115,0.48406628,22,Breast (including 12 TNBC),42
carfilzomib,0.5465812,0.032130133,0.4854114,22,Breast (including 12 TNBC),43
tosedostat,0.5477295,0.03218241,0.48702556,22,Breast (including 12 TNBC),44
BAM7,0.548591,0.03228629,0.48745668,22,Breast (including 12 TNBC),45
KW-2449,0.54970497,0.03224258,0.48815247,22,Breast (including 12 TNBC),46
XBD173,0.5510312,0.03235661,0.48927844,22,Breast (including 12 TNBC),47
epirubicin,0.5515501,0.03233948,0.49028045,22,Breast (including 12 TNBC),48
bruceantin,0.5539605,0.032341275,0.49201608,22,Breast (including 12 TNBC),49
raltitrexed,0.56074166,0.032751158,0.49813968,22,Breast (including 12 TNBC),50
brefeldin-a,0.5609407,0.032872517,0.49841225,22,Breast (including 12 TNBC),51
doxorubicin,0.5623613,0.032881103,0.499597,22,Breast (including 12 TNBC),52
sirolimus,0.5664802,0.033058092,0.5029359,22,Breast (including 12 TNBC),53
idarubicin,0.5667625,0.033052027,0.5034133,22,Breast (including 12 TNBC),54
CYT-997,0.57126504,0.033290256,0.5072952,22,Breast (including 12 TNBC),55
emetine,0.5718164,0.033334423,0.50776625,22,Breast (including 12 TNBC),56
ixazomib,0.5720815,0.033164784,0.50810474,22,Breast (including 12 TNBC),57
I-BET-762,0.5735335,0.033290364,0.5097432,22,Breast (including 12 TNBC),58
hesperadin,0.579657,0.03357573,0.51533365,22,Breast (including 12 TNBC),59
AZD7762,0.58310586,0.03374371,0.5185436,22,Breast (including 12 TNBC),60
trichostatin-a,0.58720255,0.033847995,0.5225396,22,Breast (including 12 TNBC),61
diphenyleneiodonium,0.5892313,0.033897005,0.5247904,22,Breast (including 12 TNBC),62
TAS-103,0.5892415,0.03406159,0.5247084,22,Breast (including 12 TNBC),63
torin-1,0.58962864,0.03391312,0.52513266,22,Breast (including 12 TNBC),64
barasertib-HQPA,0.58970076,0.03395606,0.52516663,22,Breast (including 12 TNBC),65
AZD8055,0.593652,0.034046512,0.52923137,22,Breast (including 12 TNBC),66
RGFP966,0.5973685,0.03422923,0.53282154,22,Breast (including 12 TNBC),67
dacinostat,0.5976924,0.03418202,0.53332865,22,Breast (including 12 TNBC),68
LY2603618,0.6028731,0.034381315,0.53854305,22,Breast (including 12 TNBC),69
ixabepilone,0.6034164,0.03443029,0.5387007,22,Breast (including 12 TNBC),70
halofuginone,0.6045179,0.034403082,0.540227,22,Breast (including 12 TNBC),71
LDN-212854,0.60616785,0.034536403,0.54179156,22,Breast (including 12 TNBC),72
peruvoside,0.60623926,0.03436692,0.54216385,22,Breast (including 12 TNBC),73
WYE-354,0.6096387,0.034611054,0.5453696,22,Breast (including 12 TNBC),74
selinexor,0.61347175,0.034776885,0.5490783,22,Breast (including 12 TNBC),75
VER-49009,0.61373687,0.034737956,0.549575,22,Breast (including 12 TNBC),76
