drug,HR,pvalue,padj
pardoprunox,0.1034732687168706,1.8997861970575536e-19,2.74899062714228e-16
litronesib,0.2854599891598577,4.583901737532462e-15,3.316452907104736e-12
tyrphostin-ag-1296,0.11900071992437103,2.065019787068195e-14,9.960278772958928e-12
vinblastine,0.18880540081613942,1.2872349451996616e-13,4.656572414259776e-11
uprosertib,0.06892733869658423,3.198276677552922e-13,9.255812704838156e-11
brivaracetam,0.15978840894555404,4.22392036199109e-13,1.0186687939668512e-10
bnc105,0.23505631847045896,1.9738926450695093e-12,3.84223390382813e-10
fr-139317,0.19513506618726192,2.1242481845628914e-12,3.84223390382813e-10
securinine,0.3176765038038548,3.0443347402893957e-12,4.894613743554172e-10
dolastatin-10,0.14509194714314566,3.9107327716187246e-12,5.626578981360238e-10
vinflunine,0.1772179300718214,4.519923597905335e-12,5.626578981360238e-10
verubulin,0.18529032783626548,4.666133225730674e-12,5.626578981360238e-10
ispinesib,0.4197532079330419,5.746177578445593e-12,5.96419421175152e-10
mexeneone,0.22028574676943005,5.770471248411975e-12,5.96419421175152e-10
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,0.3837742956507827,9.643017955841295e-12,9.302297988068236e-10
daunorubicin,0.2822047302731892,1.2592201516284073e-11,1.138807224628941e-09
epz-5676,0.3183789294896696,2.7726752661519755e-11,2.360035947130535e-09
selinexor,0.0628784041181605,3.322631386969286e-11,2.6710264538580867e-09
indibulin,0.08841197918897774,3.5494088696966254e-11,2.7031550707636934e-09
latrepirdine,4.119481528579304,4.2745621879488516e-11,2.998980467500222e-09
zolantidine,2.6791250899571364,4.3523558961648005e-11,2.998980467500222e-09
emetine,0.029275443549957633,6.273240241950417e-11,4.005835130785519e-09
isometheptene-mucate,2.811918958283226,6.367256945961779e-11,4.005835130785519e-09
bms-265246,0.33822909873944607,1.5074887852147361e-10,9.088901134190512e-09
combretastatin-a-4,0.44554102798225104,1.5814874583077653e-10,9.153649408685346e-09
bosutinib,0.3802954096850601,1.686766342807007e-10,9.38750345400669e-09
vincristine,0.4896605862974507,2.423205365864993e-10,1.2986585794098684e-08
sirolimus,0.2965716844711958,2.6897607257264297e-10,1.3900299179021942e-08
clobutinol,2.3087766843023325,3.265711756309004e-10,1.629477555647975e-08
ly2606368,0.23764625527427416,3.4577432569980883e-10,1.6677848309587445e-08
tivozanib,0.09165373169649763,6.330221553255196e-10,2.924731468147241e-08
pki-179,0.06362680647965195,6.467961781666325e-10,2.924731468147241e-08
adapalene,0.13525231323569567,7.132995296266905e-10,3.127710361726731e-08
2-methoxyestradiol,0.06758412259870542,7.554107607027261e-10,3.214939325696602e-08
demecarium,0.3479487547270243,9.232780464263883e-10,3.81709523765424e-08
cpp,3.5705670600581816,1.0216151307590299e-09,4.106325261689767e-08
cediranib,0.17150797542433482,1.076846743308746e-09,4.211343885318258e-08
temazepam,4.213664901394701,1.2519426278101657e-09,4.767265743266605e-08
azd6482,0.10147772537439881,1.713164383040683e-09,6.230074408661953e-08
rigosertib,0.34012644964136113,1.7222043976950803e-09,6.230074408661953e-08
golgicide-a,5.714625112806587,1.9794880641562163e-09,6.98614446057084e-08
broxyquinoline,0.19237170733897585,2.6776962898277696e-09,9.225301265192338e-08
vinorelbine,0.17018773242011587,3.1108250018260216e-09,1.0468287854981985e-07
digoxin,0.03186564302437387,3.1858673878205127e-09,1.047715934130973e-07
ly2603618,0.09439688514531903,3.827321888646789e-09,1.2306966161937565e-07
decitabine,0.3036238060033971,4.10280631028335e-09,1.290600158908697e-07
sb-239063,0.19931981910879612,4.315547269135127e-09,1.3286376379656443e-07
er-27319,0.008717338899967592,4.552671880998234e-09,1.3724408774592594e-07
parbendazole,0.18626746997945187,5.395595525896729e-09,1.593352393055626e-07
