drug,HR,pvalue,padj
pardoprunox,0.3846356113405159,6.878560632398502e-10,9.953277235080632e-07
litronesib,0.5852505662477364,4.304774868492121e-08,3.1145046173540496e-05
vinblastine,0.4885067965106026,3.7982942594178466e-07,0.00012092587064772554
tyrphostin-ag-1296,0.4164619464623026,4.484508072064096e-07,0.00012092587064772554
brivaracetam,0.45031769065619526,5.271552153014973e-07,0.00012092587064772554
uprosertib,0.32497007318602283,5.600137398207135e-07,0.00012092587064772554
vinflunine,0.46347701666730773,6.478032983002289e-07,0.00012092587064772554
dolastatin-10,0.4296018784228115,6.685604458754695e-07,0.00012092587064772554
bnc105,0.5322431217676216,8.015197735738992e-07,0.00012500951029133407
ispinesib,0.6830698174089942,8.63921978516476e-07,0.00012500951029133407
fr-139317,0.4924681297606335,1.427359002852518e-06,0.00017630238802158798
daunorubicin,0.5766975873630824,1.6751137724122791e-06,0.00017630238802158798
epz-5676,0.6084445683006481,1.9022286167599946e-06,0.00017630238802158798
securinine,0.61423710436957,1.9713295260467704e-06,0.00017630238802158798
verubulin,0.4845123802791541,1.9795438257242677e-06,0.00017630238802158798
mexeneone,0.5258227076275187,1.9913569241021345e-06,0.00017630238802158798
indibulin,0.34075155368904,2.0712789193966798e-06,0.00017630238802158798
vincristine,0.7303917115663532,3.497512433954679e-06,0.0002541043112601318
emetine,0.21752408903245551,3.5559902599617723e-06,0.0002541043112601318
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,0.6690900369208902,3.784440642396118e-06,0.0002541043112601318
clobutinol,1.4530260479540524,3.820908069647403e-06,0.0002541043112601318
bms-265246,0.6221913949961732,3.863368934155426e-06,0.0002541043112601318
isometheptene-mucate,1.576808041550014,4.312300605033148e-06,0.0002712999554557811
selinexor,0.30263955873950493,4.958716108345979e-06,0.00029053933225732894
latrepirdine,1.8438650445438223,5.019684385924826e-06,0.00029053933225732894
combretastatin-a-4,0.7024711584205628,5.601392820154307e-06,0.00031173905426012624
zolantidine,1.5012767640659623,6.832653388256777e-06,0.0003661796093632428
2-methoxyestradiol,0.30173421109276555,7.611341479117318e-06,0.00038149208520238533
sirolimus,0.590547800434737,7.645660311588926e-06,0.00038149208520238533
cediranib,0.44967040824210563,8.398025772449223e-06,0.00040506477642446753
bosutinib,0.6621361464867758,1.0067504390246347e-05,0.0004699251242802085
rigosertib,0.61667882616159,1.1101864849269154e-05,0.0005020124511528896
