drug,pvalue,padj
terconazole,2.3930519211125063e-06,0.0014513621187191052
salvianolic-acid-b,2.41676042029147e-06,0.0014513621187191052
12-o-tetradecanoylphorbol-13-acetate,3.0212581745494697e-06,0.0014513621187191052
pfi-1,4.012058379320263e-06,0.0014513621187191052
riluzole,7.078711447519002e-06,0.002048579092911999
gs-39783,1.4202707592083126e-05,0.003425219647624047
afatinib,1.7429540022005576e-05,0.0036029349159774383
aphidicolin,3.8987205938944084e-05,0.007051810874206511
cyclovalone,5.702499130000917e-05,0.007178835551055505
nafcillin,5.70437869680632e-05,0.007178835551055505
sulfabenzamide,6.26377319887626e-05,0.007178835551055505
flufenamic-acid,6.271072154500426e-05,0.007178835551055505
ym-976,6.449541269089258e-05,0.007178835551055505
sdz-wag-994,7.202209872074811e-05,0.007443998346351608
parbendazole,8.856317044183011e-05,0.007861203107096008
bephenium-hydroxynaphthoate,9.013735429457281e-05,0.007861203107096008
ruxolitinib,9.235691279933111e-05,0.007861203107096008
gdc-0152,0.00011140808069304623,0.008625820671585498
lestaurtinib,0.00011326233086394227,0.008625820671585498
tyloxapol,0.00012599106678561157,0.008691387736076243
amg458,0.00012613624219599248,0.008691387736076243
cpp,0.000137422700317372,0.009038665789056238
trequinsin,0.00015127899658884823,0.009517422089741885
hyodeoxycholic-acid,0.00016198445701000409,0.009617836682775978
dioscin,0.00016616856742874875,0.009617836682775978
a-803467,0.00018096197917888437,0.010071230148917141
ebastine,0.0002491144913473375,0.012987025884279945
pha-665752,0.0002513038871871724,0.012987025884279945
bis(maltolato)oxovanadium(iv),0.00027797445426730867,0.013524817908255205
famotidine,0.0002850075645484207,0.013524817908255205
vindesine,0.00030558904876785184,0.013524817908255205
fr-122047,0.00030639066483588564,0.013524817908255205
bisacodyl,0.00030844436141839787,0.013524817908255205
nvp-tae226,0.00033650523571472624,0.014321266943506144
sch-58261,0.0003526405040236378,0.014579165980634396
sclareol,0.0003710440505962129,0.014913909478131112
tame,0.00041658507069193676,0.01629185398084412
azd6482,0.000456798959143007,0.017210473664064013
istradefylline,0.000463862109812368,0.017210473664064013
flubendazole,0.0005590563646348329,0.018714585162007778
ki-16425,0.0005669890126568265,0.018714585162007778
raloxifene,0.0005888696372016003,0.018714585162007778
homosalate,0.0006005358509094086,0.018714585162007778
dienogest,0.0006019503264408961,0.018714585162007778
ast-1306,0.000608076314320477,0.018714585162007778
dapivirine,0.0006123003945578382,0.018714585162007778
tideglusib,0.0006138448057607164,0.018714585162007778
jnj-7706621,0.0006320847024023415,0.018714585162007778
exatecan-mesylate,0.0006398323984479583,0.018714585162007778
narasin,0.0006466684575676496,0.018714585162007778
practolol,0.0006926591424369871,0.019298377337874706
sid-7969543,0.0006983244046611565,0.019298377337874706
eptifibatide,0.0007068514159691495,0.019298377337874706
icg-001,0.0008275808105402196,0.022176100608364776
thioproperazine,0.0008728000773277222,0.02234375871898266
osi-930,0.00088239767471183,0.02234375871898266
bitopertin,0.0008846989135079165,0.02234375871898266
levocarnitine,0.000904672430253641,0.02234375871898266
thonzonium,0.0009249493643441785,0.02234375871898266
bnc105,0.0009411609720231034,0.02234375871898266
letrozole,0.0009517238079155126,0.02234375871898266
cyc116,0.0009573690674339495,0.02234375871898266
chlorpyrifos,0.001003060914794713,0.02303855783663412
omeprazole,0.0010719288989632573,0.024235642449997395
etomoxir,0.001144976553039261,0.025488939573043237
ritodrine,0.0011798554678401666,0.025867437302495775
cct129202,0.0012698141000145287,0.02742419407046303
thiocolchicoside,0.001444719117163686,0.030151625829717466
mg-132,0.0014453054776007441,0.030151625829717466
salvinorin-a,0.0014586135508501885,0.030151625829717466
bms-599626,0.0015502054719913711,0.03128613441902869
colfosceril-palmitate,0.001556739238541856,0.03128613441902869
ingenol-mebutate,0.0016206276655129613,0.032123948383524045
baicalein,0.001701550663853428,0.03327221365670149
verubulin,0.0017977336175608086,0.03448531411631005
nexturastat-a,0.0018484992968167322,0.03448531411631005
bx-912,0.0018515947419660902,0.03448531411631005
serdemetan,0.0018589181071680607,0.03448531411631005
sta-5326,0.0018853205790513256,0.034532390859332504
aspirin,0.001942322930323065,0.03493741098565329
piroxicam,0.0019557223841312485,0.03493741098565329
nitarsone,0.002018683817359344,0.035622383947792324
le-135,0.002151270174051549,0.03741844074163811
favipiravir,0.0021883859280229733,0.03741844074163811
mevastatin,0.00224818177550945,0.03741844074163811
iodipamide,0.0022567538596987304,0.03741844074163811
acetylsalicylsalicylic-acid,0.0022780701713430163,0.03741844074163811
ifosfamide,0.002286494791808845,0.03741844074163811
lorlatinib,0.0023197024495111578,0.03741844074163811
ly2608204,0.002327339092430843,0.03741844074163811
alectinib,0.002353406071267954,0.037421742693678345
pp-1,0.0025219796265202408,0.039666353473639004
ibrutinib,0.002594695284000716,0.04037122662310791
m-344,0.0026526852752780145,0.04059947367563794
teriflunomide,0.002665480303514585,0.04059947367563794
vatalanib,0.0027167216022182866,0.040701947442650176
domperidone,0.002728465032437503,0.040701947442650176
isoetharine,0.002850202321760799,0.04208410979171302
pelitinib,0.0030113374030592797,0.04368065808783488
7-nitroindazole,0.0030187047745566607,0.04368065808783488
mefexamide,0.003255580872758257,0.04643352959496983
prt062607,0.0033051466746084708,0.04643352959496983
chloramphenicol-palmitate,0.0033052201439404925,0.04643352959496983
jnj-16259685,0.0033814999806246614,0.04704836992272966
buphenine,0.00341562350091996,0.04707054481743983
