drug,HR_pam50_scanb,padj_pam50,HR_clinical_scanb,padj_clinical_scanb,HR_clinical_metabric,padj_clinical_metabric
osimertinib,6.38,1.34e-05,2.17,7.29e-02,1.83,2.95e-01
saracatinib,5.5,1.68e-05,3.4,3.99e-03,1.97,1.58e-01
erlotinib,4.28,1.52e-06,2.93,1.84e-03,2.15,5.65e-02
brigatinib,3.63,2.56e-06,3.3,1.53e-04,3.27,5.03e-03
pelitinib,3.42,3.95e-05,1.9,4.25e-02,2.41,5.63e-02
entinostat,3.28,8.36e-05,2.58,3.72e-03,0.84,8.00e-01
trametinib,2.0,4.74e-05,1.34,8.08e-02,0.95,8.00e-01
paclitaxel,0.47,1.14e-03,0.53,8.06e-03,1.07,8.00e-01
docetaxel,0.5,2.43e-03,0.56,1.45e-02,0.94,8.00e-01
epirubicin,0.15,5.66e-05,0.22,3.51e-03,0.23,6.44e-02
olaparib,0.6,1.93e-02,0.67,7.28e-02,0.92,8.00e-01
