drug,p_raw,p_residualized,raw_sig,res_sig
prednisolone-hemisuccinate,0.00023319240090643217,0.22326451335156902,True,False
halcinonide,6.859596212915189e-05,0.47122360450695133,True,False
flumethasone,0.001195836944681089,0.5246821511928563,True,False
12-o-tetradecanoylphorbol-13-acetate,0.8698150526485431,0.001770152879243814,False,True
ingenol-mebutate,0.005452312036431592,2.4571721581281924e-07,True,True
gdc-0879,4.4143534961560436e-05,4.664373529410825e-10,True,True
i-bet151,0.07605463609731442,0.039261465434057626,False,True
clobetasol-propionate,0.9247538669543794,0.06251209056791995,False,False
beclomethasone-dipropionate,0.020226977432550083,0.9475238346099356,True,False
halobetasol-propionate,0.001736872200696665,0.4253686993037151,True,False
fluocinolone-acetonide,0.09508785073231187,0.8856026615014873,False,False
zln005,0.11264859452844697,0.05491999226756213,False,False
methylprednisolone,0.0007088762610138525,0.5099886534782546,True,False
gdc-0152,0.15149082103460654,0.07680737065502317,False,False
otx015,0.002868110148532425,0.8559518223065475,True,False
sar131675,0.22325469199371276,0.2889720719423394,False,False
pp-1,0.8538181617660413,0.34082519106925463,False,False
vlx600,0.017586013035458585,0.1441040095409885,True,False
lgx818,0.044179720265052555,0.03333798533878917,True,True
flumethasone-pivalate,0.002530377127041967,0.9706046022741813,True,False
desonide,0.019286312090322232,0.6899988305486612,True,False
mk-2461,0.0024293159345065278,0.048961189745871284,True,True
naloxone,4.932903343721369e-06,0.15783361359743533,True,False
jq1-(+),0.01563332233240539,0.28177934399159843,True,False
dihydroartemisinin,0.47892462469539643,0.07770909496236773,False,False
rimexolone,1.5203159609488798e-07,0.11909231815685563,True,False
quizartinib,0.002149777117091378,0.8821996432408884,True,False
prednisolone,0.6699879575706451,0.010164561432993371,False,True
2'-meccpa,0.3880162999957786,0.7422734067075335,False,False
kenpaullone,0.3010742648718605,0.792080015155938,False,False
azd2461,6.292096418891419e-07,0.5562077270812824,True,False
vincristine,2.423205365865009e-10,0.01382870528706757,True,True
triamcinolone-acetonide,0.30862148644890436,0.6568492519371418,False,False
nemonapride,0.32074706282295573,0.4899473324943424,False,False
bf2.649,0.10583433546685744,0.004855187353229384,False,True
clopamide,0.10597778001465404,0.5549635105554647,False,False
amg-208,0.007461370235840001,0.12605810657531427,True,False
gw-788388,0.01555582730909338,0.2966516416960393,True,False
fleroxacin,0.033490707798657884,0.05181010450336267,True,False
4-methylhistamine,0.05339593100421088,0.0985364797269425,False,False
prednisolone-acetate,0.00014315724317205938,0.0052655766415840325,True,True
isoflupredone-acetate,0.11535137946612667,0.6584100997047118,False,False
embelin,0.0011710201988607645,0.24799518367302037,True,False
piperacetazine,0.9669648346248116,0.07441087002330855,False,False
desoxycortone,7.333400233402737e-08,0.031435430673256264,True,True
homoquinolinic-acid,0.11283927885481569,0.7728667578109842,False,False
sch-58261,0.0019014261066427206,0.050978042995880074,True,False
prt062070,0.7036399765849997,0.6771529631830748,False,False
bms-707035,0.8850546144028723,0.23244284278898114,False,False
psb-1115,0.009547993740764732,0.7456272114237276,True,False
ky02111,0.10671035875218658,0.367163852053067,False,False
betamethasone,0.18290477315180653,0.06680017907574087,False,False
p22077,0.3015482519006576,0.5296308253842856,False,False
cgm097,0.003734010278644856,0.8582884278363224,True,False
y-320,0.0011512064080852551,7.959209837061435e-05,True,True
nexturastat-a,0.6666090546568685,0.9833402765488136,False,False
streptozotocin,1.526820649886091e-05,0.003633327691489865,True,True
ro-04-5595,0.20693413992173582,0.8606039197785071,False,False
bms-986020,0.9516423916257473,0.7584303670305401,False,False
eprobemide,2.356819123012407e-05,7.058317886720299e-05,True,True
rita,1.9159890410093995e-05,0.3972068620035788,True,False
chir-99021,0.5810326337197567,0.006559784011523749,False,True
pranidipine,0.7037889044134662,0.02407949326406351,False,True
ici-162846,0.9776707322031911,0.03331582030816099,False,True
melengestrol-acetate,0.12737281545981632,0.3568636919502708,False,False
buphenine,0.1321036651949769,0.8569674478284384,False,False
azd4547,0.35034607273385365,0.08384209662567631,False,False
sns-314,0.08346931615137089,0.33407681921075955,False,False
gsk1904529a,0.06728137428074547,0.09787060059644956,False,False
ispinesib,5.746177578445593e-12,0.0001499394174490605,True,True
combretastatin-a-4,1.5814874583078007e-10,0.0010498663866463326,True,True
carmustine,0.009089814931446092,0.03302644253763669,True,True
bromosporine,0.00035513681217767823,0.5218739478892231,True,False
bam7,0.003145528769264708,0.1903426300523085,True,False
palmatine-chloride,0.2957361321911913,0.2233882205047254,False,False
fulvestrant,0.5336606074538942,0.0859344520202296,False,False
sr-27897,0.06917761164955978,0.48290991064610156,False,False
atorvastatin,0.026433776786898604,0.04895596097251247,True,True
dichlorisone-acetate,6.511526957266514e-08,0.01775022218276278,True,True
lacitol,1.8174513992766415e-05,0.01878498566460124,True,True
tiagabine,0.13156864721130299,0.00447200414772785,False,True
kynurenic-acid,0.601195504584122,0.5671385853027646,False,False
pf-3845,0.9914601729693251,0.5550880921046285,False,False
pilocarpine,0.0006285682317544099,9.008215294060716e-05,True,True
propranolol,0.0012007415185562207,0.6951260054820939,True,False
