drug,HR,pvalue,padj,cohort
acetophenazine,0.21394528630649368,1.3248546533958902e-08,1.524112242779907e-05,METABRIC
pentamidine,0.29979657615270133,2.473266858301144e-08,1.524112242779907e-05,METABRIC
mebendazole,0.03490738039801699,3.159873343704023e-08,1.524112242779907e-05,METABRIC
nizofenone,2.99254658497374,2.2846595138975965e-07,8.264755791524556e-05,METABRIC
naloxone,0.4451737149701679,2.8809670857788337e-07,8.337518746243945e-05,METABRIC
xl888,0.10496947772573387,1.5730011038345378e-06,0.0003793554328747627,METABRIC
kw-2478,0.15803197419952347,3.1868741797605123e-06,0.0006587724197304945,METABRIC
brigatinib,4.403539752028122,8.031246194598448e-06,0.0014526516554479944,METABRIC
eprobemide,0.5440964965830521,1.2140017985861106e-05,0.0018224269626516236,METABRIC
mubritinib,0.18530837073882095,1.2594519437813571e-05,0.0018224269626516236,METABRIC
lapatinib,5.2823255000147755,1.7362845499079292e-05,0.0022840034033788847,METABRIC
primaquine,0.34687054739827256,2.372482684936466e-05,0.0027429705875777676,METABRIC
acdpp,0.4403617388996026,2.464313589392604e-05,0.0027429705875777676,METABRIC
pardoprunox,0.2508222136595169,4.1705474224781434e-05,0.004310558657375624,METABRIC
fenbendazole,0.37194803268434207,4.641721422648408e-05,0.004477713932381498,METABRIC
tyrphostin-a9,0.23420401034932925,7.532510366366844e-05,0.006812214062583015,METABRIC
mepivacaine,2.77220435003493,9.530334100180877e-05,0.007675787714243449,METABRIC
trovafloxacin,0.38647122397607664,9.705304405420017e-05,0.007675787714243449,METABRIC
trapidil,0.38049025536884556,0.00010078781380139981,0.007675787714243449,METABRIC
uprosertib,0.1656892300595267,0.00014563756535190402,0.010536877853210254,METABRIC
oligomycin-a,0.35085373164439226,0.000178997511751954,0.012299446307635862,METABRIC
azd5363,0.4692046701053719,0.0001869991836682716,0.012299446307635862,METABRIC
mefexamide,0.2492408705044494,0.00022226375115286262,0.013435425804561741,METABRIC
dacomitinib,2.9714771428455835,0.00022284051092569577,0.013435425804561741,METABRIC
racecadotril,1.9632501099418598,0.0002410848179015906,0.013654773721820366,METABRIC
voxtalisib,0.5365658885085398,0.0002513591438961238,0.013654773721820366,METABRIC
cpp,2.524340705489349,0.0002654343604017066,0.013654773721820366,METABRIC
lonafarnib,0.5120487146481607,0.0002666073375336946,0.013654773721820366,METABRIC
