tf,HR,pvalue,coef,n
TOX3,0.5746644488011887,2.0894666716218314e-36,-0.553968975828739,7397
NCOA6,0.47688602842791455,3.068182101651502e-36,-0.7404777507564855,7397
BRD4,0.43579027882078597,1.7985464434234898e-34,-0.8305941632353588,7397
ZNF804A,2.73779155048576,4.0036087125908256e-33,1.0071515919321865,7397
HIC1,0.522649131114541,1.1930497321460308e-31,-0.6488449174662186,7397
SIM2,2.617126475283657,2.560185958254402e-31,0.9620769507270631,7397
GATA3,0.4813802655512971,7.018515805721261e-29,-0.7310977483427825,7397
HOXC6,0.48902930719402005,5.756742574424034e-28,-0.7153328583910639,7397
HOXA9,0.5645420245526507,6.1301263611691965e-28,-0.5717404525430734,7397
DAXX,2.0423980915921294,5.761821438450526e-25,0.7141246525499343,7397
HOXA5,0.6132302036180266,2.5678102759727113e-23,-0.4890148774603419,7397
ARID5B,0.5897087083776789,8.158642049755072e-23,-0.5281265786136655,7397
FOXO3,0.7346379101488548,9.234956737326046e-23,-0.3083775404091442,7397
MEOX2,2.0432932696744914,1.942237783638816e-22,0.7145628540769379,7397
PPARGC1A,2.648879850909422,3.6100556006357534e-22,0.9741368528662161,7397
MZF1,0.5331317476545586,1.7619473044686274e-21,-0.6289867040199316,7397
RLF,0.4425427109995932,4.528344977249102e-21,-0.8152182971591256,7397
GLI3,0.6015967390993942,5.992212133806149e-20,-0.5081679267411937,7397
NR2F2,0.49691701937652494,4.445542448995182e-19,-0.6993322298504866,7397
STOX1,1.557895125247183,5.673652079854617e-19,0.44333563147761346,7397
IKZF1,0.6122798302828137,6.07014886832933e-19,-0.4905658619475144,7397
ATF7,0.5376337363023215,1.2862504152523018e-18,-0.6205777382035738,7397
HOPX,1.5230393363396915,1.3901671202452468e-18,0.42070790177363343,7397
HBP1,0.5140067795240183,1.709498014734157e-18,-0.6655188238785116,7397
RXRG,0.5284029086550905,4.277183592563713e-18,-0.6378962017028444,7397
HAND1,2.762223391038497,4.9339768729486416e-18,1.0160359318897183,7397
NKX6-1,1.9330926853965618,5.617669305603485e-18,0.6591211480661044,7397
ZNF143,1.6309627989322186,1.4805719532411722e-17,0.48917051463088,7397
TFAP2C,0.7600610671508604,2.9872998563859797e-17,-0.27435649741548035,7397
NOTCH1,0.6238669929730043,4.964582853250264e-17,-0.4718180856197388,7397
ZNF699,0.523191357441092,5.347943469502216e-17,-0.6478079976279295,7397
TAF1,0.5491128966226829,6.595966227008277e-17,-0.599451218135236,7397
MECP2,1.5807183521600272,1.5522152840146006e-16,0.4578793969812358,7397
TFAM,2.3349812345927488,1.6978467106286269e-16,0.8480038545115859,7397
