tf,site,n_paired,primary_mean,metastasis_mean,delta,pvalue
AEBP1,Brain,8,2.030894756799463,2.074949980061824,0.04405522326236064,0.84375
AEBP1,Chest,5,1.8979967513878453,2.2171825454563865,0.3191857940685409,0.1875
AEBP1,Liver,12,1.7366629147452617,2.041427821370423,0.3047649066251615,0.02099609375
AEBP1,Lung,6,1.737647797203665,1.9295132739466319,0.1918654767429672,0.0625
AEBP1,Lymph node,7,1.81495138884212,1.9894684171429315,0.17451702830081148,0.21875
AEBP1,Skin,3,1.9793855515869436,1.8919494766275964,-0.08743607495934709,1.0
AEBP1,Soft tissue,3,2.044370188942887,1.8890391103142117,-0.155331078628675,0.75
ASXL1,Brain,8,1.998896909641791,1.4976633409462126,-0.5012335686955784,0.015625
ASXL1,Chest,5,1.8160577998364378,1.5686477408985262,-0.2474100589379115,0.3125
ASXL1,Liver,12,1.680099378512938,1.5915428353224608,-0.08855654319047733,1.0
ASXL1,Lung,6,1.91974235555326,1.8898389228604004,-0.029903432692859666,0.84375
ASXL1,Lymph node,7,1.895095136685395,2.1534773680807744,0.25838223139537964,0.21875
ASXL1,Skin,3,1.585139794170938,2.2654503805865893,0.6803105864156511,0.5
ASXL1,Soft tissue,3,1.5573142474899264,1.7521812535393257,0.19486700604939933,1.0
BCOR,Brain,8,1.2992067180933962,1.458828640352136,0.15962192225873992,0.3828125
BCOR,Chest,5,1.1417844269077788,0.9169097992077846,-0.22487462769999428,0.0625
BCOR,Liver,12,1.034358928370646,1.498472540491367,0.464113612120721,0.01611328125
BCOR,Lung,6,1.1693382068215843,1.0695494690011225,-0.09978873782046181,0.84375
BCOR,Lymph node,7,1.2166243900678277,1.1112478777478627,-0.10537651231996505,0.578125
BCOR,Skin,3,1.0742973903148958,1.2005708605460903,0.12627347023119465,1.0
BCOR,Soft tissue,3,1.021354543923256,0.938372804573722,-0.08298173934953419,0.75
CREB3L1,Brain,8,0.535887202530762,1.038450485751373,0.502563283220611,0.0234375
CREB3L1,Chest,5,0.32740077002258355,0.6328814521513035,0.30548068212872,0.1875
CREB3L1,Liver,12,0.34276632275829094,0.8009826269859607,0.45821630422766974,0.00341796875
CREB3L1,Lung,6,0.28942063935019696,0.5786196150539135,0.2891989757037165,0.15625
CREB3L1,Lymph node,7,0.1698184330732204,0.6573684245622265,0.4875499914890062,0.078125
CREB3L1,Skin,3,3.595954156398092e-05,0.33215654522959365,0.33212058568802966,0.5
CREB3L1,Soft tissue,3,0.07341839930075733,0.6820247397552524,0.6086063404544951,0.25
HIVEP1,Brain,8,1.2376476815914765,1.1434837003968372,-0.09416398119463942,0.640625
HIVEP1,Chest,5,1.1132518722446494,1.0996618989988138,-0.01358997324583544,0.8125
