# per-site delta (meta - primary)
tf,Brain,Chest,Liver,Lung,Lymph node,Skin,Soft tissue
AEBP1,0.044,0.319,0.305,0.192,0.175,-0.087,-0.155
ASXL1,-0.501,-0.247,-0.089,-0.03,0.258,0.68,0.195
BCOR,0.16,-0.225,0.464,-0.1,-0.105,0.126,-0.083
CREB3L1,0.503,0.305,0.458,0.289,0.488,0.332,0.609
HIVEP1,-0.094,-0.014,0.628,0.098,0.121,-0.071,-0.134
IRX1,-0.464,0.055,0.167,0.002,-0.087,0.236,0.257
KLF8,-0.648,-0.191,-0.262,-0.253,-0.044,-0.022,-0.258
MZF1,0.164,-0.04,0.202,0.001,0.161,0.212,-0.171
REL,-1.559,-0.31,-0.125,0.23,0.145,0.694,0.269
SPDEF,0.633,-0.257,0.998,0.297,0.329,-0.368,-0.372

# per-site Wilcoxon p-value
tf,Brain,Chest,Liver,Lung,Lymph node,Skin,Soft tissue
AEBP1,8.44e-01,1.88e-01,2.10e-02,6.25e-02,2.19e-01,1.00e+00,7.50e-01
ASXL1,1.56e-02,3.12e-01,1.00e+00,8.44e-01,2.19e-01,5.00e-01,1.00e+00
BCOR,3.83e-01,6.25e-02,1.61e-02,8.44e-01,5.78e-01,1.00e+00,7.50e-01
CREB3L1,2.34e-02,1.88e-01,3.42e-03,1.56e-01,7.81e-02,5.00e-01,2.50e-01
HIVEP1,6.41e-01,8.12e-01,2.10e-02,8.44e-01,5.78e-01,1.00e+00,5.00e-01
IRX1,3.91e-02,8.12e-01,3.80e-01,1.00e+00,8.12e-01,5.00e-01,2.50e-01
KLF8,7.81e-03,1.88e-01,1.61e-02,6.25e-02,8.12e-01,7.50e-01,7.50e-01
MZF1,3.12e-01,8.12e-01,7.71e-02,1.00e+00,3.75e-01,5.00e-01,7.50e-01
REL,3.91e-02,8.12e-01,8.50e-01,5.62e-01,4.69e-01,7.50e-01,7.50e-01
SPDEF,7.81e-03,1.25e-01,1.46e-03,5.62e-01,2.97e-01,2.50e-01,5.00e-01

# per-site n_paired
tf,Brain,Chest,Liver,Lung,Lymph node,Skin,Soft tissue
AEBP1,8,5,12,6,7,3,3
ASXL1,8,5,12,6,7,3,3
BCOR,8,5,12,6,7,3,3
CREB3L1,8,5,12,6,7,3,3
HIVEP1,8,5,12,6,7,3,3
IRX1,8,5,12,6,7,3,3
KLF8,8,5,12,6,7,3,3
MZF1,8,5,12,6,7,3,3
REL,8,5,12,6,7,3,3
SPDEF,8,5,12,6,7,3,3
